feature_set,method,features,feature_families,n_features,n_eval,n_sources,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,empirical_p_ge_observed,n_permutation,null_auc_mean,null_auc_p95
pair::particle_vs_context_mean_last_minus_first+particle_norm_min,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_norm_min,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5964912280701754,0.7962645948451565,0.13580775904637374,0.2553384206418752,,,,
pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_std,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_norm_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5906432748538012,0.82188692235757,0.12763655463482332,0.28531542574192065,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_mean,raw,particle_vs_context_mean_last_minus_first;particle_norm_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5766081871345029,0.7805333974184073,0.10778498391079554,0.36747743044386444,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_cv,raw,particle_vs_context_mean_last_minus_first;particle_norm_cv,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5742690058479532,0.7907902564341821,0.10449383936390104,0.38237069769176646,,,,
single::particle_vs_context_mean_slope,raw,particle_vs_context_mean_slope,particle_vs_context,1,72,9,57,0.5719298245614035,0.7900340479564693,0.1012026948170065,0.3976202712407513,,,,
single::particle_vs_context_mean_slope,source_confound_filter_0.50,particle_vs_context_mean_slope,particle_vs_context,1,72,9,57,0.5719298245614035,0.7900340479564693,0.1012026948170065,0.3976202712407513,,,,
pair::particle_vs_context_mean_slope+particle_norm_mean,source_confound_filter_0.50,particle_vs_context_mean_slope;particle_norm_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5719298245614035,0.7900340479564693,0.1012026948170065,0.3976202712407513,,,,
pair::particle_vs_context_mean_last_minus_first+particle_norm_min,raw,particle_vs_context_mean_last_minus_first;particle_norm_min,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5684210526315789,0.7789991500705193,0.09626597799666473,0.4211552306589181,,,,
single::particle_prior_area_fraction,raw,particle_prior_area_fraction,norm_heterogeneity,1,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
single::particle_prior_area_fraction,source_confound_filter_0.50,particle_prior_area_fraction,norm_heterogeneity,1,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
pair::particle_vs_context_mean_diff_positive_fraction+particle_prior_area_fraction,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_prior_area_fraction,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
pair::particle_vs_context_mean_last_minus_first+particle_prior_area_fraction,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_prior_area_fraction,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
pair::particle_vs_context_mean_slope+particle_prior_area_fraction,source_confound_filter_0.50,particle_vs_context_mean_slope;particle_prior_area_fraction,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_diff_abs_mean,source_confound_filter_0.50,particle_prior_area_fraction;particle_vs_context_mean_diff_abs_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_std,source_confound_filter_0.50,particle_prior_area_fraction;particle_vs_context_mean_std,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_diff_q90,source_confound_filter_0.50,particle_prior_area_fraction;particle_vs_context_mean_diff_q90,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_diff_q10,source_confound_filter_0.50,particle_prior_area_fraction;particle_vs_context_mean_diff_q10,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5637426900584795,0.8248157679199613,0.08968368890287569,0.4537460429318511,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_gradient_diff_abs_mean,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_gradient_diff_abs_mean,norm_heterogeneity;particle_gradient;particle_vs_context,3,72,9,57,0.5637426900584795,0.8125902683091112,0.08968368890287569,0.4537460429318511,,,,
pair::particle_prior_area_fraction+particle_vs_context_mean_first_mean,source_confound_filter_0.50,particle_prior_area_fraction;particle_vs_context_mean_first_mean,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5637426900584795,0.7867591757836496,0.08968368890287569,0.4537460429318511,,,,
family::particle_gradient,source_confound_filter_0.50,particle_gradient_mean;particle_gradient_std;particle_gradient_slope;particle_gradient_first_mean;particle_gradient_last_mean;particle_gradient_last_minus_first;particle_gradient_diff_abs_mean;particle_gradient_diff_q10;particle_gradient_diff_q90;particle_gradient_diff_positive_fraction,particle_gradient,10,72,9,57,0.5567251461988304,0.816053227541511,0.07981025526219211,0.505139788040488,,,,
family::particle_vs_context,source_confound_filter_0.50,particle_vs_context_mean_mean;particle_vs_context_mean_std;particle_vs_context_mean_slope;particle_vs_context_mean_first_mean;particle_vs_context_mean_last_mean;particle_vs_context_mean_last_minus_first;particle_vs_context_mean_diff_abs_mean;particle_vs_context_mean_diff_q10;particle_vs_context_mean_diff_q90;particle_vs_context_mean_diff_positive_fraction,particle_vs_context,10,72,9,57,0.5485380116959064,0.8120957675998512,0.0682912493480613,0.5686811050543049,,,,
trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_std_diff_q10,raw,particle_vs_context_mean_diff_positive_fraction;particle_norm_mean;particle_std_diff_q10,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.5485380116959064,0.7874339130796824,0.0682912493480613,0.5686811050543049,,,,
pair::particle_vs_context_mean_diff_positive_fraction+particle_heterogeneity_rank,source_confound_filter_0.50,particle_vs_context_mean_diff_positive_fraction;particle_heterogeneity_rank,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5403508771929825,0.8071550909394787,0.05680101836155159,0.6355567263259404,,,,
trio::particle_vs_context_mean_last_minus_first+particle_mean_diff_positive_fraction+particle_norm_mean,source_confound_filter_0.50,particle_vs_context_mean_last_minus_first;particle_mean_diff_positive_fraction;particle_norm_mean,norm_heterogeneity;particle_intensity;particle_vs_context,3,72,9,57,0.5356725146198831,0.8062110388232422,0.05018995434014143,0.6754452773196223,,,,
pair::particle_vs_context_mean_slope+particle_norm_min,raw,particle_vs_context_mean_slope;particle_norm_min,norm_heterogeneity;particle_vs_context,2,72,9,57,0.5356725146198831,0.7573074068585728,0.05018995434014143,0.6754452773196223,,,,
single::particle_mean_slope,raw,particle_mean_slope,particle_intensity,1,72,9,57,0.5333333333333333,0.7736638920731612,0.04689880979324692,0.6956492022967351,,,,
single::particle_mean_slope,source_confound_filter_0.50,particle_mean_slope,particle_intensity,1,72,9,57,0.5333333333333333,0.7736638920731612,0.04689880979324692,0.6956492022967351,,,,
