feature,target,n,spearman_rho,p_value
shape_I_pos_fraction,n_modal_votes,81,0.0683002767294331,0.544610104318919
neg_dq_abs_entropy,roi_transferred_masked_residual_signature,18,0.15170278637770898,0.5479006675946312
coulombic_efficiency_pct,n_modal_votes,81,0.06719263959579871,0.55116943711723
coulombic_inefficiency_pct,n_modal_votes,81,-0.06719263959579871,0.55116943711723
shape_V_std,roi_transferred_masked_residual_signature,18,0.1496388028895769,0.5534228921214377
shape_V_mean,state_state_step_norm,80,0.06666666666666667,0.5568314321086458
shape_V_std,n_modal_votes,81,0.06439946769359027,0.5678775772158533
dqdv_integral_asymmetry,n_modal_votes,81,-0.06430315142110032,0.5684579335775694
signed_charge_fraction,n_modal_votes,81,-0.06367709564991568,0.5722370129544839
dqdv_integral_asymmetry,roi_diffusion_proxy_abs_median_um2_per_s,18,-0.1413828689370485,0.5757540929543487
