roi_id,cohort_role,event_reference_cycle,cycleNo,phase_slope_median_per_s_protocol_residual,phase_slope_iqr_per_s_protocol_residual,phase_slope_positive_fraction_protocol_residual,phase_slope_negative_fraction_protocol_residual,phase_slope_abs_median_per_s_protocol_residual,radius2_slope_median_px2_per_s_protocol_residual,radius2_slope_iqr_px2_per_s_protocol_residual,radius2_slope_positive_fraction_protocol_residual,radius2_slope_negative_fraction_protocol_residual,diffusion_proxy_median_um2_per_s_protocol_residual,diffusion_proxy_iqr_um2_per_s_protocol_residual,default_q70_diffusion_proxy_um2_per_s_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_slope_bootstrap_p50_protocol_residual,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,threshold_robust_diffusion_score_protocol_residual
cycle88_rank2_obj4,control,86.0,88.0,-7.053877243660762e-07,5.42669357100135e-07,-0.18664050165765234,0.18664050162418153,-3.865793097749653e-07,-0.0017331905764315816,0.0011600358056637022,-0.3555499543292409,0.35554995432924097,-3.9932710880984e-06,2.6727224962935335e-06,-4.00352775186569e-06,3.149160158608212e-06,-6.964384675089208e-07,-0.0017322272350689053,-0.5973385837232317,0.18427667730930553
cycle88_rank5_obj9,control,86.0,88.0,1.6888060413402938e-06,1.2819117811406526e-06,-0.04378335880050943,0.04378335876703873,2.0076144559314047e-06,0.0003348661399062184,0.0009806433366695024,0.07302147424218758,-0.07302147424218763,7.715315863438985e-07,2.2594022477310243e-06,7.612749225766089e-07,-1.6156425158340869e-06,1.8161442918882226e-06,0.0003472203557675947,0.12381526243061453,-0.7580310149983868
cycle88_rank3_obj6,control,86.0,88.0,-1.1514589648276589e-06,-1.6915578052234602e-06,-0.04378335880050943,0.04378335876703873,-8.32650550236548e-07,-0.0017202162386301817,-0.0016741905396684977,-0.3555499543292409,0.35554995432924097,-3.963378213804071e-06,-3.857335003351872e-06,-3.973634877571361e-06,3.1192672843138827e-06,-1.1840415355702738e-06,-0.0017389861300613053,0.18150757012292223,0.24196898500161323
cycle88_rank4_obj8,control,86.0,88.0,-2.548222158466415e-07,1.4789779557076701e-06,-0.04378335880050943,0.04378335876703873,6.398619874446939e-08,-0.0031202427569760817,0.002263201263953902,-0.3555499543292409,0.35554995432924097,-7.189039312072873e-06,5.214415712194223e-06,-7.199295975840163e-06,6.344928382582685e-06,-2.3279837961623877e-07,-0.0031418051752791047,-0.08772319910784704,0.18427667730930553
cycle90_rank6_obj3,control,86.0,90.0,-4.158135068208526e-07,2.887748914443884e-09,-0.017827730775819672,0.017827730738000466,-5.69602375427757e-07,0.0002768465581072675,-0.0006792053317785445,-0.35569060738886094,0.35569060738886094,6.378544698791048e-07,-1.5648890843850318e-06,5.950684212890573e-07,-1.3877525085501498e-06,-3.645308898820188e-07,0.000316059951377023,-0.22587637056190968,0.26156297612353663
cycle90_rank3_obj4,control,86.0,90.0,-1.2207941388867507e-06,-3.27579660530933e-07,-0.017827730775819672,0.017827730738000466,-1.374583007493655e-06,-0.0009297540621283323,0.0006258584653094554,-0.35569060738886094,0.35569060738886094,-2.1421533591437876e-06,1.4419779041056828e-06,-2.184939407733835e-06,1.3922553204727426e-06,-1.269481994213431e-06,-0.0009651285390476769,-0.3797225244080635,0.12694759150815205
cycle90_rank4_obj6,control,86.0,90.0,-6.5383494965582e-07,-5.401671044655564e-07,-0.017827730775819672,0.017827730738000466,-8.076238182627243e-07,-0.0010037845628540324,0.0002543527289751554,-0.35569060738886094,0.35569060738886094,-2.3127196328157477e-06,5.860286875914572e-07,-2.355505681405795e-06,1.5628215941447027e-06,-6.309001312178464e-07,-0.001012478709870477,-0.11049175517729432,0.24233220689276747
cycle90_rank5_obj10,control,86.0,90.0,2.221579402026982e-06,5.620500969958881e-07,-0.017827730775819672,0.017827730738000466,2.0677905334200777e-06,0.0013911524303464675,-3.0169888274644624e-05,0.21573796403971046,-0.21573796403971057,3.20521519951843e-06,-6.951142255200043e-08,3.1624291509283825e-06,-3.2354183198737946e-06,2.299625118945573e-06,0.001399948115709723,0.13950824482270574,-1.0461293315687712
cycle116_rank2_obj2,event,116.0,116.0,-1.3192727683988095e-06,-5.090133208869239e-07,0.0026455239053564394,-0.002645523889711718,-1.207755498004728e-06,-0.0002542542042940237,-0.00021160635055610428,-0.21465074441486587,0.21465074441486587,-5.858016866934387e-07,-4.875410316178998e-07,-1.3813107151094157e-06,-1.0749852266549075e-06,-1.3466499973581136e-06,-0.0006078330978128519,0.17498242326441638,-0.056025991934200825
cycle116_rank3_obj9,event,116.0,116.0,2.4279163610930614e-06,1.5173732369523214e-06,0.0026455239053564394,-0.002645523889711718,2.539433631487143e-06,0.0011359113654330765,0.0011584461949410959,0.21392068415656273,-0.21392068415656273,2.617139785957936e-06,2.6690600332075525e-06,2.4204967204035103e-06,-1.6583539047039637e-09,2.4894763493501483e-06,0.001084496449183048,-0.017325269043275915,-0.7194875303957391
cycle116_rank1_obj6,event,116.0,116.0,8.43562591672076e-07,-1.0896613101885495e-07,0.0026455239053564394,-0.002645523889711718,9.550798620661575e-07,-0.00023539286738922366,-7.022559901010425e-05,-0.21465074441486587,0.21465074441486587,-5.423451664649775e-07,-1.6179978005587456e-07,-2.7140659730997188e-08,-1.1184417468833687e-06,9.149789079729583e-07,-3.082929211395188e-05,0.19421319249518565,-0.24833368424189306
cycle116_rank5_obj43,event,116.0,116.0,-3.031641510875595e-08,2.2659867480431066e-07,0.0026455239053564394,-0.002645523889711718,8.120085528532558e-08,-0.0021395435253122237,6.284038475599571e-05,-0.35750788727200866,0.3575078872720088,-4.929508282319486e-06,1.4478424654121964e-07,-4.40395780495427e-06,3.268721368971139e-06,7.363861982816787e-08,-0.0019521457201804517,0.021136269418262632,0.6843586234504146
