rho,p_value,n,residual_feature,context_feature
0.049629166698546515,0.866202177086342,14,phase_slope_positive_fraction_protocol_residual,block_fraction_elapsed
0.028031704499467035,0.8673233608109421,38,phase_slope_median_per_s_protocol_residual,duration_s
-0.027369538251448132,0.8704306037272612,38,diffusion_proxy_iqr_um2_per_s_protocol_residual,I_mean_mA
-0.027369538251448132,0.8704306037272612,38,radius2_slope_iqr_px2_per_s_protocol_residual,I_mean_mA
0.02059234510484817,0.8847905580815513,52,default_q70_diffusion_proxy_um2_per_s_protocol_residual,cycles_from_block_start
0.02346027074494028,0.8888125540683006,38,threshold_robust_diffusion_score_protocol_residual,I_abs_mean_mA
0.023458987184783668,0.8888185995039976,38,phase_slope_iqr_per_s_protocol_residual,I_abs_mean_mA
-0.022955096597988757,0.8911923471339022,38,phase_slope_iqr_per_s_protocol_residual,I_mean_mA
0.03750457847507963,0.8987115425385704,14,diffusion_proxy_iqr_um2_per_s_protocol_residual,block_fraction_elapsed
0.03750457847507963,0.8987115425385704,14,radius2_slope_iqr_px2_per_s_protocol_residual,block_fraction_elapsed
-0.01733816900226031,0.9177114087048153,38,phase_slope_negative_fraction_protocol_residual,I_mean_mA
0.01733816900226031,0.9177114087048153,38,phase_slope_positive_fraction_protocol_residual,I_mean_mA
0.014677522574732206,0.9177457245520213,52,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,cycles_from_block_start
-0.01723330200464701,0.9182074390500008,38,radius2_slope_positive_fraction_protocol_residual,I_mean_mA
0.01723330200464701,0.9182074390500008,38,radius2_slope_negative_fraction_protocol_residual,I_mean_mA
0.014309248036870411,0.9198027308977524,52,radius2_slope_positive_fraction_protocol_residual,cycles_to_block_end
-0.014309248036870411,0.9198027308977524,52,radius2_slope_negative_fraction_protocol_residual,cycles_to_block_end
0.016112712035126722,0.9235097970810743,38,q70_phase_slope_bootstrap_p50_protocol_residual,duration_s
0.015891989952453753,0.9245545910907823,38,phase_slope_abs_median_per_s_protocol_residual,I_mean_mA
0.015671267869780785,0.9255995097438682,38,radius2_slope_median_px2_per_s_protocol_residual,duration_s
0.015671267869780785,0.9255995097438682,38,diffusion_proxy_median_um2_per_s_protocol_residual,duration_s
