target,axis,dropped_source,full_oriented_auc,drop_source_oriented_auc,delta_auc_minus_full,n_after_drop,n_positive_after_drop
future_any_drop_within_8cycles,front_contraction_axis,12_c2_x10_070723,0.7847222222222222,0.8083333333333333,0.023611111111111138,66,30
future_any_drop_within_8cycles,front_contraction_axis,9_c2_x10_010723,0.7847222222222222,0.8181818181818182,0.03345959595959602,63,30
future_any_drop_within_8cycles,front_contraction_axis,5_c2_x10_260623,0.7847222222222222,0.8416666666666667,0.056944444444444464,66,36
future_any_drop_within_8cycles,rollout_difficulty_axis,17_c2_x10_HighHighCOV_150723,0.7152777777777778,0.65,-0.06527777777777777,42,12
future_any_drop_within_8cycles,rollout_difficulty_axis,11_c2_x10_050723,0.7152777777777778,0.696969696969697,-0.018308080808080773,69,36
future_any_drop_within_8cycles,rollout_difficulty_axis,14_c2_x10_HighCOV_110723,0.7152777777777778,0.7045454545454546,-0.010732323232323204,69,36
future_any_drop_within_8cycles,rollout_difficulty_axis,18_c2_xN_HighHighCOV_170723,0.7152777777777778,0.7045454545454546,-0.010732323232323204,69,36
future_any_drop_within_8cycles,rollout_difficulty_axis,5_c2_x10_260623,0.7152777777777778,0.7083333333333334,-0.00694444444444442,66,36
future_any_drop_within_8cycles,rollout_difficulty_axis,16_c2_x10_HighHighCOV_130723,0.7152777777777778,0.712962962962963,-0.0023148148148147696,63,36
future_any_drop_within_8cycles,rollout_difficulty_axis,10_c2_x10_030723,0.7152777777777778,0.7152777777777778,0.0,72,36
future_any_drop_within_8cycles,rollout_difficulty_axis,13_c2_x6_100723,0.7152777777777778,0.7152777777777778,0.0,72,36
future_any_drop_within_8cycles,rollout_difficulty_axis,7_c2_x10_290623,0.7152777777777778,0.7152777777777778,0.0,72,36
future_any_drop_within_8cycles,rollout_difficulty_axis,15_c2_x5_HighCOV_120723,0.7152777777777778,0.7272727272727273,0.011994949494949503,69,36
future_any_drop_within_8cycles,rollout_difficulty_axis,12_c2_x10_070723,0.7152777777777778,0.7416666666666668,0.026388888888889017,66,30
future_any_drop_within_8cycles,rollout_difficulty_axis,9_c2_x10_010723,0.7152777777777778,0.8363636363636364,0.12108585858585863,63,30
future_any_drop_within_8cycles,signed_optical_loss_axis,17_c2_x10_HighHighCOV_150723,0.6126543209876543,0.575,-0.03765432098765431,42,12
future_any_drop_within_8cycles,signed_optical_loss_axis,15_c2_x5_HighCOV_120723,0.6126543209876543,0.5774410774410774,-0.035213243546576845,69,36
future_any_drop_within_8cycles,signed_optical_loss_axis,18_c2_xN_HighHighCOV_170723,0.6126543209876543,0.5774410774410774,-0.035213243546576845,69,36
future_any_drop_within_8cycles,signed_optical_loss_axis,12_c2_x10_070723,0.6126543209876543,0.6009259259259259,-0.011728395061728403,66,30
future_any_drop_within_8cycles,signed_optical_loss_axis,16_c2_x10_HighHighCOV_130723,0.6126543209876543,0.6069958847736625,-0.005658436213991758,63,36
future_any_drop_within_8cycles,signed_optical_loss_axis,10_c2_x10_030723,0.6126543209876543,0.6126543209876543,0.0,72,36
future_any_drop_within_8cycles,signed_optical_loss_axis,13_c2_x6_100723,0.6126543209876543,0.6126543209876543,0.0,72,36
future_any_drop_within_8cycles,signed_optical_loss_axis,7_c2_x10_290623,0.6126543209876543,0.6126543209876543,0.0,72,36
future_any_drop_within_8cycles,signed_optical_loss_axis,14_c2_x10_HighCOV_110723,0.6126543209876543,0.6127946127946128,0.00014029180695851462,69,36
future_any_drop_within_8cycles,signed_optical_loss_axis,5_c2_x10_260623,0.6126543209876543,0.6444444444444445,0.03179012345679022,66,36
future_any_drop_within_8cycles,signed_optical_loss_axis,11_c2_x10_050723,0.6126543209876543,0.6473063973063973,0.03465207631874301,69,36
future_any_drop_within_8cycles,signed_optical_loss_axis,9_c2_x10_010723,0.6126543209876543,0.6595959595959596,0.04694163860830536,63,30
