feature,target,n,spearman_rho,spearman_p
masked_mean_delta,cycles_to_next_event,128,0.11060763844431701,0.21389569762367874
q55_avrami_r2,cycles_to_next_event,128,0.10985134689939859,0.21706366758475032
q65_avrami_logk,echem_regime_pc1,128,-0.10953667292509445,0.21839155691994194
q75_logistic_t0,cycles_to_next_event,127,0.10974967040113914,0.2193338832062631
masked_mean_total_variation,cycles_to_next_event,128,-0.1067746153871169,0.23029502681736855
q65_time_of_max_abs_rate_frac,echem_regime_pc1,128,-0.10624110882021284,0.23264578805822703
q75_logistic_amp,visual_sanity_score,24,-0.25217391304347825,0.23452757092161958
q65_phase_fraction_delta,capacity_fraction_of_first,122,-0.1082260100347298,0.23539405323728813
masked_minus_bg_slope_r2,visual_review_score,24,0.248695652173913,0.24126176688795453
q55_avrami_n,visual_review_score,24,0.248695652173913,0.24126176688795453
q75_avrami_r2,visual_review_score,24,0.2478260869565217,0.24296488702038957
particle_centroid_path_px,capacity_fraction_of_first,122,0.10611040387291376,0.24472823013306721
masked_minus_bg_delta,echem_regime_pc1,128,0.10286374917218637,0.24791767963753003
q75_phase_fraction_delta,cycles_to_next_event,128,-0.10134107215259146,0.2550248369935501
q65_phase_fraction_last,cycles_to_next_event,128,0.10037194158800515,0.25962050966514977
q65_avrami_n,cycles_to_next_event,128,-0.09916013460532475,0.2654462492692152
q65_phase_fraction_last,echem_regime_pc1,128,0.09824234064755319,0.2699172970091073
q75_avrami_n,shape_V_mean,122,-0.0989059476488278,0.2784243529062082
q75_logistic_r2,visual_review_score,24,-0.23043478260869563,0.27867844240498896
q75_avrami_n,echem_regime_pc1,128,-0.09639685050941957,0.2790613752644421
q55_logistic_t0,shape_V_mean,119,0.09967576053762532,0.2807903613801207
q65_avrami_r2,visual_review_score,24,0.2278260869565217,0.28430742700718326
q55_avrami_n,capacity_fraction_of_first,122,-0.09689663141752308,0.2883532120141924
q75_avrami_logk,visual_sanity_score,24,0.2252173913043478,0.29000742759387144
phase_fraction_slope_r2_source_echem_context_residual,visual_review_score,24,0.22434782608695653,0.2919232059452402
q75_phase_fraction_delta,visual_sanity_score,24,-0.2217391304347826,0.2977178574717595
q65_avrami_n,capacity_fraction_of_first,122,-0.09490053437195066,0.29844740558076377
masked_mean_delta,visual_sanity_score,24,0.21478260869565213,0.31351686150284375
q75_logistic_r2,echem_regime_pc1,127,0.08896876946694936,0.3198880708054807
q65_avrami_n,shape_V_mean,122,0.09053820308030228,0.32130925508543007
q75_phase_fraction_delta,capacity_fraction_of_first,122,-0.08987152513671887,0.3249000763421203
