feature,target,n,spearman_rho,spearman_p
q55_time_of_max_abs_rate_frac,shape_V_mean,122,-0.3320586375519883,0.0001865637690005664
q75_phase_fraction_slope_r2,capacity_fraction_of_first,122,0.3316164932796704,0.0001905161771959043
masked_mean_total_variation,shape_V_mean,122,0.3230901184823577,0.00028368546469645405
q55_phase_fraction_total_variation,visual_review_score,24,0.6652173913043479,0.00038981642152620486
q75_phase_fraction_delta,visual_review_score,24,0.657391304347826,0.0004820443227186733
q75_phase_fraction_slope,cycles_to_next_event,128,-0.3007691261400891,0.0005612791412551692
q55_phase_fraction_total_variation,echem_regime_pc1,128,-0.29946891435863854,0.0005946814668998975
q65_max_abs_rate,visual_sanity_score,24,-0.6469565217391303,0.0006340027436564856
q65_time_of_max_abs_rate_frac,shape_V_mean,122,-0.2997091834987124,0.0007972203260620208
q65_phase_fraction_total_variation,visual_review_score,24,0.6330434782608695,0.0008997476484507526
q75_max_abs_rate,visual_sanity_score,24,-0.6330434782608695,0.0008997476484507526
q65_phase_fraction_slope_r2,shape_V_mean,122,0.29671784294648335,0.0009044277134796438
q75_phase_fraction_slope,shape_V_mean,122,-0.2897248936941137,0.0012084030013900604
q65_logistic_amp,visual_review_score,22,0.637492941840768,0.0014160746840986929
q75_logistic_t0,capacity_fraction_of_first,121,0.28304596873905996,0.0016564603845281376
q75_avrami_n,cycles_to_next_event,128,-0.26748083920087745,0.0022707139000184124
q75_max_abs_rate,capacity_fraction_of_first,122,0.2736587820333437,0.0022885191007379134
q65_max_abs_rate,capacity_fraction_of_first,122,0.2728225136135706,0.0023634656114747826
q55_max_abs_rate,capacity_fraction_of_first,122,0.27260214100269886,0.0023835813792740888
q55_logistic_k,capacity_fraction_of_first,119,-0.2757375540703225,0.0024032717402208085
masked_minus_bg_slope,shape_V_mean,122,-0.2706892662396481,0.002564799673383019
q65_phase_fraction_delta,visual_review_score,24,0.5869565217391304,0.0025685296168339337
particle_centroid_path_px,shape_V_mean,122,0.2685213197795561,0.002785151268703648
q65_phase_fraction_slope,shape_V_mean,122,-0.26400035825912055,0.0033004428108017124
q75_avrami_r2,shape_V_mean,122,-0.26152837052718647,0.0036170846942737028
q75_logistic_amp,visual_review_score,24,0.5669565217391304,0.0038657806979389177
q55_max_abs_rate,visual_sanity_score,24,-0.5617391304347825,0.004283140443219153
q55_phase_fraction_slope,shape_V_mean,122,-0.25548720264754005,0.004508631776608707
q55_time_of_max_abs_rate_frac,visual_sanity_score,24,0.5564592260805575,0.004743498708149643
q55_phase_fraction_delta,visual_review_score,24,0.5530434782608695,0.005062933315680417
q75_time_of_max_abs_rate_frac,shape_V_mean,122,-0.25218207083744737,0.005075437810720474
q55_logistic_amp,visual_review_score,22,0.5686053077357426,0.00575819339992728
q55_logistic_r2,cycles_to_next_event,124,0.2461931293896803,0.005846236362422013
q55_phase_fraction_slope_r2,shape_V_mean,122,0.2479522667801474,0.005893164019695377
particle_centroid_path_px,echem_regime_pc1,128,-0.24206803507761987,0.005907215873075192
q55_phase_fraction_first,cycles_to_next_event,128,0.24173873617171127,0.005977235930357741
q65_phase_fraction_slope,cycles_to_next_event,128,-0.24146899364080493,0.006035141796457911
q75_logistic_t0,shape_V_mean,121,0.2478845580361776,0.006118750131886208
q55_phase_fraction_first,capacity_fraction_of_first,122,-0.24652567228164063,0.006194296762161452
particle_centroid_max_step_px,capacity_fraction_of_first,122,0.2441847988464511,0.006718134693052262
q65_phase_fraction_slope_r2,capacity_fraction_of_first,122,0.24295541457335018,0.00700869327574046
q55_phase_fraction_slope_r2,capacity_fraction_of_first,122,0.2422415785438077,0.007182470887070439
q55_avrami_logk,shape_V_mean,122,0.24173924948598155,0.007307037408057757
masked_minus_bg_slope_r2,shape_V_mean,122,0.24106507101363592,0.007477225421878254
q55_avrami_n,cycles_to_next_event,128,-0.23143094222643337,0.00857770981878195
