target,feature_family,method,comparison,delta_roc_auc,delta_average_precision,delta_spearman_rho,comparison_metric,base_metric
future_any_drop_within_8cycles,particle_vs_context,source_mean_resid_4,particle_vs_context_source_mean_resid_4_minus_all_video_raw,-0.2677469135802468,-0.34340468477670116,-0.4637959934580945,0.44367283950617287,0.7114197530864197
future_any_drop_within_8cycles,particle_intensity,source_confound_filter_0.50,particle_intensity_source_confound_filter_0.50_minus_same_raw,-0.2708333333333335,-0.29264206163855544,-0.46914234496769797,0.5146604938271604,0.7854938271604939
future_any_drop_within_8cycles,norm_heterogeneity,source_mean_resid_4,norm_heterogeneity_source_mean_resid_4_minus_all_video_raw,-0.3117283950617283,-0.3469132622451332,-0.5399815024699429,0.3996913580246914,0.7114197530864197
future_any_drop_within_8cycles,video_embedding,source_confound_filter_0.50,video_embedding_source_confound_filter_0.50_minus_all_video_raw,-0.31404320987654316,-0.32612811033390193,-0.5439912661021455,0.39737654320987653,0.7114197530864197
future_any_drop_within_8cycles,particle_gradient,raw,particle_gradient_raw_minus_all_video_raw,-0.35956790123456783,-0.32251217379111974,-0.6228499508687955,0.35185185185185186,0.7114197530864197
future_any_drop_within_8cycles,particle_vs_context,raw,particle_vs_context_raw_minus_all_video_raw,-0.36574074074074064,-0.38461533904145606,-0.6335426538880025,0.34567901234567905,0.7114197530864197
future_any_drop_within_8cycles,norm_heterogeneity,source_confound_filter_0.50,norm_heterogeneity_source_confound_filter_0.50_minus_all_video_raw,-0.37422839506172834,-0.3909589410009929,-0.6482451205394117,0.33719135802469136,0.7114197530864197
future_any_drop_within_8cycles,particle_vs_context,source_mean_resid_2,particle_vs_context_source_mean_resid_2_minus_all_video_raw,-0.45756172839506165,-0.41860280614989986,-0.7925966112987034,0.25385802469135804,0.7114197530864197
future_any_drop_within_8cycles,norm_heterogeneity,raw,norm_heterogeneity_raw_minus_all_video_raw,-0.4907407407407407,-0.43100367357425473,-0.8500698900269399,0.220679012345679,0.7114197530864197
future_any_drop_within_8cycles,particle_vs_context,source_confound_filter_0.50,particle_vs_context_source_confound_filter_0.50_minus_all_video_raw,-0.5054012345679012,-0.4302502117294926,-0.8754650596975561,0.2060185185185185,0.7114197530864197
