roi_id,cycleNo,source_stem,local_cycle_index,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,x_bin,y_bin,xy_region,transferred_masked_residual_signature,validation_score_recon,radius2_slope_median_px2_per_s,diffusion_proxy_median_um2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,phase_slope_positive_fraction,threshold_robust_phase_score,threshold_robust_diffusion_score,persistence_particle_mse_fraction_of_full_mean,velocity_particle_mse_fraction_of_full_mean,mask_instability_score,node_index
cycle40_rank2_obj3,40.0,5_c2_x10_260623,5,0,0,0,1178.5882352941176,583.6470588235294,mid,high,mid_high,0.7842017555889671,26.16938597041552,0.0011306406741123,2.604996113154949e-06,0.001134214623247,0.0013399427879879,1.0,0.6805555555555556,-0.2152777777777777,0.936738418524058,0.8674214777774755,1.724018708916023,30
cycle104_rank6_obj3,104.0,11_c2_x10_050723,9,0,1,0,1194.5333333333333,678.5333333333333,mid,high,mid_high,0.3719069574735253,26.27643821059555,-0.0010195646174998,-2.3490768787196005e-06,-0.0012895547595565,-0.0008075055097139,1.0,0.6666666666666667,0.8541666666666667,0.953346085725471,0.9612317554780462,1.28591123814621,31
cycle78_rank22_obj1,78.0,9_c2_x10_010723,3,1,1,0,1336.548387096774,121.29032258064515,high,low,high_low,0.2683863942126585,24.74683509607009,-0.0009601304070802,-2.212140457912842e-06,-0.0009404233233049,-0.0004812612516539,1.0,0.6666666666666666,0.4791666666666667,1.0316958729374175,0.8670838449103709,1.014428882774607,32
cycle84_rank23_obj2,84.0,9_c2_x10_010723,9,1,1,0,1185.1333333333334,1028.9333333333334,mid,high,mid_high,0.257364534667413,24.753681477229097,-0.0002663373802081,-6.136413239995928e-07,-8.959182824491732e-05,0.00026752773844,1.0,0.6666666666666666,0.3055555555555556,1.4654567061147652,1.1801423954329369,0.1736811681558996,33
cycle104_rank6_obj2,104.0,11_c2_x10_050723,9,0,1,0,834.0909090909091,94.0909090909091,low,low,low_low,0.3719069574735253,26.016309967505705,-0.0004799564027476,-1.1058195519305446e-06,-0.0005976898066178,-0.0003440654935633,0.0,0.6527777777777778,0.7847222222222223,0.9171793746343871,0.9038673552583648,1.9895833333333333,34
cycle84_rank23_obj1,84.0,9_c2_x10_010723,9,1,1,0,1332.9481481481482,105.48148148148148,high,low,high_low,0.257364534667413,24.70841394342318,-0.0005080570778177,-1.1705635072920715e-06,-0.0006580784042824,1.9083802625296395e-05,0.0,0.6527777777777778,0.7430555555555556,1.4010006799561154,1.1199140814527233,1.6550854080506543,35
cycle155_rank19_obj3,155.0,17_c2_x10_HighHighCOV_150723,9,1,1,0,1201.7586206896551,1111.1724137931035,mid,high,mid_high,0.7426923860413742,23.548300466193936,0.0053069373913536,1.222718374967873e-05,0.0053584897584566,0.007930471237946,1.0,0.6527777777777778,0.6875,2.6981034621995,2.8099915079189954,1.038581947532141,36
cycle147_rank3_obj3,147.0,17_c2_x10_HighHighCOV_150723,1,0,1,0,1645.860465116279,128.27906976744185,high,mid,high_mid,0.6943342227566772,24.767776766802942,-0.0020099023878088,-4.630815101511622e-06,-0.0022968662485817,-0.0013100015571543,1.0,0.6388888888888888,0.951388888888889,1.2211599450508537,1.1636749584970614,2.6199784085840183,37
cycle140_rank9_obj3,140.0,16_c2_x10_HighHighCOV_130723,4,0,1,0,1347.747572815534,182.4660194174757,high,mid,high_mid,0.2389476922815127,24.698173268896447,-0.002655363085061,-6.117956547980661e-06,-0.0027105021945395,-0.0006232232281609,0.0,0.625,0.7430555555555556,2.1948594437554854,2.290881784812008,1.435390543077196,38
cycle139_rank11_obj3,139.0,16_c2_x10_HighHighCOV_130723,3,0,0,0,1203.304347826087,664.0,high,high,high_high,0.2177667218010263,24.49537938711706,0.0039003684362263,8.986448877065399e-06,0.0050613189882584,0.0057454130061423,0.0,0.625,0.3194444444444444,1.4125587003405409,1.362634247233366,0.4528876311912129,39
