roi_id,cycleNo,cohort_role,event_reference_cycle,method,n_eval_frames,transition_center_frac,transition_iqr_frac,residual_peak_step_fraction,residual_peak_particle_mse,residual_weighted_center_frac,peak_distance_to_transition_frac,weighted_center_distance_to_transition_frac,near_transition_residual_fraction,near_transition_particle_mse_median,far_transition_particle_mse_median,near_minus_far_particle_mse_median,near_far_wilcoxon_p,particle_to_nonparticle_mse_ratio_median,mask_fallback_fraction_eval,alignment_permutation_p,mode_label,is_event_enriched_mode,duration_s,roi_norm_total_variation,q60_time_of_max_abs_rate_frac,q70_time_of_max_abs_rate_frac,q80_time_of_max_abs_rate_frac,q60_max_abs_rate_per_s,q70_max_abs_rate_per_s,q80_max_abs_rate_per_s,q70_transformed_fraction_delta,q80_transformed_fraction_delta,transition_center_frac_ctx,transition_iqr_frac_ctx
cycle118_rank3_obj9,118.0,control,116.0,low_rank_dmd,32,0.9789473684210526,0.0052631578947368585,1.0,0.0069370111450552,0.5798720455079214,0.021052631578947434,0.3990753229131312,0.29347575693411004,0.00528912432491775,0.0028425651835277,0.00244655914139005,0.03125,4.0100794000842725,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.0503388807177543,0.9789473684210526,0.9789473684210526,0.9684210526315788,5.119627202397029e-05,3.833245325234871e-05,2.909467735594934e-05,0.0011067708333333,0.0013454861111111,0.9789473684210526,0.0052631578947368585
cycle118_rank3_obj9,118.0,control,116.0,persistence,32,0.9789473684210526,0.0052631578947368585,0.45161290322580644,0.0002547130279708,0.5511351958838977,0.5273344651952461,0.42781217253715487,0.26281296413726374,0.00011683637058009212,7.309008651645854e-05,4.3746284063633575e-05,0.09375,1.010062933738058,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.0503388807177543,0.9789473684210526,0.9789473684210526,0.9684210526315788,5.119627202397029e-05,3.833245325234871e-05,2.909467735594934e-05,0.0011067708333333,0.0013454861111111,0.9789473684210526,0.0052631578947368585
cycle118_rank3_obj9,118.0,control,116.0,velocity,32,0.9789473684210526,0.0052631578947368585,0.45161290322580644,0.0007013525464572,0.5386890114954966,0.5273344651952461,0.4402583569255559,0.22967739196338377,0.00026172074285565,0.00020488099107744998,5.683975177820001e-05,0.15625,0.9830189793672655,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.0503388807177543,0.9789473684210526,0.9789473684210526,0.9684210526315788,5.119627202397029e-05,3.833245325234871e-05,2.909467735594934e-05,0.0011067708333333,0.0013454861111111,0.9789473684210526,0.0052631578947368585
cycle118_rank4_obj1,118.0,control,116.0,low_rank_dmd,32,0.5578947368421052,0.25263157894736843,0.967741935483871,0.003488841233775,0.5324125202011085,0.4098471986417658,0.025482216640996702,0.27477936084301774,0.0026897622738033,0.00258215283975,0.00010760943405330008,0.00390625,5.264805112991228,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.0395157933235168,0.0526315789473684,0.5578947368421052,0.5578947368421052,3.453374166878238e-05,2.944001477263769e-05,2.9871686543497077e-05,-0.0015842013888889,0.0008463541666666,0.5578947368421052,0.25263157894736843
cycle118_rank4_obj1,118.0,control,116.0,persistence,32,0.5578947368421052,0.25263157894736843,0.45161290322580644,0.0001585297868587,0.5058159007117555,0.10628183361629878,0.05207883613034969,0.29295027018092,0.0001085845433408,0.0001089409124688,-3.5636912800001135e-07,0.5703125,1.0559316371308456,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.0395157933235168,0.0526315789473684,0.5578947368421052,0.5578947368421052,3.453374166878238e-05,2.944001477263769e-05,2.9871686543497077e-05,-0.0015842013888889,0.0008463541666666,0.5578947368421052,0.25263157894736843
cycle118_rank4_obj1,118.0,control,116.0,velocity,32,0.5578947368421052,0.25263157894736843,0.45161290322580644,0.0004557704378385,0.5033847903660049,0.10628183361629878,0.0545099464761003,0.298030776886924,0.000317136204103,0.0003176759055349,-5.397014319000063e-07,0.49609375,1.058516801265339,0.0,,near_baseline_or_context_like,0,11939.81216526033,0.0395157933235168,0.0526315789473684,0.5578947368421052,0.5578947368421052,3.453374166878238e-05,2.944001477263769e-05,2.9871686543497077e-05,-0.0015842013888889,0.0008463541666666,0.5578947368421052,0.25263157894736843
cycle156_rank1_obj1,156.0,event,156.0,low_rank_dmd,32,1.0,0.0,0.9354838709677419,0.0146595863625407,0.5447642049544537,0.06451612903225812,0.45523579504554634,0.20417439385158145,0.0134725933894515,0.0099196732044219,0.0035529201850296004,0.0625,22.43776771678877,0.0,,optical_loss_rollout_hard,0,95.0,0.0516052842140197,1.0,1.0,1.0,0.0093532986111111,0.0102213541666666,0.0080946180555555,0.0770182291666666,0.0696831597222222,1.0,0.0
cycle156_rank1_obj1,156.0,event,156.0,persistence,32,1.0,0.0,0.8709677419354839,0.0007257453398779,0.69783523960852,0.12903225806451613,0.30216476039148,0.49531503093161267,0.0001919295173138,5.062736090621911e-05,0.0001413021564075809,0.0625,1.7615830332914468,0.0,,optical_loss_rollout_hard,0,95.0,0.0516052842140197,1.0,1.0,1.0,0.0093532986111111,0.0102213541666666,0.0080946180555555,0.0770182291666666,0.0696831597222222,1.0,0.0
cycle156_rank1_obj1,156.0,event,156.0,velocity,32,1.0,0.0,0.9354838709677419,0.0008476054645143,0.6523067435562654,0.06451612903225812,0.3476932564437346,0.43547917381450907,0.0003606869431678,8.292011625599116e-05,0.0002777668269118088,0.0625,0.9661558947144719,0.0,,optical_loss_rollout_hard,0,95.0,0.0516052842140197,1.0,1.0,1.0,0.0093532986111111,0.0102213541666666,0.0080946180555555,0.0770182291666666,0.0696831597222222,1.0,0.0
cycle156_rank2_obj2,156.0,event,156.0,low_rank_dmd,32,0.6105263157894737,0.15263157894736845,0.9032258064516129,0.0225060693919658,0.5291839917196836,0.2926994906621392,0.08134232406979014,0.25996761120037903,0.0145440716296434,0.0155761484056711,-0.0010320767760277003,0.91015625,2.5986053744837383,0.0,,optical_brightening_decorrelating_rollout_hard_front_positive,1,95.0,0.1043322518467903,0.6105263157894737,0.6105263157894737,0.3052631578947368,0.0102756076388888,0.0093641493055555,0.0084418402777777,0.1845703125,0.1563802083333333,0.6105263157894737,0.15263157894736845
