source_table,source_path,row_index,feature_set,method,target,split,auc,average_precision,spearman_rho,empirical_p_ge_observed,null_auc_p95,source_eta2,n_eval,leakage_penalty,control_bonus,auc_component,ap_component,rho_component,scientific_score,promotion_status
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,7,pair::particle_vs_context_mean_diff_positive_fraction+particle_norm_min,source_confound_filter_0.50,,source_confound_filter_0.50,0.7274853801169591,0.8796559875996621,0.320311103963499,0.0079840319361277,0.6363157894736841,0.0,72.0,0.0,0.17,0.7274853801169591,0.8796559875996621,0.320311103963499,1.2374,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,12,trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_std_last_minus_first,source_confound_filter_0.50,,source_confound_filter_0.50,0.7251461988304093,0.8777084666226097,0.3167726626385975,0.0079840319361277,0.6316959064327484,0.0,72.0,0.0,0.17,0.7251461988304093,0.8777084666226097,0.3167726626385975,1.234,promote_for_followup
source_invariant_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_video_echem_transfer_audit/source_invariant_video_echem_metrics.csv,57,video_plus_echem,source_mean_resid_1,future_any_drop_within_16cycles,source_mean_resid_1,0.6783625730994152,0.8780573578692342,0.2509497717007072,0.0179640718562874,0.6457309941520467,0.0,72.0,0.0,0.22,0.6783625730994152,0.8780573578692342,0.2509497717007072,1.2308,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,13,trio::particle_vs_context_mean_diff_positive_fraction+particle_norm_mean+particle_std_slope,source_confound_filter_0.50,,source_confound_filter_0.50,0.7228070175438597,0.8754399150416015,0.3134815180917031,0.0079840319361277,0.631578947368421,0.0,72.0,0.0,0.17,0.7228070175438597,0.8754399150416015,0.3134815180917031,1.2306,promote_for_followup
source_invariant_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_video_echem_transfer_audit/source_invariant_video_echem_metrics.csv,44,echem_regime,source_mean_resid_8,future_any_drop_within_16cycles,source_mean_resid_8,0.6631578947368421,0.9096962220557696,0.2297346992437434,0.0359281437125748,0.6491228070175439,0.0,72.0,0.0,0.22,0.6631578947368421,0.9096962220557696,0.2297346992437434,1.2245,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,0,trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_last_minus_first+particle_gradient_diff_q90,raw,,raw,0.7497076023391812,0.90521469478692,0.35132968038099,0.0019960079840319,0.6328070175438596,0.0,72.0,0.05,0.17,0.7497076023391812,0.90521469478692,0.35132968038099,1.2217,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,1,trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_last_minus_first+particle_gradient_diff_abs_mean,raw,,raw,0.7473684210526316,0.9052351905881326,0.3480385358340955,0.0019960079840319,0.6398245614035087,0.0,72.0,0.05,0.17,0.7473684210526316,0.9052351905881326,0.3480385358340955,1.219,promote_for_followup
source_invariant_interpretable_feature,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_interpretable_feature_audit/interpretable_feature_set_metrics.csv,16,trio::particle_vs_context_mean_diff_positive_fraction+particle_mean_last_minus_first+particle_gradient_diff_q90,source_confound_filter_0.50,,source_confound_filter_0.50,0.7099415204678362,0.8805219489705652,0.2953802230837832,0.0079840319361277,0.6421637426900584,0.0,72.0,0.0,0.17,0.7099415204678362,0.8805219489705652,0.2953802230837832,1.2177,promote_for_followup
source_invariant_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_invariant_video_echem_transfer_audit/source_invariant_video_echem_metrics.csv,5,acquisition_context,source_confound_filter_0.10,future_any_drop_within_8cycles,source_confound_filter_0.10,1.0,1.0,0.8661089445557502,,,0.0,72.0,0.3,0.08,1.0,1.0,0.8661089445557502,1.2166,leakage_guarded
source_balanced_video_echem_transfer,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_video_echem_transfer_audit/source_balanced_video_echem_metrics.csv,0,acquisition_context,,future_any_drop_within_8cycles,,1.0,1.0,0.8661089445557502,,,0.0,72.0,0.3,0.08,1.0,1.0,0.8661089445557502,1.2166,leakage_guarded
