feature,direction,n,n_positive,median_positive,median_negative,oriented_auc,average_precision,mannwhitney_p,spearman_rho_oriented,spearman_p_oriented,source_eta2
velocity_particle_mse_fraction_of_full_mean,low,72,57,1.2397749874592123,1.3686106114276049,0.49473684210526314,0.8181517339637012,0.9557351847666635,-0.0074107967497981765,0.9507356528717842,0.4855338723264259
particle_norm_range,low,72,57,0.1775956284153004,0.2076502732240439,0.49473684210526314,0.8086774553818712,0.9557351847666635,-0.0074107967497981765,0.9507356528717842,0.4571062994702919
particle_vs_context_mean_diff_q10,low,72,57,-0.0009813800454139,-0.0008726298809051,0.49005847953216375,0.7717977449696265,0.9116744667638399,-0.013987364324301714,0.9071649886983071,0.5675554393344082
particle_norm_std,low,72,57,0.0768361646409199,0.0875947818677682,0.4842105263157895,0.8048499518404089,0.8568423426658393,-0.022232390249394527,0.8529393495744491,0.4497529534455426
neg_dq_abs_peak_frac,high,54,42,0.14079579480543394,0.10272673589936435,0.48214285714285715,0.8020940194259523,0.859432680362644,-0.02575700417444659,0.853326020173863,0.7802451161130358
shape_V_std,low,54,42,0.19801925794198635,0.26092158712972247,0.48214285714285715,0.8020940194259523,0.859432680362644,-0.02575700417444659,0.853326020173863,0.8303563965208116
cycle_state_pc2,low,72,57,0.2653482984590313,0.3388431544341359,0.4526315789473684,0.8162929600542512,0.5788522026693945,-0.0666971707481836,0.5777598504681172,0.17477854088825467
particle_norm_min,low,72,57,1.0573770491803278,1.0819672131147542,0.4473684210526315,0.7511446886446886,0.5351201928715192,-0.07443229275647868,0.5343441886327742,0.6411185873892699
shape_V_q95,low,54,42,4.2513235,4.3595205,0.42857142857142855,0.7873805582839196,0.4592879835568149,-0.1030812199116074,0.4582424084540418,0.9957722862332501
shape_V_q90,low,54,42,4.187023699999999,4.2867455,0.42857142857142855,0.7867538040857369,0.4595197693920776,-0.10302801669778636,0.45847568289500246,0.9905868616561526
pos_dq_abs_midV_frac,high,54,42,0.571118059967153,0.549120930609474,0.4107142857142857,0.7815589988909316,0.3538477921784047,-0.12878502087223295,0.3533549346400955,0.9953247097246128
neg_dq_abs_midV_frac,high,54,42,0.6572500955925071,0.575308186073312,0.4107142857142857,0.749965592297525,0.3538477921784047,-0.12878502087223295,0.3533549346400955,0.8827322824392756
pos_dq_abs_highV_frac,low,54,42,0.427758422959737,0.4493762972837939,0.39285714285714285,0.7772299945619273,0.26499379453814387,-0.15454202504667952,0.2645103893914042,0.99437812392504
particle_std_last_mean,low,72,57,0.1711543588899076,0.1719654914923012,0.3906432748538012,0.7440697953908086,0.19721633435850272,-0.15386100756731882,0.1969104073931818,0.20188880086874084
all_dq_abs_midV_frac,high,54,42,0.6140596443600485,0.5638618962277112,0.375,0.7415157088476416,0.1928550958554469,-0.18029902922112612,0.192014854302299,0.9451096050973563
particle_gradient_diff_positive_fraction,high,72,57,0.5157894736842106,0.5157894736842106,0.37192982456140355,0.7442354350269218,0.12922410415722863,-0.1808807344482811,0.12837662538663355,0.41348667672196937
diffusion_proxy_abs_median_um2_per_s,low,72,57,2.212140457912842e-06,2.2324754997855146e-06,0.32631578947368417,0.7195578625064601,0.040001862772706426,-0.24455629274333981,0.03841844484730778,0.436177215394355
