n_eval,n_positive,n_covered,n_covered_positive,coverage,precision,recall,base_rate,lift,binary_auc,fisher_p_greater,heldout_source,n_cycles,rule_name,terms
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
6,6,6,6,1.0,1.0,1.0,1.0,1.0,,1.0,12_c2_x10_070723,2,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
3,0,0,0,0.0,,,0.0,,,1.0,14_c2_x10_HighCOV_110723,1,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
3,0,0,0,0.0,,,0.0,,,1.0,15_c2_x5_HighCOV_120723,1,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
9,6,0,0,0.0,,0.0,0.6666666666666666,,,1.0,16_c2_x10_HighHighCOV_130723,3,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
30,30,3,3,0.1,1.0,0.1,1.0,1.0,,1.0,17_c2_x10_HighHighCOV_150723,10,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
3,0,0,0,0.0,,,0.0,,,1.0,18_c2_xN_HighHighCOV_170723,1,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
6,3,0,0,0.0,,0.0,0.5,,,1.0,5_c2_x10_260623,2,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
9,9,3,3,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,,1.0,9_c2_x10_010723,3,capacity_fraction_of_first__AND__shape_charge_mAh_neg_abs,low(capacity_fraction_of_first) AND low(shape_charge_mAh_neg_abs)
3,3,3,3,1.0,1.0,1.0,1.0,1.0,,1.0,11_c2_x10_050723,1,capacity_fraction_of_first__AND__neg_dq_abs_lowV_frac,low(capacity_fraction_of_first) AND high(neg_dq_abs_lowV_frac)
