roi_id,cycleNo,cohort_role,event_reference_cycle,source_stem,object_x_full_approx,object_y_full_approx,n_frames_percentile,V_mean,I_mean_mA,front_quality_score,degradation_mode_hypothesis,mode_label,mode_review_priority,mode_pc1,mode_pc2,rollout_mobility_difficulty_score,phase_slope_positive_fraction_protocol_residual,phase_slope_median_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,is_event_roi,is_event_enriched_mode,front_positive_residual_binary,xy_region
cycle88_rank3_obj6,88.0,control,86.0,10_c2_x10_030723,1182.9565217391305,1082.8695652173913,0.1797752808988764,3.831200505021645,0.0275566391094619,0.7769960856294926,synchronized_persistent_drop_low_frame_count,front_negative_high_apparent_front_proxy,1.0865384615384617,-1.4780249003735582,-1.1163823282498428,1.173076923076923,-0.0437833588005094,-1.1514589648276589e-06,0.1815075701229222,3.1192672843138827e-06,0,0,0,2_3
cycle88_rank4_obj8,88.0,control,86.0,10_c2_x10_030723,1660.7633587786258,189.7404580152672,0.1797752808988764,3.831200505021645,0.0275566391094619,0.5810432952277503,synchronized_persistent_drop_low_frame_count,front_negative_high_apparent_front_proxy,1.471153846153846,-2.180457373893839,-2.164025590774572,0.9615384615384616,-0.0437833588005094,-2.548222158466415e-07,-0.087723199107847,6.344928382582685e-06,0,0,0,3_0
cycle90_rank6_obj3,90.0,control,86.0,10_c2_x10_030723,572.7058823529412,232.7843137254902,0.1629213483146067,3.827082278554738,0.0214392907791812,1.289483423927142,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.9711538461538464,-0.4847325856327704,0.0549434806313001,1.326923076923077,-0.0178277307758196,-4.158135068208526e-07,-0.2258763705619096,-1.3877525085501498e-06,0,0,0,1_0
cycle90_rank3_obj4,90.0,control,86.0,10_c2_x10_030723,1335.5280898876404,172.67415730337078,0.1629213483146067,3.827082278554738,0.0214392907791812,0.8739415527028875,synchronized_persistent_drop_low_frame_count,front_negative_high_apparent_front_proxy,1.1923076923076923,-2.390112676951378,-0.2196865809234177,0.0192307692307692,-0.0178277307758196,-1.220794138886751e-06,-0.3797225244080635,1.3922553204727426e-06,0,0,0,3_0
cycle90_rank4_obj6,90.0,control,86.0,10_c2_x10_030723,1660.504854368932,188.4660194174757,0.1629213483146067,3.827082278554738,0.0214392907791812,0.6170181321033799,synchronized_persistent_drop_low_frame_count,front_negative_high_apparent_front_proxy,1.1538461538461535,-1.4728780065350462,-0.085978868025376,0.5576923076923078,-0.0178277307758196,-6.5383494965582e-07,-0.1104917551772943,1.5628215941447027e-06,0,0,0,3_0
cycle90_rank5_obj10,90.0,control,86.0,10_c2_x10_030723,810.7,383.05,0.1629213483146067,3.827082278554738,0.0214392907791812,0.764701860494445,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.9326923076923076,0.5567174797351967,1.404907864180965,1.2884615384615383,-0.0178277307758196,2.221579402026982e-06,0.1395082448227057,-3.2354183198737946e-06,0,0,0,1_1
cycle116_rank2_obj2,116.0,event,116.0,13_c2_x6_100723,1348.6176470588234,177.44117647058823,0.0112359550561797,3.903938643271297,0.0070410067032469,1.2552609026042028,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.9038461538461536,-0.9585628244905224,1.0423903434434236,-0.25,0.0026455239053564,-1.3192727683988097e-06,0.1749824232644163,-1.0749852266549075e-06,1,0,1,3_0
cycle116_rank3_obj9,116.0,event,116.0,13_c2_x6_100723,820.927536231884,380.1159420289855,0.0112359550561797,3.903938643271297,0.0070410067032469,1.2773770940661642,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,0.8076923076923077,0.7254427585850052,0.4380251142157,1.2115384615384617,0.0026455239053564,2.427916361093061e-06,-0.0173252690432759,-1.6583539047039635e-09,1,0,1,1_1
cycle116_rank1_obj6,116.0,event,116.0,13_c2_x6_100723,1199.1515151515152,1088.4242424242425,0.0112359550561797,3.903938643271297,0.0070410067032469,1.108391242725916,synchronized_persistent_drop_low_frame_count,near_baseline_or_context_like,1.0576923076923077,0.6993278648944173,0.3868564846401943,1.25,0.0026455239053564,8.43562591672076e-07,0.1942131924951856,-1.1184417468833687e-06,1,0,1,2_3
cycle116_rank5_obj43,116.0,event,116.0,13_c2_x6_100723,1247.2,1177.6,0.0112359550561797,3.903938643271297,0.0070410067032469,1.1308900021649042,synchronized_persistent_drop_low_frame_count,front_negative_high_apparent_front_proxy,0.7115384615384615,-1.4204679880142386,-0.649792047324512,0.5192307692307693,0.0026455239053564,-3.0316415108755955e-08,0.0211362694182626,3.268721368971139e-06,1,0,1,2_3
