cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first,object_area_ds_px,object_mean_residual,object_mean_abs_z
56.0,7_c2_x10_290623,2,1.0,1.0,0.2699110243055556,0.253662109375,0.0035536024305555247,0.002905567077426974,7.27762471867292,0.19178089825058015,0.16510364819989112,0.14104418270289898,0.005089612555277262,8.0,0.0,-0.0019329896907216391,6.5,0.0,-0.7545103092783507,6.0,0.0,-0.683634020618557,0.010526315789473684,6.0,0.21198453608247445,-12.826675257731964,-0.4728425567010308,-0.00020983815193172375,70.0,10723.6650390625,26.32070255279541
58.0,7_c2_x10_290623,2,1.0,1.0,0.2681206597222222,0.2497287326388889,0.006632486979166671,-0.00883758300221936,8.427969650518992,0.21363945232707793,0.21241043716227456,0.1452329820021987,0.0081470002787495,8.0,0.0,,7.5,0.0,-0.07731958762886598,6.5,-0.5,-0.8247422680412375,0.010526315789473684,3.75,0.39143041237113396,-1.576030927835053,-0.05809880412371146,4.5817345380799995e-05,97.5,9215.6689453125,23.693726539611816
62.0,7_c2_x10_290623,2,0.0,0.0,0.2871636284722222,0.2631293402777778,0.008870442708333315,-0.011397528894168816,8.072986695574748,0.29659857407035894,0.6882493115216561,0.14855285920202732,0.008301425426382306,6.0,-1.0,-0.7960695876288663,6.0,-0.5,-0.9046391752577323,5.5,-0.5,-0.611469072164949,0.0,6.5,0.5141752577319587,-9.951030927835056,-0.36683480412371183,0.0009771324694156,61.0,9540.37939453125,22.9137544631958
64.0,7_c2_x10_290623,2,0.0,0.0,0.2693684895833333,0.2537163628472222,0.0037027994791666574,-0.0044043891618341935,7.8625524124899275,0.2006549050801097,0.20839570367966992,0.14342903532087803,0.00264765377055623,6.5,0.0,,5.5,0.0,0.789948453608248,5.0,0.5,1.4323453608247432,0.015789473684210527,4.0,-0.13820876288659806,10.269329896907227,0.37856857731958776,0.00011911243200298318,88.0,9917.82080078125,25.522751808166504
66.0,8_c2_x10_300623,2,0.0,0.0,0.2715386284722222,0.25105794270833337,0.007039388020833301,-0.0006642205062464173,7.808311090382805,0.18425618468506438,0.3386310238419525,0.14297499414533377,0.004038278701158297,8.0,0.0,,6.5,2.0,4.425257731958765,6.0,0.5,1.4432989690721656,0.03684210526315789,4.0,-0.10760309278350508,80.67139175257736,2.9738701855670118,-0.00043338164687154997,102.5,9253.47119140625,23.918957710266113
68.0,8_c2_x10_300623,2,0.0,0.0,0.2674696180555556,0.2419704861111111,0.00543891059027779,0.02447726499856817,8.227657003655587,0.22232865705132487,0.5092464875146534,0.15594980120658875,-0.00594527315895659,7.0,1.0,2.1945876288659805,6.5,0.5,1.6597938144329905,6.0,0.5,1.0773195876288666,0.015789473684210527,3.5,0.4033505154639176,24.426546391752588,0.9004602061855671,-0.00040797516703600003,44.0,11115.1787109375,27.40323543548584
70.0,8_c2_x10_300623,2,0.0,1.0,0.2634006076388889,0.2454155815972222,0.004828559027777762,0.010724289447308143,7.4696146310037195,0.22831220775652988,0.25148908042343576,0.15126675926148891,0.0005008048418736516,6.0,0.0,0.9922680412371137,6.0,0.0,0.7190721649484536,5.5,0.5,0.3070231958762889,0.015789473684210527,6.0,-1.5538015463917527,9.347938144329897,0.34460239175257745,-0.00012560561299322732,39.5,11836.97412109375,28.533278465270996
72.0,8_c2_x10_300623,2,0.0,1.0,0.2715928819444444,0.2560763888888889,0.0030110677083333426,0.005118493498532365,7.719440063851953,0.20922604415424018,0.2576623861614479,0.14256343618035316,0.001306217336623936,6.5,0.0,,6.0,0.0,-0.24935567010309295,5.5,0.0,-0.03479381443298974,0.010526315789473684,4.0,-0.08215206185567014,-3.241623711340208,-0.11949921649484538,0.000406440347433,92.5,10105.837158203125,25.96180248260498
74.0,8_c2_x10_300623,2,0.0,1.0,0.2739800347222222,0.2554796006944444,0.004109700520833315,-0.00020432444918742817,10.351208816502904,0.260112871556428,0.07623156754106516,0.1396305626258254,0.0009180600322859804,21.0,-0.5,-0.6269329896907219,21.0,0.0,,21.0,0.0,-0.16301546391752586,0.0,4.0,1.749355670103093,,,-0.0002445019781589,39.5,13116.9091796875,31.57118511199951
76.0,9_c2_x10_010723,2,0.0,1.0,0.27115885416666663,0.25699869791666663,0.004313151041666657,-0.00025710972177476967,7.861719074294725,0.2150446268506603,0.14436066550285598,0.1544030522927642,0.008063176045549519,7.0,0.0,0.09342783505154655,6.0,0.0,-0.05863402061855673,5.5,0.0,,0.005263157894736842,3.5,-0.8028350515463919,-0.6449742268041239,-0.023776329896907245,-4.858151078223748e-05,85.0,9186.38720703125,22.356616020202637
