roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,validation_score,front_quality_score,degradation_mode_hypothesis,timing_elapsed_s,thresholds_finite,phase_slope_median_per_s,phase_slope_iqr_per_s,phase_slope_positive_fraction,phase_slope_negative_fraction,phase_slope_abs_median_per_s,radius2_slope_median_px2_per_s,radius2_slope_iqr_px2_per_s,radius2_slope_positive_fraction,radius2_slope_negative_fraction,diffusion_proxy_median_um2_per_s,diffusion_proxy_iqr_um2_per_s,default_q70_diffusion_proxy_um2_per_s,q70_phase_slope_bootstrap_p05,q70_phase_slope_bootstrap_p50,q70_phase_slope_bootstrap_p95,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p50_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,threshold_robust_phase_score,diffusion_proxy_abs_median_um2_per_s,threshold_robust_diffusion_score
cycle147_rank11_obj3,147.0,transfer_warning,0,147.0,,,,12424.30955664,7,4.198421406853904e-06,2.7200280174115747e-06,1.0,0.0,4.198421406853904e-06,-0.0020099023878088636,0.0005966696259175387,0.0,1.0,-4.630815101511622e-06,1.3747268181140092e-06,-5.194531229113861e-06,1.0751501564105832e-08,4.309195380120923e-06,9.163805261090348e-06,-0.0031324885552255753,-0.0022288199853122107,-0.0012198967608440046,0.6979166666666666,4.630815101511622e-06,1.03125
cycle148_rank9_obj1,148.0,transfer_warning,0,148.0,,,,12429.281505696,7,2.7345169767588627e-06,1.7553756280937603e-06,1.0,0.0,2.7345169767588627e-06,-0.0033943874601399257,0.0006604538826973897,0.0,1.0,-7.820668708162389e-06,1.5216857457347871e-06,-7.820668708162389e-06,-4.328644195362863e-07,2.4692399025284818e-06,6.1864924024033225e-06,-0.004196519447221121,-0.003389663255874114,-0.002527084836040179,0.6770833333333333,7.820668708162389e-06,1.1979166666666665
cycle147_rank11_obj4,147.0,transfer_warning,0,147.0,,,,12424.30955664,7,4.9734195987324445e-06,3.534705496448284e-06,1.0,0.0,4.9734195987324445e-06,-0.0005643377614256836,0.0024439974523044637,0.42857142857142855,0.5714285714285714,-1.3002342023247751e-06,5.630970130109483e-06,-1.3002342023247751e-06,-4.5305808638532333e-08,5.2817612618196365e-06,1.0551532775832887e-05,-0.0013843897303363467,-0.0005903718570721393,0.00019617604837900038,0.6770833333333333,1.3002342023247751e-06,-0.4583333333333333
cycle155_rank10_obj3,155.0,transfer_warning,0,155.0,,,,12444.43306612,7,1.6616272975912492e-06,6.425586375607277e-07,1.0,0.0,1.6616272975912492e-06,0.005306937391353616,0.002697605448201237,1.0,0.0,1.222718374967873e-05,6.215282952655649e-06,1.222718374967873e-05,-2.110519436502714e-06,1.766828664053945e-06,4.817206657092552e-06,0.002058690058391726,0.005318077074724992,0.008043143891535232,0.65625,1.222718374967873e-05,0.8020833333333333
cycle150_rank1_obj4,150.0,transfer_warning,0,150.0,,,,12435.337381064,7,1.0680818486858788e-06,1.8338960634447263e-07,1.0,0.0,1.0680818486858788e-06,-0.00020673167559153845,0.0007762214720073364,0.42857142857142855,0.5714285714285714,-4.763097805629046e-07,1.7884142715049033e-06,-4.763097805629046e-07,-1.6756755017949062e-06,1.1227052623575674e-06,3.7810448780942572e-06,-0.0007907131723431696,-0.00022027013407910164,0.0002749145568554248,0.65625,4.763097805629046e-07,-0.1875
cycle146_rank2_obj2,146.0,transfer_warning,0,146.0,,,,12394.593684328,7,3.980883653242864e-06,2.9406083198473994e-06,1.0,0.0,3.980883653242864e-06,-0.001187895117118456,0.0011979212823632359,0.0,1.0,-2.7369103498409226e-06,2.760010634564895e-06,-2.7369103498409226e-06,-7.578726560856559e-07,3.832449242768312e-06,9.380073724357568e-06,-0.0016121767613566942,-0.0012152576556390075,-0.0007655491454319974,0.6145833333333333,2.7369103498409226e-06,0.59375
cycle40_rank8_obj3,40.0,transfer_warning,0,40.0,,,,9322.243530232,7,1.2572894658880078e-06,4.3942101753470234e-07,1.0,0.0,1.2572894658880078e-06,0.001130640674112391,0.0020274364666146615,0.7142857142857143,0.2857142857142857,2.604996113154949e-06,4.671213619080181e-06,2.604996113154949e-06,-8.0901232384024e-07,1.1531738219556315e-06,3.5346584274645115e-06,0.0008759874359082816,0.001134214623247006,0.0013399427879879186,0.6145833333333333,2.604996113154949e-06,-0.0625
cycle153_rank7_obj4,153.0,transfer_warning,0,153.0,,,,12441.275319136,7,-4.713112166780789e-06,5.589300303356699e-06,0.0,1.0,4.713112166780789e-06,0.00477790839880381,0.006849003256947854,1.0,0.0,1.100830095084398e-05,1.5780103504007853e-05,1.100830095084398e-05,-7.324681819141569e-06,-4.871765363274949e-06,-2.287048767954825e-06,0.0022795484236977225,0.005078148562576866,0.007439390314778909,0.59375,1.100830095084398e-05,0.59375
cycle147_rank11_obj1,147.0,transfer_warning,0,147.0,,,,12424.30955664,7,2.9196749395072232e-06,2.314375289786822e-06,1.0,0.0,2.9196749395072232e-06,-0.0053246065566069775,0.0012570941772911343,0.0,1.0,-1.2267893506422477e-05,2.8963449844787746e-06,-1.2267893506422477e-05,-8.552571927507644e-07,2.7760631038593667e-06,6.366328551046061e-06,-0.006351007747159047,-0.0053547329649190996,-0.004243438389296731,0.5729166666666666,1.2267893506422477e-05,1.0729166666666665
cycle40_rank8_obj1,40.0,transfer_warning,0,40.0,,,,9322.243530232,7,1.8999294020920254e-06,1.237634687905329e-06,1.0,0.0,1.8999294020920254e-06,0.0019820891529404904,0.0008470269178877995,1.0,0.0,4.56673340837489e-06,1.951550018813489e-06,3.5570844096899108e-06,2.86790574555961e-07,1.877622392850441e-06,3.645945570558203e-06,0.00019127587423156713,0.0015593678782454472,0.0029879156766915763,0.5520833333333333,4.56673340837489e-06,0.8645833333333333
cycle154_rank6_obj2,154.0,transfer_warning,0,154.0,,,,12443.325540528,7,1.7219407685915105e-06,1.1851004977345526e-06,1.0,0.0,1.7219407685915105e-06,0.0061058327686269835,0.00293768570252953,1.0,0.0,1.406783869891657e-05,6.768427858628037e-06,1.406783869891657e-05,-1.5896096644842817e-06,1.609387286738729e-06,5.1680972949890374e-06,0.0021063002299628337,0.005758785050057336,0.00991877008960704,0.53125,1.406783869891657e-05,0.8020833333333334
