cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,persistence_mse_mean,velocity_mse_mean,temporal_energy_mean,temporal_energy_late_minus_early,roi_norm_mean_delta_last_minus_first,stage_drift_xy_recomputed,object_mean_abs_z
58.0,7_c2_x10_290623,2,1.0,1.0,9.597090138413478e-05,0.00027058643172495067,0.00922147510573268,0.0013626567088067532,4.581734538078308e-05,0.26927184323626285,23.693726539611816
62.0,7_c2_x10_290623,2,0.0,0.0,8.86987108970061e-05,0.00025068168906727806,0.009365269914269447,-0.0001344466581940651,0.0009771324694156647,0.21216656105426437,22.9137544631958
64.0,7_c2_x10_290623,2,0.0,0.0,7.292361806321424e-05,0.00021146641665836796,0.008294291561469436,3.743474371731281e-05,0.00011911243200302124,0.2915287550362391,25.522751808166504
66.0,8_c2_x10_300623,2,0.0,0.0,7.031544009805657e-05,0.00020378810950205661,0.008158448850736022,2.2426480427384377e-05,-0.00043338164687156677,0.18031819202357524,23.918957710266113
68.0,8_c2_x10_300623,2,0.0,0.0,0.00013154798216419294,0.0003591401764424518,0.010849489830434322,-0.0018036453984677792,-0.0004079751670360565,0.24997559070633724,27.40323543548584
70.0,8_c2_x10_300623,2,0.0,1.0,0.0001030233506753575,0.0002975673269247636,0.01013086223974824,4.071742296218872e-05,-0.00012560561299324036,0.18026741406264754,28.533278465270996
72.0,8_c2_x10_300623,2,0.0,1.0,7.696552711422555e-05,0.0002219613998022396,0.00853046728298068,-2.2043241187930107e-05,0.0004064403474330902,0.21212340707186456,25.96180248260498
74.0,8_c2_x10_300623,2,0.0,1.0,9.329155727755278e-05,0.0002712272689677775,0.009576217271387577,-1.975148916244507e-05,-0.0002445019781589508,0.24998779565108997,31.57118511199951
76.0,9_c2_x10_010723,2,0.0,1.0,5.7686727814143524e-05,0.0001654539337323513,0.007504583103582263,9.170989505946636e-05,-4.858151078224182e-05,0.24998779565108997,22.356616020202637
78.0,9_c2_x10_010723,2,1.0,1.0,5.8875803006230853e-05,0.0001676202482485678,0.007569178706035018,0.00011805701069533825,0.0006552785634994507,0.24997559070633724,20.34675407409668
80.0,9_c2_x10_010723,2,1.0,1.0,6.0920403484487906e-05,0.0001723364148347173,0.007608203450217843,-9.32253897190094e-06,0.000519830733537674,0.26927184323626285,19.72565460205078
82.0,9_c2_x10_010723,2,1.0,1.0,8.546080425730906e-05,0.00022115423780633137,0.008345291949808598,0.0003709327429533005,0.0005519576370716095,0.26927184323626285,24.77930736541748
84.0,9_c2_x10_010723,2,1.0,1.0,7.689042649872135e-05,0.00020130273333052173,0.008358518127352,0.0009667119011282921,-0.00012809038162231445,0.2915601564253875,20.897911071777344
88.0,10_c2_x10_030723,2,0.0,0.0,0.00012821804921259172,0.0003416094114072621,0.01082145981490612,0.0005910606123507023,-5.193054676055908e-06,0.18026741406264754,30.15721035003662
90.0,10_c2_x10_030723,2,0.0,0.0,0.00011238293882342987,0.0003273886104580015,0.010547938290983438,-4.384992644190788e-05,-0.0005455762147903442,0.2500244143604941,26.183040618896484
92.0,10_c2_x10_030723,2,0.0,0.0,0.00011506073133205064,0.0003309245512355119,0.010646203998476267,7.30329193174839e-05,-0.0004872642457485199,0.18031819202357524,31.88889980316162
