cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,cohort_role,selection_subrole,event_reference_cycle,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,balanced_cycle_rank,transferred_masked_residual_signature,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
158.0,18_c2_xN_HighHighCOV_170723,2,12,1,24.06814112304627,balanced_future_roi_candidate,future8_negative,low_risk_negative,158.0,1196.3478260869565,1048.8260869565217,299.0869565217391,262.20652173913044,92,8811.4033203125,19.081018447875977,12,0.1268052199398837,0,0,0,3878,5818,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_158_rank12_18_c2_xN_HighHighCOV_170723_local2.png
158.0,18_c2_xN_HighHighCOV_170723,2,12,3,23.792022616705456,balanced_future_roi_candidate,future8_negative,low_risk_negative,158.0,821.1692307692308,324.55384615384617,205.2923076923077,81.13846153846154,65,9634.853515625,20.570310592651367,12,0.1268052199398837,0,0,0,3878,5818,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_158_rank12_18_c2_xN_HighHighCOV_170723_local2.png
150.0,17_c2_x10_HighHighCOV_150723,4,13,1,25.41021438047652,balanced_future_roi_candidate,future8_positive,high_warning_positive,150.0,846.2068965517242,84.27586206896552,211.55172413793105,21.06896551724138,58,8829.2822265625,25.297578811645508,13,40.97186183003927,1,1,0,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_150_rank13_17_c2_x10_HighHighCOV_150723_local4.png
150.0,17_c2_x10_HighHighCOV_150723,4,13,2,24.44919068072933,balanced_future_roi_candidate,future8_positive,high_warning_positive,150.0,824.7317073170732,396.6829268292683,206.1829268292683,99.17073170731707,82,7190.4619140625,20.693876266479492,13,40.97186183003927,1,1,0,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_150_rank13_17_c2_x10_HighHighCOV_150723_local4.png
150.0,17_c2_x10_HighHighCOV_150723,4,13,3,24.22269481700766,balanced_future_roi_candidate,future8_positive,high_warning_positive,150.0,1201.6,1103.1157894736841,300.4,275.77894736842103,95,6589.99365234375,19.133668899536133,13,40.97186183003927,1,1,0,4950,6188,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_150_rank13_17_c2_x10_HighHighCOV_150723_local4.png
151.0,17_c2_x10_HighHighCOV_150723,5,14,1,24.708827192775825,balanced_future_roi_candidate,future8_positive,high_warning_positive,151.0,844.1818181818181,81.81818181818181,211.04545454545453,20.454545454545453,66,7941.5087890625,23.38615608215332,14,1.4388691546947752,1,1,0,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_151_rank14_17_c2_x10_HighHighCOV_150723_local5.png
151.0,17_c2_x10_HighHighCOV_150723,5,14,3,24.117645408443277,balanced_future_roi_candidate,future8_positive,high_warning_positive,151.0,1202.7692307692307,667.0769230769231,300.6923076923077,166.76923076923077,52,7830.56005859375,23.21497344970703,14,1.4388691546947752,1,1,0,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_151_rank14_17_c2_x10_HighHighCOV_150723_local5.png
151.0,17_c2_x10_HighHighCOV_150723,5,14,2,23.563481321149823,balanced_future_roi_candidate,future8_positive,high_warning_positive,151.0,1200.0701754385964,1107.2280701754387,300.0175438596491,276.8070175438597,114,5534.52734375,16.844011306762695,14,1.4388691546947752,1,1,0,6188,7426,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_151_rank14_17_c2_x10_HighHighCOV_150723_local5.png
152.0,17_c2_x10_HighHighCOV_150723,6,15,3,26.332724612142968,balanced_future_roi_candidate,future8_positive,high_warning_positive,152.0,1643.888888888889,126.77777777777777,410.97222222222223,31.694444444444443,36,11629.99609375,30.68789291381836,15,1.1876601241161993,1,1,0,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_152_rank15_17_c2_x10_HighHighCOV_150723_local6.png
152.0,17_c2_x10_HighHighCOV_150723,6,15,1,25.281910252883428,balanced_future_roi_candidate,future8_positive,high_warning_positive,152.0,845.448275862069,83.03448275862068,211.36206896551724,20.75862068965517,58,9596.337890625,25.399866104125977,15,1.1876601241161993,1,1,0,7426,8663,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_reconstruction/overlays/cycle_152_rank15_17_c2_x10_HighHighCOV_150723_local6.png
