model,feature,importance,abs_importance,feature_set,holdout_event_reference_cycle
random_forest,velocity_ssim,0.007635481982766179,0.007635481982766179,all_physics_plus_qc,116.0
random_forest,low_rank_dmd_mse,0.016354417958978944,0.016354417958978944,all_physics_plus_qc,116.0
random_forest,low_rank_dmd_mae,0.013895327163493756,0.013895327163493756,all_physics_plus_qc,116.0
random_forest,low_rank_dmd_ssim,0.0255162145169457,0.0255162145169457,all_physics_plus_qc,116.0
random_forest,dmd_minus_persistence_mse,0.034375699381575364,0.034375699381575364,all_physics_plus_qc,116.0
random_forest,velocity_minus_persistence_mse,0.00957922520014913,0.00957922520014913,all_physics_plus_qc,116.0
logistic_l2,roi_norm_mean_delta,-0.19154195211032685,0.19154195211032685,all_physics_plus_qc,156.0
logistic_l2,roi_norm_mean_slope,0.4183627103307999,0.4183627103307999,all_physics_plus_qc,156.0
logistic_l2,roi_norm_mean_slope_r2,1.0012257933725326,1.0012257933725326,all_physics_plus_qc,156.0
logistic_l2,high_fraction_delta,-0.12525817103841932,0.12525817103841932,all_physics_plus_qc,156.0
logistic_l2,high_fraction_slope,0.2047180486389038,0.2047180486389038,all_physics_plus_qc,156.0
logistic_l2,low_fraction_delta,0.06584091111182741,0.06584091111182741,all_physics_plus_qc,156.0
logistic_l2,low_fraction_slope,0.24935415493579277,0.24935415493579277,all_physics_plus_qc,156.0
logistic_l2,high_radius2_delta_px2,0.20567804278188884,0.20567804278188884,all_physics_plus_qc,156.0
logistic_l2,high_radius2_slope_px2_per_frame,0.2154838789095867,0.2154838789095867,all_physics_plus_qc,156.0
logistic_l2,high_radius2_slope_um2_per_frame,0.21548387890959622,0.21548387890959622,all_physics_plus_qc,156.0
logistic_l2,centroid_path_px,-0.45031005966082555,0.45031005966082555,all_physics_plus_qc,156.0
logistic_l2,first_last_corr,-0.19600488994674906,0.19600488994674906,all_physics_plus_qc,156.0
logistic_l2,cumulative_abs_norm_change,0.2600137414092914,0.2600137414092914,all_physics_plus_qc,156.0
logistic_l2,temporal_diff_energy,0.10285513072479727,0.10285513072479727,all_physics_plus_qc,156.0
logistic_l2,stage_drift_xy_sampled,-1.1569421888792046,1.1569421888792046,all_physics_plus_qc,156.0
logistic_l2,validation_score,0.1261758493136228,0.1261758493136228,all_physics_plus_qc,156.0
logistic_l2,front_quality_score,0.8000053247127046,0.8000053247127046,all_physics_plus_qc,156.0
logistic_l2,apparent_diffusion_proxy_ds_px2_per_frame,-0.059588287360960945,0.059588287360960945,all_physics_plus_qc,156.0
logistic_l2,latent_path_length,-0.28138925536641507,0.28138925536641507,all_physics_plus_qc,156.0
logistic_l2,latent_mean_step,-0.28138932867790983,0.28138932867790983,all_physics_plus_qc,156.0
logistic_l2,latent_net_displacement,-0.2034013678640162,0.2034013678640162,all_physics_plus_qc,156.0
logistic_l2,latent_component0_delta,-0.08334935524796722,0.08334935524796722,all_physics_plus_qc,156.0
logistic_l2,latent_component1_delta,-0.07713602054478574,0.07713602054478574,all_physics_plus_qc,156.0
logistic_l2,persistence_mse,-0.05219531797821995,0.05219531797821995,all_physics_plus_qc,156.0
logistic_l2,persistence_mae,0.005700318948253468,0.005700318948253468,all_physics_plus_qc,156.0
logistic_l2,persistence_ssim,0.22755471037441594,0.22755471037441594,all_physics_plus_qc,156.0
logistic_l2,velocity_mse,-0.012969552069098682,0.012969552069098682,all_physics_plus_qc,156.0
logistic_l2,velocity_mae,0.004402640677221538,0.004402640677221538,all_physics_plus_qc,156.0
logistic_l2,velocity_ssim,0.25431446200307123,0.25431446200307123,all_physics_plus_qc,156.0
logistic_l2,low_rank_dmd_mse,0.04315499153027904,0.04315499153027904,all_physics_plus_qc,156.0
logistic_l2,low_rank_dmd_mae,-0.0068568068895038265,0.0068568068895038265,all_physics_plus_qc,156.0
logistic_l2,low_rank_dmd_ssim,-0.011492993176653412,0.011492993176653412,all_physics_plus_qc,156.0
logistic_l2,dmd_minus_persistence_mse,0.049055240651410884,0.049055240651410884,all_physics_plus_qc,156.0
logistic_l2,velocity_minus_persistence_mse,0.010053201554092705,0.010053201554092705,all_physics_plus_qc,156.0
random_forest,roi_norm_mean_delta,0.026365993036489614,0.026365993036489614,all_physics_plus_qc,156.0
random_forest,roi_norm_mean_slope,0.031385627480389026,0.031385627480389026,all_physics_plus_qc,156.0
random_forest,roi_norm_mean_slope_r2,0.11494501298401523,0.11494501298401523,all_physics_plus_qc,156.0
random_forest,high_fraction_delta,0.01779122299664714,0.01779122299664714,all_physics_plus_qc,156.0
random_forest,high_fraction_slope,0.014466037756991205,0.014466037756991205,all_physics_plus_qc,156.0
random_forest,low_fraction_delta,0.015368148898809357,0.015368148898809357,all_physics_plus_qc,156.0
random_forest,low_fraction_slope,0.018641123907700643,0.018641123907700643,all_physics_plus_qc,156.0
random_forest,high_radius2_delta_px2,0.04069426163335399,0.04069426163335399,all_physics_plus_qc,156.0
random_forest,high_radius2_slope_px2_per_frame,0.01791975046173097,0.01791975046173097,all_physics_plus_qc,156.0
random_forest,high_radius2_slope_um2_per_frame,0.03378703748801884,0.03378703748801884,all_physics_plus_qc,156.0
random_forest,centroid_path_px,0.04475871603927595,0.04475871603927595,all_physics_plus_qc,156.0
random_forest,first_last_corr,0.03907393218479617,0.03907393218479617,all_physics_plus_qc,156.0
random_forest,cumulative_abs_norm_change,0.038073286755092736,0.038073286755092736,all_physics_plus_qc,156.0
random_forest,temporal_diff_energy,0.0111231531464068,0.0111231531464068,all_physics_plus_qc,156.0
random_forest,stage_drift_xy_sampled,0.03332930858731653,0.03332930858731653,all_physics_plus_qc,156.0
random_forest,validation_score,0.051002073917647626,0.051002073917647626,all_physics_plus_qc,156.0
random_forest,front_quality_score,0.16530126140587625,0.16530126140587625,all_physics_plus_qc,156.0
random_forest,apparent_diffusion_proxy_ds_px2_per_frame,0.01967686730890753,0.01967686730890753,all_physics_plus_qc,156.0
random_forest,latent_path_length,0.017358433221305997,0.017358433221305997,all_physics_plus_qc,156.0
random_forest,latent_mean_step,0.01601744297071857,0.01601744297071857,all_physics_plus_qc,156.0
random_forest,latent_net_displacement,0.02880740975042716,0.02880740975042716,all_physics_plus_qc,156.0
random_forest,latent_component0_delta,0.01965775822435977,0.01965775822435977,all_physics_plus_qc,156.0
random_forest,latent_component1_delta,0.015347566652605414,0.015347566652605414,all_physics_plus_qc,156.0
random_forest,persistence_mse,0.012616643238523524,0.012616643238523524,all_physics_plus_qc,156.0
random_forest,persistence_mae,0.008393959897620823,0.008393959897620823,all_physics_plus_qc,156.0
random_forest,persistence_ssim,0.012295811744066153,0.012295811744066153,all_physics_plus_qc,156.0
random_forest,velocity_mse,0.00931310976227051,0.00931310976227051,all_physics_plus_qc,156.0
random_forest,velocity_mae,0.011362406819929564,0.011362406819929564,all_physics_plus_qc,156.0
random_forest,velocity_ssim,0.015118115661957065,0.015118115661957065,all_physics_plus_qc,156.0
random_forest,low_rank_dmd_mse,0.017775047793245905,0.017775047793245905,all_physics_plus_qc,156.0
random_forest,low_rank_dmd_mae,0.015379059612678244,0.015379059612678244,all_physics_plus_qc,156.0
random_forest,low_rank_dmd_ssim,0.03083549656605439,0.03083549656605439,all_physics_plus_qc,156.0
random_forest,dmd_minus_persistence_mse,0.019277638731710327,0.019277638731710327,all_physics_plus_qc,156.0
