roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png
source_balanced_cycle134_rank16_obj1_15_c2_x5_HighCOV_120723,134.0,15_c2_x5_HighCOV_120723,3,16,1,future16_negative,False,23.11031509401015,source_balanced_expansion_candidate,1347.0588235294117,182.6143790849673,153.0,6119.85302734375,15.798474311828612,1251,87,1443,279,192,96,96,3715,4953,8898.19140625,8927.3583984375,29.1669921875,0.07428005337715149,0.07520325481891632,0.0009232014417648315,0.29154759474225334,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle134_rank16_obj1_15_c2_x5_HighCOV_120723.npz,
source_balanced_cycle134_rank16_obj2_15_c2_x5_HighCOV_120723,134.0,15_c2_x5_HighCOV_120723,3,16,2,future16_negative,False,23.681392703729436,source_balanced_expansion_candidate,841.1111111111111,76.88888888888889,54.0,11074.1396484375,24.12325096130371,745,0,937,192,192,96,96,3715,4953,8980.36328125,9008.7548828125,28.3916015625,0.08576320111751556,0.0867747962474823,0.0010115951299667358,0.29154759474225334,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle134_rank16_obj2_15_c2_x5_HighCOV_120723.npz,
source_balanced_cycle136_rank17_obj1_16_c2_x10_HighHighCOV_130723,136.0,16_c2_x10_HighHighCOV_130723,0,17,1,future16_negative,False,23.79397084507293,source_balanced_expansion_candidate,845.3103448275862,79.72413793103448,58.0,9831.376953125,24.424619674682617,749,0,941,192,192,96,96,0,1223,9075.0439453125,9048.6904296875,-26.353515625,0.09004127979278564,0.09144726395606995,0.0014059841632843018,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle136_rank17_obj1_16_c2_x10_HighHighCOV_130723.npz,
source_balanced_cycle136_rank17_obj2_16_c2_x10_HighHighCOV_130723,136.0,16_c2_x10_HighHighCOV_130723,0,17,2,future16_negative,False,24.919375121126063,source_balanced_expansion_candidate,1206.054054054054,664.5405405405405,37.0,12306.5205078125,30.2327938079834,1110,569,1302,761,192,96,96,0,1223,8265.6083984375,8191.8447265625,-73.763671875,0.07030878216028214,0.06812172383069992,-0.0021870583295822144,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle136_rank17_obj2_16_c2_x10_HighHighCOV_130723.npz,
source_balanced_cycle142_rank18_obj1_16_c2_x10_HighHighCOV_130723,142.0,16_c2_x10_HighHighCOV_130723,6,18,1,source_fill,False,23.28082113703134,source_balanced_expansion_candidate,1198.7906976744189,1103.0697674418604,86.0,8535.712890625,19.777803421020508,1103,1007,1295,1199,192,96,96,7347,8570,8579.59765625,8586.79296875,7.1953125,0.07281288504600525,0.07335454970598221,0.0005416646599769592,0.24999999999993178,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle142_rank18_obj1_16_c2_x10_HighHighCOV_130723.npz,
source_balanced_cycle142_rank18_obj2_16_c2_x10_HighHighCOV_130723,142.0,16_c2_x10_HighHighCOV_130723,6,18,2,source_fill,False,23.542206642552863,source_balanced_expansion_candidate,844.4516129032259,80.19354838709677,62.0,9644.3876953125,22.55766868591309,748,0,940,192,192,96,96,7347,8570,8934.90625,8910.4658203125,-24.4404296875,0.08012724667787552,0.07880508899688721,-0.0013221576809883118,0.24999999999993178,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle142_rank18_obj2_16_c2_x10_HighHighCOV_130723.npz,
source_balanced_cycle144_rank19_obj1_16_c2_x10_HighHighCOV_130723,144.0,16_c2_x10_HighHighCOV_130723,8,19,1,future16_positive,False,23.399605984768616,source_balanced_expansion_candidate,1349.6830601092895,182.8415300546448,183.0,4845.72216796875,14.80323886871338,1254,87,1446,279,192,96,96,9796,11019,8831.65234375,8814.2470703125,-17.4052734375,0.06806931644678116,0.06726572662591934,-0.0008035898208618164,0.22360679774992814,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle144_rank19_obj1_16_c2_x10_HighHighCOV_130723.npz,
source_balanced_cycle144_rank19_obj2_16_c2_x10_HighHighCOV_130723,144.0,16_c2_x10_HighHighCOV_130723,8,19,2,future16_positive,False,22.79686314903875,source_balanced_expansion_candidate,1199.6043956043957,1099.956043956044,91.0,7784.32568359375,18.023408889770508,1104,1004,1296,1196,192,96,96,9796,11019,8453.20703125,8443.4775390625,-9.7294921875,0.0679221972823143,0.06729468703269958,-0.0006275102496147156,0.22360679774992814,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle144_rank19_obj2_16_c2_x10_HighHighCOV_130723.npz,
source_balanced_cycle145_rank20_obj1_16_c2_x10_HighHighCOV_130723,145.0,16_c2_x10_HighHighCOV_130723,9,20,1,source_representative,False,22.859438504036213,source_balanced_expansion_candidate,1200.943820224719,1101.123595505618,89.0,7778.58837890625,18.41042709350586,1105,1005,1297,1197,192,96,96,11020,12244,8454.26953125,8386.8095703125,-67.4599609375,0.0684942901134491,0.06489770859479904,-0.003596581518650055,0.2236067977500298,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle145_rank20_obj1_16_c2_x10_HighHighCOV_130723.npz,
source_balanced_cycle145_rank20_obj2_16_c2_x10_HighHighCOV_130723,145.0,16_c2_x10_HighHighCOV_130723,9,20,2,source_representative,False,23.1920965443588,source_balanced_expansion_candidate,848.375,82.875,64.0,8952.8564453125,21.39645004272461,752,0,944,192,192,96,96,11020,12244,8913.169921875,8868.5263671875,-44.6435546875,0.0783439576625824,0.07577545940876007,-0.0025684982538223267,0.2236067977500298,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle145_rank20_obj2_16_c2_x10_HighHighCOV_130723.npz,
