target,rule,echem_quantile,optical_quantile,n_eval,n_covered,n_covered_positive,precision,recall,base_rate,lift,binary_auc,fisher_p_greater,n_sources_with_hits,n_sources_with_positive_hits
future_any_drop_within_16cycles,optical_ge_q75,0.5,0.75,72,18,18,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,6,6
future_any_drop_within_16cycles,optical_ge_q75,0.6,0.75,72,18,18,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,6,6
future_any_drop_within_16cycles,optical_ge_q75,0.7,0.75,72,18,18,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,6,6
future_any_drop_within_16cycles,optical_ge_q75,0.75,0.75,72,18,18,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,6,6
future_any_drop_within_16cycles,echem_ge_q75,0.75,0.5,72,18,18,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,2,2
future_any_drop_within_16cycles,echem_ge_q75,0.75,0.6,72,18,18,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,2,2
future_any_drop_within_16cycles,echem_ge_q75,0.75,0.7,72,18,18,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,2,2
future_any_drop_within_16cycles,echem_ge_q75,0.75,0.75,72,18,18,1.0,0.3157894736842105,0.7916666666666666,1.2631578947368423,0.6578947368421053,0.0074899799954932355,2,2
future_any_drop_within_16cycles,echem_ge_q50,0.5,0.5,72,36,33,0.9166666666666666,0.5789473684210527,0.7916666666666666,1.1578947368421053,0.6894736842105263,0.009117637267355455,5,4
future_any_drop_within_16cycles,echem_ge_q50,0.5,0.6,72,36,33,0.9166666666666666,0.5789473684210527,0.7916666666666666,1.1578947368421053,0.6894736842105263,0.009117637267355455,5,4
future_any_drop_within_16cycles,echem_ge_q50,0.5,0.7,72,36,33,0.9166666666666666,0.5789473684210527,0.7916666666666666,1.1578947368421053,0.6894736842105263,0.009117637267355455,5,4
future_any_drop_within_16cycles,echem_ge_q50,0.5,0.75,72,36,33,0.9166666666666666,0.5789473684210527,0.7916666666666666,1.1578947368421053,0.6894736842105263,0.009117637267355455,5,4
future_any_drop_within_16cycles,echem_ge_q60_OR_optical_ge_q60,0.6,0.6,72,49,43,0.8775510204081632,0.7543859649122807,0.7916666666666666,1.1084854994629432,0.6771929824561403,0.012048774565923953,9,6
future_any_drop_within_16cycles,echem_ge_q50_AND_optical_ge_q50,0.5,0.5,72,16,16,1.0,0.2807017543859649,0.7916666666666666,1.2631578947368423,0.6403508771929824,0.014066547796414126,3,3
future_any_drop_within_16cycles,echem_ge_q70_OR_optical_ge_q75,0.7,0.75,72,34,31,0.9117647058823529,0.543859649122807,0.7916666666666666,1.151702786377709,0.6719298245614036,0.016948795735270854,7,6
future_any_drop_within_16cycles,echem_ge_q50_OR_optical_ge_q50,0.5,0.5,72,56,48,0.8571428571428571,0.8421052631578947,0.7916666666666666,1.0827067669172932,0.6543859649122807,0.0169967061349898,9,6
future_any_drop_within_16cycles,optical_ge_q70,0.5,0.7,72,22,21,0.9545454545454546,0.3684210526315789,0.7916666666666666,1.2057416267942584,0.6508771929824562,0.019804711564110025,6,6
future_any_drop_within_16cycles,optical_ge_q70,0.6,0.7,72,22,21,0.9545454545454546,0.3684210526315789,0.7916666666666666,1.2057416267942584,0.6508771929824562,0.019804711564110025,6,6
future_any_drop_within_16cycles,optical_ge_q70,0.7,0.7,72,22,21,0.9545454545454546,0.3684210526315789,0.7916666666666666,1.2057416267942584,0.6508771929824562,0.019804711564110025,6,6
future_any_drop_within_16cycles,optical_ge_q70,0.75,0.7,72,22,21,0.9545454545454546,0.3684210526315789,0.7916666666666666,1.2057416267942584,0.6508771929824562,0.019804711564110025,6,6
future_any_drop_within_16cycles,echem_ge_q60_AND_optical_ge_q50,0.6,0.5,72,14,14,1.0,0.24561403508771928,0.7916666666666666,1.2631578947368423,0.6228070175438596,0.025749727029316234,2,2
future_any_drop_within_16cycles,echem_ge_q75_OR_optical_ge_q50,0.75,0.5,72,42,37,0.8809523809523809,0.6491228070175439,0.7916666666666666,1.112781954887218,0.6578947368421053,0.028365546063255965,8,6
future_any_drop_within_16cycles,echem_ge_q70_OR_optical_ge_q70,0.7,0.7,72,37,33,0.8918918918918919,0.5789473684210527,0.7916666666666666,1.1266002844950214,0.656140350877193,0.03038779666862999,7,6
future_any_drop_within_16cycles,echem_ge_q70_AND_optical_ge_q50,0.7,0.5,72,13,13,1.0,0.22807017543859648,0.7916666666666666,1.2631578947368423,0.6140350877192983,0.03452804306203767,2,2
future_any_drop_within_16cycles,echem_ge_q50_AND_optical_ge_q60,0.5,0.6,72,12,12,1.0,0.21052631578947367,0.7916666666666666,1.2631578947368423,0.6052631578947368,0.046037390749383546,3,3
future_any_drop_within_16cycles,echem_ge_q75_AND_optical_ge_q50,0.75,0.5,72,12,12,1.0,0.21052631578947367,0.7916666666666666,1.2631578947368423,0.6052631578947368,0.046037390749383546,2,2
future_any_drop_within_16cycles,echem_ge_q60,0.6,0.5,72,30,27,0.9,0.47368421052631576,0.7916666666666666,1.1368421052631579,0.6368421052631579,0.04992070641487795,4,3
future_any_drop_within_16cycles,echem_ge_q60,0.6,0.6,72,30,27,0.9,0.47368421052631576,0.7916666666666666,1.1368421052631579,0.6368421052631579,0.04992070641487795,4,3
future_any_drop_within_16cycles,echem_ge_q60,0.6,0.7,72,30,27,0.9,0.47368421052631576,0.7916666666666666,1.1368421052631579,0.6368421052631579,0.04992070641487795,4,3
future_any_drop_within_16cycles,echem_ge_q60,0.6,0.75,72,30,27,0.9,0.47368421052631576,0.7916666666666666,1.1368421052631579,0.6368421052631579,0.04992070641487795,4,3
