roi_id,cycleNo,cohort_role,is_event_roi,event_reference_cycle,degradation_mode_hypothesis,threshold_quantile,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_delta_px2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_diffusion_proxy_um2_per_s,interface_density_delta,interface_density_slope_per_s,interface_density_slope_r2,centroid_path_px,centroid_net_px,threshold_cohort,source_stem
cycle108_rank21_obj3,108.0,future8_positive,0,108.0,,0.85,0.1187965895980596,0.1467944877171959,0.1473936488915518,0.0005991611743559,5.066479018472271e-07,0.0082946937871593,-3.5789364526299323,-0.0002847990224886,0.0107228783696332,-6.561769478138121e-07,-0.0031455961653684,3.928468430314972e-07,0.0168862983178105,41.23940874804261,0.7099644383689476,balanced_future_threshold_robust_fronts,
cycle139_rank11_obj3,139.0,future8_negative,0,139.0,,0.55,0.0513484120368957,0.4219592570401438,0.3942480527261833,-0.0277112043139604,-1.2507418109875892e-05,0.3930196365826006,25.21614292511913,0.0039003684362263,0.5329850337014117,8.986448877065399e-06,0.0023966446974236,-2.6476619941879864e-07,0.0045122540744982,33.62912392558819,0.6667770924802553,balanced_future_threshold_robust_fronts,
cycle139_rank11_obj3,139.0,future8_negative,0,139.0,,0.6,0.0556278124451637,0.3716297183942481,0.3517076093469143,-0.0199221090473337,-1.1704479478421595e-05,0.3628754572437301,29.58661706310386,0.0043215280075992,0.5969990416468706,9.956800529508569e-06,0.0029958058717795,-8.026148257625213e-07,0.0350363810376967,31.629434000708656,0.4643004219507927,balanced_future_threshold_robust_fronts,
cycle139_rank11_obj3,139.0,future8_negative,0,139.0,,0.65,0.0603851396590471,0.3217495506291192,0.304673457159976,-0.0170760934691432,-1.081296128743404e-05,0.3338043678280038,30.596106414418728,0.0048868120940677,0.6407236329971461,1.125921506473208e-05,0.0037447573397243,-1.498601068650575e-06,0.1014223378754671,30.90964061310055,0.2042741087998507,balanced_future_threshold_robust_fronts,
cycle139_rank11_obj3,139.0,future8_negative,0,139.0,,0.7,0.0657743573188781,0.2736668663870581,0.2610844817255842,-0.0125823846614739,-9.531308523896148e-06,0.2970452312910383,43.94942001173831,0.0050789764864926,0.5815426104088335,1.170196182487912e-05,0.0005991611743559,-2.0719916616414584e-06,0.1671780895572991,30.871530032757796,0.3977033755840859,balanced_future_threshold_robust_fronts,
cycle139_rank11_obj3,139.0,future8_negative,0,139.0,,0.75,0.0719853192567825,0.2270820850808867,0.2201917315757939,-0.0068903535050928,-7.883749120201215e-06,0.2437630593645253,45.18678405399078,0.0038340341529867,0.3750064981114493,8.83361468848138e-06,0.0032953864589574,-2.3161737465158352e-06,0.1798360995125559,32.32052017232294,0.1624753741009106,balanced_future_threshold_robust_fronts,
cycle139_rank11_obj3,139.0,future8_negative,0,139.0,,0.8,0.0802322253584861,0.1831935290593169,0.1800479328939484,-0.0031455961653684,-5.798339547970654e-06,0.1783709097084831,44.86073769120139,0.0020113480599147,0.1180260836986524,4.634145930043523e-06,0.0028460155781905,-1.9205009932892217e-06,0.1241487051052437,32.029868173180965,0.3598422986425972,balanced_future_threshold_robust_fronts,
cycle139_rank11_obj3,139.0,future8_negative,0,139.0,,0.85,0.0922074690461158,0.1354104254044338,0.1391551827441581,0.0037447573397243,-3.7030533149146575e-06,0.1145229485126344,55.629645065109344,-0.0002770694428133,0.0013503962775847,-6.383679962418446e-07,0.0094367884961054,-1.3013637851510848e-06,0.0687603563933629,38.0476301602865,0.2666995924006031,balanced_future_threshold_robust_fronts,
cycle140_rank9_obj2,140.0,future8_negative,0,140.0,,0.55,0.0503840634599328,0.4303475134811264,0.4319952067106051,0.0016476932294787,-5.294272291328568e-06,0.0984048238427565,47.26080882171914,0.002674010179363,0.5358984163384277,6.1609194532523945e-06,0.0247153984421809,1.5927479125743836e-06,0.2077118998804462,30.49579998281946,0.748400187528906,balanced_future_threshold_robust_fronts,
cycle140_rank9_obj2,140.0,future8_negative,0,140.0,,0.6,0.0556337013840675,0.3822648292390653,0.3822648292390653,0.0,-5.324089722090094e-06,0.1000892694168789,57.31739811912223,0.0030647949228954,0.5131438792271571,7.061287502351166e-06,0.0244158178550029,1.2185613079807195e-06,0.1591144952226661,26.588605513681813,0.7716691307574278,balanced_future_threshold_robust_fronts,
cycle140_rank9_obj2,140.0,future8_negative,0,140.0,,0.65,0.0616120038554072,0.3269922109047333,0.3329838226482924,0.005991611743559,-5.351809866582343e-06,0.1063192840866842,69.86246728441199,0.0034755232960976,0.4398420249656845,8.007605674208981e-06,0.0190233672857998,3.871035071771006e-07,0.0211584034783036,25.065709522790733,1.2742797022213848,balanced_future_threshold_robust_fronts,
cycle140_rank9_obj2,140.0,future8_negative,0,140.0,,0.7,0.0680542804300785,0.2798082684242061,0.2832534451767525,0.0034451767525464,-5.009456689453361e-06,0.1016024022278847,69.78343488880614,0.0037397307923129,0.3677270105627852,8.616339745488977e-06,0.012133013780707,-4.189498199560508e-07,0.0232616577789175,27.733539014955664,1.3134923758870225,balanced_future_threshold_robust_fronts,
cycle140_rank9_obj2,140.0,future8_negative,0,140.0,,0.75,0.0758297741413116,0.231276213301378,0.2381665668064709,0.0068903535050928,-4.371612602003191e-06,0.0915807656480963,76.43232150422,0.0035467385549831,0.2793085995302384,8.171685630681148e-06,0.0124325943678849,-8.65140290059911e-07,0.0712411304538603,35.311629686166945,1.422608326175117,balanced_future_threshold_robust_fronts,
cycle140_rank9_obj2,140.0,future8_negative,0,140.0,,0.8,0.0855470493435859,0.1836428999400838,0.1953265428400239,0.01168364289994,-3.504643230568604e-06,0.0766483483003949,89.3000605490447,0.0042071444080192,0.2710061009604869,9.69326071607636e-06,0.011833433193529,-8.025225289997622e-07,0.0523624592786677,43.7218545211324,2.4618788242921474,balanced_future_threshold_robust_fronts,
cycle140_rank9_obj2,140.0,future8_negative,0,140.0,,0.85,0.0995352558791636,0.1390053924505692,0.1481426003594967,0.0091372079089274,-2.8052997466811998e-06,0.0740312867761033,73.80740952198323,0.0033700300781493,0.1384698939585491,7.764549300056072e-06,0.0146794487717195,-7.229463555982896e-07,0.0404071268957362,58.00417647048925,2.7090920612973823,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj1,153.0,future8_positive,0,153.0,,0.55,0.0794281959533691,0.4171659676452965,0.3967944877171959,-0.0203714799281006,-5.097295936757173e-06,0.1446464708520718,12.930288656062658,0.0049462410348152,0.4034921964382196,1.139613934421432e-05,0.0008987417615338,3.4326291854459182e-06,0.2412241155766712,66.92770055161678,0.2143344164963577,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj1,153.0,future8_positive,0,153.0,,0.6,0.083422115445137,0.365787896944278,0.3485620131815458,-0.0172258837627321,-3.898081327975248e-06,0.0868992197822611,10.578950869453706,0.0055271627470464,0.3844119472868788,1.2734582969194942e-05,-0.0005991611743559,2.970645966399959e-06,0.1910797082364623,73.361214629436,0.5267910850943165,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj1,153.0,future8_positive,0,153.0,,0.65,0.0873031873255968,0.3138106650689035,0.3015278609946075,-0.0122828040742959,-2.507300439164271e-06,0.0363178923879431,4.616237890466209,0.0058891856526063,0.3531388524176047,1.3568683743605e-05,-0.0046434991012582,2.7433558708153625e-06,0.1523658666103886,79.90993472113958,0.2320944176245471,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj1,153.0,future8_positive,0,153.0,,0.7,0.0912971764802932,0.268124625524266,0.2577890952666267,-0.0103355302576392,-9.976217790658355e-07,0.0057281153962193,-3.3441548534533467,0.006414430590017,0.3313076584128896,1.4778848079399394e-05,-0.0034451767525464,2.850992096377431e-06,0.1441015807856817,89.8280307039958,0.7713267823050723,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj1,153.0,future8_positive,0,153.0,,0.75,0.0958919487893581,0.2200419412822049,0.2115038945476333,-0.0085380467345715,3.903459988617007e-07,0.0008689440199237,8.138391729356613,0.0075760714252768,0.3266838354141255,1.7455268563837772e-05,-0.0052426602756141,2.924700640832427e-06,0.1247958899896988,97.23142007923144,0.9190426371966696,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj1,153.0,future8_positive,0,153.0,,0.8,0.1009668514132499,0.1724086279209107,0.1721090473337327,-0.0002995805871779,1.876669022196596e-06,0.0197243708635208,21.101346768504182,0.0094272125412136,0.3209693135473327,2.1720297694956263e-05,0.0062911923307369,3.4499955203227503e-06,0.1399147897328564,105.6641224412222,0.541916330624588,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj1,153.0,future8_positive,0,153.0,,0.85,0.1078609529882669,0.1303175554224086,0.1315158777711204,0.0011983223487117,3.0444466168786088e-06,0.0563723252179261,36.80850941271967,0.0132344776004893,0.3376148437794777,3.0492236391527557e-05,0.0035949670461354,4.056095272177687e-06,0.165898653693529,108.83100691417307,0.7022718161722293,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj2,153.0,future8_positive,0,153.0,,0.55,0.0493083387613296,0.4231575793888556,0.4080287597363691,-0.0151288196524865,7.574095762012028e-07,0.0021541302207219,14.486217301469765,0.0057401612084769,0.3067818497940159,1.3225331424330894e-05,0.0061414020371479,3.856127261012968e-06,0.4362899389543164,38.43292008163984,0.2090081295190572,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj2,153.0,future8_positive,0,153.0,,0.6,0.053863201290369,0.3696824445775913,0.3590473337327741,-0.0106351108448172,1.2236986235239464e-06,0.0051012923840574,18.639548422562257,0.0069108139441013,0.3119031490743216,1.5922515327209437e-05,0.0029958058717795,3.6366354685578855e-06,0.3915677555720164,39.05731921313845,0.3056741559124812,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj2,153.0,future8_positive,0,153.0,,0.65,0.0586181120947003,0.316656680647094,0.3123127621330138,-0.0043439185140802,1.769264425766264e-06,0.0100404417084494,31.848154929225984,0.0079732437914592,0.3056154742619827,1.837035369552217e-05,0.0034451767525464,3.3758245421024552e-06,0.3345046305993162,40.91639461203647,0.4602606408366455,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj2,153.0,future8_positive,0,153.0,,0.7,0.0637517273426055,0.2675254643499101,0.2640802875973637,-0.0034451767525464,2.494765311742836e-06,0.0190185590072096,25.21387116915525,0.0090995726085765,0.2813449927826972,2.0965415290160466e-05,0.0020970641102456,3.436536216756283e-06,0.2921641571054539,37.30116025837404,0.3785368222852321,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj2,153.0,future8_positive,0,153.0,,0.75,0.069430923089385,0.219442780107849,0.2209406830437387,0.0014979029358897,3.175403631749893e-06,0.0302908254642347,22.31642737317065,0.0106095492620754,0.2624035115883613,2.444440149982175e-05,0.0068903535050928,3.459466967790154e-06,0.2355494108166467,34.866132059554154,0.3455443672485477,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj2,153.0,future8_positive,0,153.0,,0.8,0.0768455818295478,0.1786998202516476,0.1758538046734571,-0.0028460155781905,3.753102134226363e-06,0.0445063078872285,20.291386009530243,0.0133706439962094,0.2617346026532986,3.080596376726665e-05,0.0040443379269023,3.6580646405807353e-06,0.196250627330858,32.61838002920464,0.5059243072492116,balanced_future_threshold_robust_fronts,
cycle153_rank17_obj2,153.0,future8_positive,0,153.0,,0.85,0.0882511004805564,0.1360095865787897,0.1316656680647094,-0.0043439185140802,3.7665426778333385e-06,0.0555647420620416,2.274947001247938,0.0175505921411266,0.260070480149368,4.0436564293155785e-05,0.0023966446974236,3.58458592370912e-06,0.1801165485192855,37.852044414093946,0.3452945665557601,balanced_future_threshold_robust_fronts,
cycle158_rank12_obj1,158.0,future8_negative,0,158.0,,0.55,0.0484386570751667,0.4105751947273817,0.4655482324745356,0.0549730377471539,1.0928475335360815e-06,0.009658740423882,12.65138464153415,-0.0001079603627282,0.0033891986427535,-2.4874067572583535e-07,-0.0068903535050928,-3.46454006644426e-07,0.0715500616590304,21.658681638961028,1.5084195631861137,balanced_future_threshold_robust_fronts,
cycle158_rank12_obj1,158.0,future8_negative,0,158.0,,0.6,0.0533785983920097,0.3575494307968843,0.4134212103055722,0.0558717795086878,9.614852182960623e-07,0.0076939465371931,20.525185637177287,-3.102241767424512e-05,0.0001696327055505,-7.147565032146075e-08,-0.0050928699820251,-2.644141876408124e-07,0.0717236722278014,20.802097270812524,1.7862831364473937,balanced_future_threshold_robust_fronts,
cycle158_rank12_obj1,158.0,future8_negative,0,158.0,,0.65,0.0586871016770601,0.310964649490713,0.3609946075494308,0.0500299580587177,9.410883813478818e-07,0.00792588295995,17.415637317215555,7.885690231846764e-05,0.0006707685023829,1.8168630294174946e-07,0.0100359496704613,-1.482609566487971e-07,0.0113332044713322,24.046847415358105,2.1978204678448607,balanced_future_threshold_robust_fronts,
