feature_set,transform,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,permutation
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4431423611111111,0.4981086940752669,-0.09848566268807568,0.3397590924375368,99
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3910590277777778,0.4152108493068594,-0.1887015369061603,0.06558503547976986,100
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5651041666666667,0.5304662867335269,0.11276984277260572,0.27398380402812883,101
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5655381944444445,0.5308001460146391,0.11352164172442311,0.2707771806747718,102
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4236111111111111,0.43568515764923677,-0.1323166155198574,0.19875427481369184,103
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.421875,0.45914048059356777,-0.1353238113271269,0.1886495721016145,104
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4995659722222222,0.5160946647324499,-0.0007517989518173716,0.9941997471832326,105
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5377604166666666,0.5477915298584174,0.06540650880811133,0.5266461729802376,106
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4266493055555556,0.4459752302325913,-0.12705402285713582,0.2173635116517362,107
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3289930555555555,0.40668541948845144,-0.2962087870160444,0.003386521510494424,108
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.3728298611111111,0.4229503859731513,-0.22027709288248987,0.03104018017700828,109
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.47482638888888895,0.499532525304508,-0.04360433920540755,0.6731434773545161,110
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.4370659722222222,0.48394380853764407,-0.10901084801351887,0.2903988995156784,111
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5186631944444444,0.5130405715369719,0.03232735492814698,0.7545278429889738,112
