heldout_event_reference_cycle,method,alpha,target_coverage,group,n,global_quantile,local_quantile,coverage_global,coverage_local,mean_excess_over_global,mean_excess_over_local,median_error
116.0,velocity,0.1,0.9,far_from_transition,249,0.0172014907002449,0.0178190059959888,0.9116465863453815,0.9116465863453815,0.0002841791773895614,0.00022961959302664648,0.0118345310911536
116.0,velocity,0.1,0.9,event_roi,192,0.0172014907002449,0.0172014907002449,0.8333333333333334,0.8333333333333334,0.0005361116588270833,0.0005361116588270833,0.01183275738731025
116.0,velocity,0.1,0.9,control_roi,128,0.0172014907002449,0.0172014907002449,1.0,1.0,0.0,0.0,0.01184867555275555
116.0,velocity,0.05,0.95,all,320,0.0196637976914644,0.0196637976914644,0.9,0.9,7.543629617429998e-05,7.543629617429998e-05,0.01183768082410095
116.0,velocity,0.05,0.95,near_transition,71,0.0196637976914644,0.0194826517254114,0.8591549295774648,0.8591549295774648,0.00010633455510710141,0.00013184807145259417,0.0118565205484628
116.0,velocity,0.05,0.95,far_from_transition,249,0.0196637976914644,0.0197476930916309,0.9116465863453815,0.9116465863453815,6.662594924968593e-05,5.9213504255055304e-05,0.0118345310911536
116.0,velocity,0.05,0.95,event_roi,192,0.0196637976914644,0.0196637976914644,0.8333333333333334,0.8333333333333334,0.0001257271602905,0.0001257271602905,0.01183275738731025
116.0,velocity,0.05,0.95,control_roi,128,0.0196637976914644,0.0196637976914644,1.0,1.0,0.0,0.0,0.01184867555275555
156.0,low_rank_dmd,0.1,0.9,all,448,0.0307649038732051,0.0307649038732051,0.8236607142857143,0.8236607142857143,0.001234331255545846,0.001234331255545846,0.0234037423506379
156.0,low_rank_dmd,0.1,0.9,near_transition,125,0.0307649038732051,0.0309534892439842,0.832,0.832,0.0008502054810524038,0.0008185231387615149,0.0245064888149499
156.0,low_rank_dmd,0.1,0.9,far_from_transition,323,0.0307649038732051,0.0306772552430629,0.8204334365325078,0.8204334365325078,0.0013829867410309242,0.0013987255043381923,0.02325458265841
156.0,low_rank_dmd,0.1,0.9,event_roi,192,0.0307649038732051,0.0307649038732051,0.625,0.625,0.0027911428575559337,0.0027911428575559337,0.0280276779085397
156.0,low_rank_dmd,0.1,0.9,control_roi,256,0.0307649038732051,0.0307649038732051,0.97265625,0.97265625,6.672255403828003e-05,6.672255403828003e-05,0.0212177792564034
156.0,low_rank_dmd,0.05,0.95,all,448,0.0335405506193637,0.0335405506193637,0.875,0.875,0.0008303738348851287,0.0008303738348851287,0.0234037423506379
156.0,low_rank_dmd,0.05,0.95,near_transition,125,0.0335405506193637,0.0364654213190078,0.872,0.912,0.0004157809913158445,0.00010804653167724737,0.0245064888149499
156.0,low_rank_dmd,0.05,0.95,far_from_transition,323,0.0335405506193637,0.0334495157003402,0.8761609907120743,0.8761609907120743,0.0009908199817772667,0.0010020936559597435,0.02325458265841
156.0,low_rank_dmd,0.05,0.95,event_roi,192,0.0335405506193637,0.0335405506193637,0.71875,0.71875,0.001912895687079687,0.001912895687079687,0.0280276779085397
156.0,low_rank_dmd,0.05,0.95,control_roi,256,0.0335405506193637,0.0335405506193637,0.9921875,0.9921875,1.848244573921014e-05,1.848244573921014e-05,0.0212177792564034
156.0,persistence,0.1,0.9,all,448,0.0105083007365465,0.0105083007365465,0.8950892857142857,0.8950892857142857,0.0003726386161620828,0.0003726386161620828,0.0057065521832554995
156.0,persistence,0.1,0.9,near_transition,125,0.0105083007365465,0.0112475994974374,0.904,0.912,0.0002703392282128319,0.00020082682371139914,0.0056857373565435
