roi_id,cycleNo,method,mae_mean,mae_median,mae_max,q90_undercoverage_rate,near_transition_fraction,transition_distance_frac_median,cohort_role_first,is_event_roi_first,event_reference_cycle_first,mode_label_first,is_event_enriched_mode_first,q70_max_abs_rate_per_s_first,q70_transformed_fraction_delta_first,roi_norm_total_variation_first,front_quality_score_first,high_fraction_slope_per_s_first,first_last_corr_first,cumulative_abs_first_last_first,calibration_review_priority
cycle86_rank6_obj78,86.0,velocity,0.014987820934038559,0.0146912010386586,0.0198800656944513,0.0625,0.3125,0.25806451612903225,event,1,86.0,near_baseline_or_context_like,0,6.638724257019765e-05,0.0078776041666666,0.0384361207485198,1.85813722649508,2.5179128129276577e-06,0.9731810239885106,0.0176862869411706,2.5096153846153846
cycle156_rank6_obj3,156.0,low_rank_dmd,0.02390598680358375,0.02287220209836955,0.0291803814470767,0.0,0.28125,0.25806451612903225,event,1,156.0,optical_loss_rollout_hard,0,0.0110677083333333,0.1102430555555555,0.0763047188520431,1.4367926892737708,1.672240697591191e-06,0.940030108095686,0.0347965992987155,2.5064102564102564
cycle58_rank3_obj9,58.0,velocity,0.013437692221486882,0.01189601840451355,0.0229267701506614,0.1875,0.28125,0.25806451612903225,control,0,60.0,near_baseline_or_context_like,0,4.86083857867926e-05,0.005859375,0.0436238497495651,0.8161872484866202,3.644082840127265e-06,0.9791821792309802,0.0161265470087528,2.4935897435897436
cycle88_rank4_obj8,88.0,persistence,0.005790924507891716,0.0053747706115245,0.0164464022964239,0.03125,0.3125,0.25806451612903225,control,0,86.0,front_negative_high_apparent_front_proxy,0,8.466062597819015e-05,0.0085503472222221,0.043460315465927,0.5810432952277503,3.266429286321349e-06,0.9975351601254318,0.0068697333335876,2.4807692307692304
cycle156_rank2_obj2,156.0,persistence,0.006203316195751497,0.0056906233076006,0.0124132083728909,0.03125,0.28125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0093641493055555,0.1845703125,0.1043322518467903,1.2118362385241466,3.2458497123701337e-06,0.911386155315358,0.0451105311512947,2.4711538461538463
cycle88_rank4_obj8,88.0,low_rank_dmd,0.02156215329887341,0.0211382275447249,0.029065890237689,0.0,0.3125,0.25806451612903225,control,0,86.0,front_negative_high_apparent_front_proxy,0,8.466062597819015e-05,0.0085503472222221,0.043460315465927,0.5810432952277503,3.266429286321349e-06,0.9975351601254318,0.0068697333335876,2.4519230769230766
cycle58_rank6_obj29,58.0,persistence,0.01302513648988674,0.0117512834258377,0.0277578476816415,1.0,0.1875,0.46842105263157896,control,0,60.0,near_baseline_or_context_like,0,4.1584697014847424e-05,0.0066623263888889,0.046927985548973,1.6155277307729818,1.984228924776045e-06,0.9707466068408068,0.0224153436720371,2.426282051282051
cycle157_rank4_obj8,157.0,low_rank_dmd,0.021026218833867412,0.02120208274573085,0.0252291392534971,0.0,0.28125,0.25806451612903225,control,0,156.0,optical_loss_rollout_hard,0,0.0094943576388888,-0.0632812499999999,0.0882930427789688,0.8642722258468417,-8.223378788105824e-07,0.8972502479229767,0.0358449518680572,2.41025641025641
cycle58_rank3_obj9,58.0,persistence,0.008046493836445684,0.0071284037549048,0.0176290310919284,0.125,0.28125,0.25806451612903225,control,0,60.0,near_baseline_or_context_like,0,4.86083857867926e-05,0.005859375,0.0436238497495651,0.8161872484866202,3.644082840127265e-06,0.9791821792309802,0.0161265470087528,2.352564102564102
cycle90_rank5_obj10,90.0,low_rank_dmd,0.019114479189738583,0.018215406686067553,0.025054158642888,0.0,0.28125,0.25806451612903225,control,0,86.0,near_baseline_or_context_like,0,5.898446353283949e-05,0.0035807291666666,0.0608732298016548,0.764701860494445,3.904349595617978e-06,0.9938667255075492,0.0115258758887648,2.3269230769230766
