feature,transform,pre_clock_n,pre_clock_rho,pre_clock_p,pre_clock_perm_p_abs,post_clock_n,post_clock_rho,post_clock_p,post_clock_perm_p_abs,abs_pre_minus_abs_post_rho,source_eta2_after_transform,raw_source_eta2
persistence_mse_p95,within_source_rank,76,0.017783793195103308,0.8788098614514416,0.6852589641434262,40,-0.08993180607426055,0.5810422101403244,0.3944223107569721,-0.07214801287915723,0.002220577350111028,0.681991026318554
velocity_mse_mean,raw,76,0.11618162261208873,0.3175760952732874,0.6932270916334662,40,-0.47835225058809594,0.0017956939686069081,0.19123505976095617,-0.3621706279760072,0.783022062622364,0.783022062622364
object_x_full_approx,source_residual,76,-0.018696523506711776,0.8726406789524568,0.6932270916334662,40,-0.06500372401796821,0.6902579751601882,0.5418326693227091,-0.04630720051125643,5.246619486694386e-32,0.2701791145026204
velocity_mse_mean,source_residual,76,-0.01431024233211664,0.9023506194563109,0.6972111553784861,40,-0.14778208374576857,0.3628073606344197,0.19123505976095617,-0.13347184141365193,6.038099855059692e-32,0.783022062622364
mask_centroid_path_px,within_source_rank,76,-0.03255127981260226,0.7801324980546502,0.7051792828685259,40,0.012044986680930084,0.9411964725455444,0.9243027888446215,0.020506293131672175,0.0022205773501110296,0.7648575103265738
front_gradient_peak_radius_slope_px_per_norm_time,raw,70,0.026084833226104935,0.8302755123486937,0.7091633466135459,32,-0.02537643454857073,0.8903499002456139,0.8007968127490039,0.0007083986775342048,0.1932607245506234,0.1932607245506234
front_radius_q80_delta_px,raw,76,0.015775807071216848,0.8924068141417579,0.7091633466135459,40,-0.05961280196564088,0.7148171193150862,0.549800796812749,-0.04383699489442403,0.08729908603844944,0.08729908603844944
bright_fraction_075_delta,source_residual,76,-0.033521491691332034,0.773751608276961,0.7091633466135459,40,-0.09067544078357456,0.5779065791788586,0.47808764940239046,-0.05715394909224253,1.6397003360522195e-33,0.27582890038621466
temporal_energy_late_minus_early,source_residual,76,-0.026975629223760098,0.8170719141049922,0.7250996015936255,40,0.19849347739988632,0.21950833113975804,0.3426294820717131,-0.17151784817612623,2.381729238620391e-33,0.28233130688118036
roi_norm_mean_slope,source_residual,76,-0.02141053498349252,0.8543427271948301,0.7410358565737052,40,-0.19716892607309966,0.22266296676862382,0.13147410358565736,-0.17575839108960714,5.208926284644801e-33,0.5832240213168814
bright_fraction_075_delta,raw,76,-0.17014286969156922,0.14171729804793373,0.7410358565737052,40,-0.1599552646187083,0.32416563350710204,0.2948207171314741,0.010187605072860928,0.27582890038621466,0.27582890038621466
mask_base_area_fraction,raw,76,0.027250889423211164,0.81523818824953,0.7450199203187251,40,-0.14248387843862192,0.38045471029017863,0.5219123505976095,-0.11523298901541076,0.21608411441791764,0.21608411441791764
velocity_minus_persistence_mse,raw,76,0.11363209667935531,0.328383959795331,0.749003984063745,40,-0.4669989535013532,0.002382338395157935,0.26693227091633465,-0.35336685682199787,0.7970380411936366,0.7970380411936366
velocity_mse_p95,raw,76,0.10787510263769919,0.35363697536124744,0.7529880478087649,40,-0.45961931039497034,0.0028484286689027557,0.3426294820717131,-0.35174420775727117,0.67054335146267,0.67054335146267
mask_centroid_max_step_px,within_source_rank,76,-0.024020291422875133,0.8368196330030593,0.7529880478087649,40,-0.08303409123236283,0.6104843459826145,0.4541832669322709,-0.05901379980948769,0.002220577350111029,0.7553858029701687
spatial_std_slope,raw,76,0.436407562614875,8.11546775131973e-05,0.7689243027888446,40,0.2891306324757162,0.07037280137894285,0.9920318725099602,0.14727693013915882,0.5721075421394747,0.5721075421394747
persistence_mse_mean,source_residual,76,-0.014611799162870056,0.9003032890274841,0.7689243027888446,40,-0.17673299131696266,0.2753041802547546,0.07171314741035857,-0.1621211921540926,2.943440939785965e-32,0.7541982340374828
mask_area_fraction_iqr,within_source_rank,76,-0.014866568395695298,0.8985741147528008,0.7689243027888446,40,-0.4260321273286452,0.006125314220999562,0.00398406374501992,-0.4111655589329499,0.0022247930942422348,0.3839107963796472
frame_diff_abs_mean,raw,76,0.0982526983109311,0.3984475352466888,0.7768924302788844,40,-0.4787306938243207,0.0017785569224659204,0.41434262948207173,-0.3804779955133896,0.6168376064037338,0.6168376064037338
front_radius_q60_median_px,raw,76,-0.021727697467857587,0.8522092150887645,0.7768924302788844,40,0.19055804858894404,0.23887294804462947,0.350597609561753,-0.16883035112108646,0.18916582859938572,0.18916582859938572
masked_minus_background_mean_slope,raw,76,0.3785634796249016,0.0007463169258157047,0.7848605577689243,40,0.21325276361265197,0.18642857570824276,0.7131474103585658,0.16531071601224964,0.5781004525786195,0.5781004525786195
temporal_energy_late_minus_early,raw,76,0.1441167508427915,0.21421657795802726,0.7888446215139442,40,-0.10937009526895547,0.5017093759124119,0.5617529880478087,0.03474665557383602,0.28233130688118036,0.28233130688118036
object_mean_residual,within_source_rank,76,-0.017561260782481027,0.8803150754021609,0.7888446215139442,40,0.044866806942278986,0.7833908388523637,0.649402390438247,-0.02730554615979796,0.00222057735011103,0.17496062687710975
