feature,transform,target,n,n_positive,oriented_auc,average_precision,direction,median_positive,median_negative,median_positive_minus_negative,mwu_p,within_source_perm_p,source_eta2_after_transform,raw_source_eta2,pre_clock_n,pre_clock_rho,pre_clock_p,pre_clock_perm_p_abs,post_clock_n,post_clock_rho,post_clock_p,post_clock_perm_p_abs,abs_pre_minus_abs_post_rho
roi_norm_mean_late_minus_early,raw,clean_pre8_vs_post_control,84,32,0.576923076923077,0.529272529150573,higher_in_positive,0.00101852370426055,0.0009724682507415,4.605545351904993e-05,0.24023631614662921,,0.5985554655138969,0.5985554655138969,76,0.20793714193315077,0.07147182550831083,,40,-0.3282995074249789,0.0386191887251627,,-0.1203623654918281
mask_centroid_path_px,raw,clean_pre8_vs_post_control,84,32,0.5763221153846154,0.6086502680277318,higher_in_positive,8.339536770741498,8.120175248118361,0.2193615226231369,0.24394396446022448,,0.7648575103265738,0.7648575103265738,76,0.1074913030349221,0.35536217842688467,,40,-0.002649102653573316,0.9870563878772199,,0.10484220038134878
temporal_energy_mean,raw,clean_pre8_vs_post_control,84,32,0.5721153846153846,0.5723277473997161,higher_in_positive,0.0093110920861363,0.00867474311962715,0.0006363489665091489,0.2710234526991834,,0.7281690036904103,0.7281690036904103,76,0.10017169632481647,0.38925348033832663,,40,-0.47286482366283694,0.0020610641974914447,,-0.37269312733802046
roi_norm_mean_delta_last_minus_first,raw,clean_pre8_vs_post_control,84,32,0.5715144230769231,0.424801462734601,lower_in_positive,-0.00010624900460242724,-1.609325408935547e-05,-9.015575051307177e-05,0.2750539161540382,,0.41398376879987014,0.41398376879987014,76,-0.13490556037614174,0.24527262083217663,,40,0.2539354115068136,0.11384532667195583,,-0.11902985113067185
roi_norm_mean_delta,raw,clean_pre8_vs_post_control,84,32,0.5715144230769231,0.424801462734601,lower_in_positive,-0.00010624900460242724,-1.609325408935547e-05,-9.015575051307177e-05,0.2750539161540382,,0.41398376879987014,0.41398376879987014,76,-0.13490556037614174,0.24527262083217663,,40,0.2539354115068136,0.11384532667195583,,-0.11902985113067185
roi_norm_mean_last,raw,clean_pre8_vs_post_control,84,32,0.5709134615384616,0.45107277780072824,lower_in_positive,0.07604727894067759,0.08144109696149825,-0.005393818020820659,0.2791251049021094,,0.19923670283826445,0.19923670283826445,76,-0.1253653988213973,0.28056052445843427,,40,-0.231228817333328,0.15112052311004806,,-0.10586341851193071
roi_norm_mean_abs_step_mean,raw,clean_pre8_vs_post_control,84,32,0.5685096153846154,0.5932107978326202,higher_in_positive,0.00041909919757585003,0.00041249535585700004,6.603841718849993e-06,0.29581826992955707,,0.7875712256091358,0.7875712256091358,76,0.1712568656105989,0.13908922682765895,,40,-0.36614383104745474,0.020146723292861064,,-0.19488696543685582
roi_norm_mean_abs_step_p95,raw,clean_pre8_vs_post_control,84,32,0.5661057692307693,0.5911997921114023,higher_in_positive,0.0007804051041602499,0.0007507782429456,2.9626861214649986e-05,0.3131668922564944,,0.676182004236315,0.676182004236315,76,0.16160704702648965,0.16310788121757813,,40,-0.3691713769372528,0.019063220992242596,,-0.20756432991076318
dark_fraction_025_delta,raw,clean_pre8_vs_post_control,84,32,0.5661057692307692,0.4351718320443677,higher_in_positive,0.0001085069444444,-0.00010850694444445,0.00021701388888885,0.31274518678713237,,0.24516094962236806,0.24516094962236806,76,0.03590027762699184,0.7581708452420859,,40,-0.026433637482971808,0.8713784191286416,,0.009466640144020034
roi_norm_mean_first,raw,clean_pre8_vs_post_control,84,32,0.563701923076923,0.45401201623353415,lower_in_positive,0.07609776034951204,0.0812263935804367,-0.005128633230924662,0.3311722529260288,,0.1770683094060683,0.1770683094060683,76,-0.09726578504664721,0.4032253677178448,,40,-0.2529893034162517,0.11524443295400909,,-0.1557235183696045
persistence_mse_p95,raw,clean_pre8_vs_post_control,84,32,0.5631009615384616,0.5668887521074151,higher_in_positive,0.0003175822042976,0.0002936236785899,2.3958525707700005e-05,0.3357761912943127,,0.681991026318554,0.681991026318554,76,0.10266639374286746,0.3774921380033606,,40,-0.46340374275721796,0.002600293243350389,,-0.3607373490143505
velocity_mse_p95,raw,clean_pre8_vs_post_control,84,32,0.5625,0.5653359837323493,higher_in_positive,0.0008895571707398,0.00083114013395965,5.841703678015006e-05,0.340421129142253,,0.67054335146267,0.67054335146267,76,0.10787510263769919,0.35363697536124744,,40,-0.45961931039497034,0.0028484286689027557,,-0.35174420775727117
raw_roi_mean_delta_last_minus_first,raw,clean_pre8_vs_post_control,84,32,0.5618990384615384,0.4113407163890533,lower_in_positive,-1.94287109375,-1.857421875,-0.08544921875,0.34510703400890286,,0.4591139102176846,0.4591139102176846,76,-0.15272482764793446,0.18780518774492846,,40,0.32527196153518073,0.04055677065445424,,-0.17254713388724627
mask_centroid_drift_px,raw,clean_pre8_vs_post_control,84,32,0.5606971153846154,0.45073589419205734,higher_in_positive,0.26249352204037013,0.25213637117518906,0.010357150865181075,0.3546015785607962,,0.1618456126623724,0.1618456126623724,76,-0.10595610462381382,0.3623148776476124,,40,-0.09480003067430223,0.5606551104794696,,0.011156073949511583
frame_diff_abs_mean,raw,clean_pre8_vs_post_control,84,32,0.5600961538461539,0.5634409831756226,higher_in_positive,0.0069864471442997005,0.0066952465567737,0.0002912005875260002,0.35941011677152435,,0.6168376064037338,0.6168376064037338,76,0.0982526983109311,0.3984475352466888,,40,-0.4787306938243207,0.0017785569224659204,,-0.3804779955133896
bright_fraction_060_delta,raw,clean_pre8_vs_post_control,84,32,0.5588942307692308,0.44756162845747166,lower_in_positive,-5.42534722222e-05,0.0,-5.42534722222e-05,0.3678781860185676,,0.16156767534943997,0.16156767534943997,76,-0.016021985912301695,0.8907380810984804,,40,-0.0956190132901585,0.5572583607300112,,-0.0795970273778568
front_radius_q60_median_px,raw,clean_pre8_vs_post_control,84,32,0.5477764423076923,0.3877932009902941,higher_in_positive,8.0,6.5,1.5,0.46042556581339567,,0.18916582859938572,0.18916582859938572,76,-0.021727697467857587,0.8522092150887645,,40,0.19055804858894404,0.23887294804462947,,-0.16883035112108646
front_radius_q70_delta_px,raw,clean_pre8_vs_post_control,84,32,0.5426682692307693,0.4300685140281659,higher_in_positive,0.0,0.0,0.0,0.3428782254385432,,0.11678601772059717,0.11678601772059717,76,0.030038394095635988,0.7967258570785768,,40,0.20530918305360904,0.20376280786845746,,-0.17527078895797304
front_radius_q70_median_px,raw,clean_pre8_vs_post_control,84,32,0.5375600961538461,0.39271709999609467,higher_in_positive,6.0,6.0,0.0,0.5561799672358583,,0.18852166145600718,0.18852166145600718,76,-0.10325088266432929,0.3747678944012069,,40,0.2019833483039623,0.21134451986434144,,-0.09873246563963302
front_gradient_peak_radius_slope_px_per_norm_time,raw,clean_pre8_vs_post_control,70,32,0.5306980656013457,0.5026840561635013,higher_in_positive,0.0025773195876288,3.0581207669281865e-17,0.0025773195876287692,0.6677653796346503,,0.1932607245506234,0.1932607245506234,70,0.026084833226104935,0.8302755123486937,,32,-0.02537643454857073,0.8903499002456139,,0.0007083986775342048
mask_base_area_fraction,raw,clean_pre8_vs_post_control,84,32,0.5237379807692307,0.41377105926546026,higher_in_positive,0.2598198784722222,0.2572157118055556,0.0026041666666666297,0.7194143133470748,,0.21608411441791764,0.21608411441791764,76,0.027250889423211164,0.81523818824953,,40,-0.14248387843862192,0.38045471029017863,,-0.11523298901541076
mask_area_fraction_median,raw,clean_pre8_vs_post_control,84,32,0.5165264423076923,0.4090161574153101,higher_in_positive,0.24188910590277773,0.2378472222222222,0.004041883680555525,0.8035913112240589,,0.29077556614059247,0.29077556614059247,76,-0.022918945774555492,0.844205417033138,,40,-0.065281458248771,0.6890009018453652,,-0.04236251247421551
front_radius_q80_median_px,raw,clean_pre8_vs_post_control,84,32,0.5066105769230769,0.3746737637362637,higher_in_positive,5.5,5.0,0.5,0.9160502465202928,,0.18760524310145266,0.18760524310145266,76,-0.09637520827764946,0.4075655350726231,,40,0.15205550382492486,0.348938381959769,,-0.055680295547275396
object_candidate_rank,raw,clean_pre8_vs_post_control,84,32,0.5,0.38095238095238093,higher_in_positive,1.5,1.5,0.0,1.0,,0.0,0.0,76,0.0,1.0,,40,0.0,1.0,,0.0
bright_fraction_075_delta,raw,clean_pre8_vs_post_control,84,32,0.49368990384615385,0.42726014547277447,higher_in_positive,-0.0001085069444444,-0.0001085069444444,0.0,0.9262933409470344,,0.27582890038621466,0.27582890038621466,76,-0.17014286969156922,0.14171729804793373,,40,-0.1599552646187083,0.32416563350710204,,0.010187605072860928
front_radius_q70_slope_px_per_norm_time,raw,clean_pre8_vs_post_control,43,32,0.4923245614035088,0.48226747078614657,lower_in_positive,0.0083762886597938,0.048969072164948446,-0.04059278350515465,0.9415115559245535,,0.3379626708409469,0.3379626708409469,47,-0.004404916716799534,0.9765571136163967,,20,0.12029879535339212,0.6134234773236137,,-0.11589387863659259
front_gradient_peak_radius_median_px,raw,clean_pre8_vs_post_control,84,32,0.49038461538461536,0.3811259755746992,higher_in_positive,5.0,5.0,0.0,0.8847908948980042,,0.25372647451269464,0.25372647451269464,76,0.01320906531169316,0.9098320385958647,,40,-0.04335250458873488,0.7905351695659015,,-0.03014343927704172
front_radius_q80_delta_px,raw,clean_pre8_vs_post_control,84,32,0.4783653846153847,0.3748314687320711,higher_in_positive,0.0,0.0,0.0,0.6326003826870376,,0.08729908603844944,0.08729908603844944,76,0.015775807071216848,0.8924068141417579,,40,-0.05961280196564088,0.7148171193150862,,-0.04383699489442403
apparent_diffusion_q70_px2_per_norm_time,raw,clean_pre8_vs_post_control,43,32,0.4714912280701755,0.44414363426389103,lower_in_positive,0.220360824742268,0.639175257731959,-0.418814432989691,0.7598349826486077,,0.20786015276907482,0.20786015276907482,47,-0.03402218569422798,0.8204009670642275,,20,0.10278694539688565,0.6663053800860932,,-0.06876475970265768
apparent_diffusion_q70_um2_per_norm_time,raw,clean_pre8_vs_post_control,43,32,0.4714912280701755,0.44414363426389103,lower_in_positive,0.0081233814432989,0.0235625567010309,-0.015439175257731998,0.7598349826486077,,0.20786015276907463,0.20786015276907463,47,-0.03402218569422798,0.8204009670642275,,20,0.10278694539688565,0.6663053800860932,,-0.06876475970265768
front_radius_q80_slope_px_per_norm_time,raw,clean_pre8_vs_post_control,41,32,0.44285714285714284,0.45827023924068866,higher_in_positive,0.0695876288659793,0.0599226804123711,0.0096649484536082,0.5399241969807154,,0.15336694105565868,0.15336694105565868,43,-0.059944217855624815,0.7025790960468653,,18,-0.10362101801933014,0.6824149547654927,,-0.04367680016370533
object_y_full_approx,raw,clean_pre8_vs_post_control,84,32,0.4423076923076923,0.35765431550625215,lower_in_positive,177.38888888888889,181.24959173765274,-3.86070284876385,0.3790487654291479,,0.1767898202994347,0.1767898202994347,76,0.21023993954981324,0.06832077436782633,,40,-0.14854593782711645,0.3603043438633801,,0.06169400172269679
front_radius_q60_slope_px_per_norm_time,source_residual,clean_pre8_vs_post_control,41,32,0.6595238095238095,0.6654141862012081,higher_in_positive,0.4193943298969073,-0.1193084192439861,0.5387027491408933,0.0828374251588063,,1.8383473298731184e-33,0.2812613722951844,44,0.20571240908418426,0.1803630981395446,,15,-0.2777140001755693,0.31626341497721533,,-0.07200159109138504
front_radius_q80_median_px,source_residual,clean_pre8_vs_post_control,84,32,0.6535456730769231,0.4559562726479396,higher_in_positive,-0.20000000000000018,-1.3499999999999996,1.1499999999999995,0.01868727832677158,,4.3206642759263126e-33,0.18760524310145266,76,0.0795699147211127,0.49444096331126264,,40,0.1591961834853442,0.326497060413937,,-0.0796262687642315
apparent_diffusion_q70_px2_per_norm_time,source_residual,clean_pre8_vs_post_control,43,32,0.6491228070175438,0.561093275849796,higher_in_positive,1.9956507731958766,-4.358864905498283,6.35451567869416,0.09878627129060676,,1.662251873572738e-33,0.20786015276907482,47,0.200771467197284,0.1759977927613248,,20,-0.11953741057267445,0.6156872166471148,,0.08123405662460956
apparent_diffusion_q70_um2_per_norm_time,source_residual,clean_pre8_vs_post_control,43,32,0.6491228070175438,0.561093275849796,higher_in_positive,0.07356767010309329,-0.16068519587628882,0.2342528659793821,0.09878627129060676,,3.277621428091369e-33,0.20786015276907463,47,0.200771467197284,0.1759977927613248,,20,-0.11953741057267445,0.6156872166471148,,0.08123405662460956
front_radius_q70_median_px,source_residual,clean_pre8_vs_post_control,84,32,0.6433293269230769,0.4607016962710735,higher_in_positive,-0.09999999999999964,-1.1999999999999993,1.0999999999999996,0.028176579812348723,,4.493758802926673e-33,0.18852166145600718,76,0.10231203308100909,0.3791495830873615,,40,0.16657357775907178,0.3042808648662023,,-0.0642615446780627
front_radius_q70_slope_px_per_norm_time,source_residual,clean_pre8_vs_post_control,43,32,0.6359649122807018,0.5537134017531764,higher_in_positive,0.39674613402061887,-0.0797895189003435,0.47653565292096234,0.1325732141685195,,2.8872900991430222e-33,0.3379626708409469,47,0.1490716552053737,0.31727846612207117,,20,-0.15379972570496966,0.5173763641674408,,-0.004728070499595977
front_radius_q70_delta_px,source_residual,clean_pre8_vs_post_control,84,32,0.6319110576923077,0.5465313563781297,higher_in_positive,0.125,-0.1,0.225,0.04033149572768124,,5.203567976391899e-34,0.11678601772059717,76,0.09508541954995407,0.4138993580887838,,40,-0.3086415791415501,0.05265694767096024,,-0.21355615959159602
front_radius_q60_median_px,source_residual,clean_pre8_vs_post_control,84,32,0.6253004807692308,0.45523794715921545,higher_in_positive,0.09999999999999964,-1.9124999999999996,2.0124999999999993,0.055152270541516606,,5.013778355353885e-33,0.18916582859938572,76,0.10957936872785562,0.34603899460830945,,40,0.17465409766937823,0.2810811291338905,,-0.06507472894152261
