embedding_row_id,roi_id,embedding_cohort,cycleNo,cohort_role,future_any_drop_within_8cycles,video_embedding_cluster,cluster_distance
balanced_future::cycle76_rank8_obj3,cycle76_rank8_obj3,balanced_future,76.0,future8_negative,0.0,4,2.975451720738735
balanced_future::cycle76_rank8_obj2,cycle76_rank8_obj2,balanced_future,76.0,future8_negative,0.0,4,4.898895726881681
balanced_future::cycle78_rank22_obj1,cycle78_rank22_obj1,balanced_future,78.0,future8_positive,1.0,1,2.9326403178202294
balanced_future::cycle78_rank22_obj2,cycle78_rank22_obj2,balanced_future,78.0,future8_positive,1.0,4,4.343655032987839
balanced_future::cycle78_rank22_obj3,cycle78_rank22_obj3,balanced_future,78.0,future8_positive,1.0,1,6.941529269378242
balanced_future::cycle84_rank23_obj3,cycle84_rank23_obj3,balanced_future,84.0,future8_positive,1.0,1,4.203863300197068
balanced_future::cycle84_rank23_obj2,cycle84_rank23_obj2,balanced_future,84.0,future8_positive,1.0,4,2.744795800599372
balanced_future::cycle84_rank23_obj1,cycle84_rank23_obj1,balanced_future,84.0,future8_positive,1.0,1,3.0848079872692606
balanced_future::cycle104_rank6_obj3,cycle104_rank6_obj3,balanced_future,104.0,future8_negative,0.0,1,5.945335497001145
balanced_future::cycle104_rank6_obj2,cycle104_rank6_obj2,balanced_future,104.0,future8_negative,0.0,5,0.0
balanced_future::cycle104_rank6_obj1,cycle104_rank6_obj1,balanced_future,104.0,future8_negative,0.0,1,3.2718594397787752
balanced_future::cycle108_rank21_obj3,cycle108_rank21_obj3,balanced_future,108.0,future8_positive,1.0,1,7.320257967885281
balanced_future::cycle108_rank21_obj1,cycle108_rank21_obj1,balanced_future,108.0,future8_positive,1.0,1,12.554913339629666
balanced_future::cycle108_rank21_obj2,cycle108_rank21_obj2,balanced_future,108.0,future8_positive,1.0,1,2.9728294575581042
balanced_future::cycle110_rank24_obj1,cycle110_rank24_obj1,balanced_future,110.0,future8_positive,1.0,3,6.846270312565386
balanced_future::cycle110_rank24_obj3,cycle110_rank24_obj3,balanced_future,110.0,future8_positive,1.0,4,3.84260852230896
balanced_future::cycle110_rank24_obj2,cycle110_rank24_obj2,balanced_future,110.0,future8_positive,1.0,1,3.130302365665055
balanced_future::cycle129_rank7_obj1,cycle129_rank7_obj1,balanced_future,129.0,future8_negative,0.0,1,4.226041743694962
balanced_future::cycle129_rank7_obj2,cycle129_rank7_obj2,balanced_future,129.0,future8_negative,0.0,0,4.038180560362513
balanced_future::cycle129_rank7_obj3,cycle129_rank7_obj3,balanced_future,129.0,future8_negative,0.0,1,7.446110712505343
balanced_future::cycle131_rank5_obj1,cycle131_rank5_obj1,balanced_future,131.0,future8_negative,0.0,1,5.214124375823845
balanced_future::cycle131_rank5_obj3,cycle131_rank5_obj3,balanced_future,131.0,future8_negative,0.0,1,3.697530073098567
balanced_future::cycle131_rank5_obj2,cycle131_rank5_obj2,balanced_future,131.0,future8_negative,0.0,0,4.26624128309602
