feature,target,n,rho,p_value
shape_V_min,mean_delta_prev,80,0.10568514610831238,0.35081179545996055
neg_dqdv_abs_integral_proxy,mean_delta_prev,80,0.10518049695264886,0.35312976057157186
shape_V_q05,particle_norm_mean,81,-0.10324868725626614,0.35901177694918024
pos_dq_abs_midV_frac,mean_delta_prev,80,-0.10360993905297704,0.3604042707911543
all_dq_abs_total_mAh,max_abs_delta_prev,80,-0.10009873977998678,0.3769979860974822
shape_V_q25,max_abs_delta_prev,80,-0.0956832850763979,0.39850877199036544
shape_dVdt_sign_consistency,max_abs_delta_prev,80,0.09489184187689736,0.4024396190063911
neg_dqdv_abs_integral_proxy,mean_abs_delta_prev,80,0.09383552411977891,0.4077213779589905
shape_V_q05,max_abs_delta_prev,80,0.09275856323596073,0.4131478379712794
pos_dq_abs_highV_frac,mean_delta_prev,80,0.0909282700421941,0.4224656940761468
shape_V_q05,mean_delta_prev,80,-0.0894213651666765,0.4302270177392019
shape_V_min,max_abs_delta_prev,80,-0.08735737473295298,0.44098820505715347
all_dq_abs_peak_frac,mean_abs_delta_prev,80,0.08543181805009599,0.45116256747540384
pos_dq_abs_lowV_frac,particle_norm_mean,81,-0.08327922537399934,0.45981662072901763
shape_dVdt_slope,max_abs_delta_prev,80,-0.0836439891983701,0.4607246655612953
neg_dq_abs_lowV_frac,mean_delta_prev,80,0.08204406938584155,0.46937509889914464
all_dq_abs_peak_frac,mean_delta_prev,80,-0.07998124706985468,0.4806570958054336
all_dq_abs_highV_frac,mean_delta_prev,80,0.07941865916549462,0.48375895160669335
pos_dq_abs_entropy,max_abs_delta_prev,80,-0.07874688384786722,0.48747672306074513
shape_V_q10,coulombic_efficiency_pct,81,0.07780958727535502,0.48991142735681376
shape_dVdt_abs_p95,particle_norm_mean,81,-0.07757540170959473,0.4912227438320536
neg_dq_abs_entropy,mean_delta_prev,80,0.07524613220815754,0.5070930437142644
shape_dVdt_slope,mean_abs_delta_prev,80,-0.06754610610820458,0.5516277046292688
pos_dq_abs_peak_frac,mean_abs_delta_prev,80,0.06361968834900823,0.5750399041699762
shape_V_max,mean_delta_prev,80,0.060801606344376,0.5921222405238231
shape_dVdt_abs_p95,max_abs_delta_prev,80,0.05993329505488117,0.5974313155428531
shape_V_std,mean_delta_prev,80,0.05768870135958744,0.6112526165380707
shape_V_min,particle_norm_mean,81,0.052204921019734084,0.6434665714500222
neg_dq_abs_lowV_frac,mean_abs_delta_prev,80,-0.05169978727108978,0.6487898616785225
pos_dq_abs_total_mAh,mean_delta_prev,80,0.05138302859821848,0.650800919226255
shape_dIdt_slope,mean_delta_prev,80,0.044819503047351154,0.6930147945647429
shape_V_q10,mean_abs_delta_prev,80,0.04298491396211017,0.7049902283877069
shape_V_q10,mean_delta_prev,80,-0.04283227574510708,0.7059898735634255
shape_dVdt_abs_p95,mean_abs_delta_prev,80,0.04098735334450708,0.7181113976707009
shape_V_range,mean_delta_prev,80,0.038957168257419704,0.7315309020783002
shape_V_q10,max_abs_delta_prev,80,0.033032717603035396,0.7711408103481986
shape_V_min,coulombic_efficiency_pct,81,-0.031807923470320694,0.7780254224432257
neg_dqdv_abs_integral_proxy,particle_norm_mean,81,-0.029866925626749887,0.7912533483052246
shape_dVdt_slope,mean_delta_prev,80,0.029137365213314583,0.7975143475908711
shape_charge_mAh_pos,mean_delta_prev,80,0.028879512423816225,0.7992685272536845
echem_shape_duration_s,mean_delta_prev,80,0.028363806844819504,0.8027798598904575
shape_charge_mAh_abs,mean_delta_prev,80,0.028363806844819504,0.8027798598904575
neg_dq_abs_highV_frac,mean_delta_prev,80,0.02780121894045945,0.8066148602324893
shape_I_mean_mA,mean_delta_prev,80,0.027004219409282704,0.8120555707888222
shape_I_neg_fraction,mean_delta_prev,80,-0.027004219409282704,0.8120555707888222
shape_I_pos_fraction,mean_delta_prev,80,0.027004219409282704,0.8120555707888222
pos_dq_abs_lowV_frac,max_abs_delta_prev,80,0.02680959935245929,0.8133855064793301
shape_dVdt_sign_consistency,mean_delta_prev,80,-0.026019690576652606,0.8187887271994637
shape_charge_mAh_neg_abs,mean_delta_prev,80,0.02555086732301922,0.8219996361281561
shape_I_mean_mA,mean_abs_delta_prev,80,0.024648527007731076,0.8281878387332949
shape_I_neg_fraction,mean_abs_delta_prev,80,-0.024648527007731076,0.8281878387332949
shape_I_pos_fraction,mean_abs_delta_prev,80,0.024648527007731076,0.8281878387332949
neg_dq_abs_total_mAh,mean_delta_prev,80,0.02402719174871074,0.8324550354946754
shape_I_mean_mA,max_abs_delta_prev,80,0.023734875567400743,0.8344642840234917
shape_I_neg_fraction,max_abs_delta_prev,80,-0.023734875567400743,0.8344642840234917
shape_I_pos_fraction,max_abs_delta_prev,80,0.023734875567400743,0.8344642840234917
all_dq_abs_total_mAh,mean_delta_prev,80,0.021659634317862168,0.8487582998942161
neg_dqdv_abs_integral_proxy,max_abs_delta_prev,80,0.018551807860664137,0.8702547477501036
neg_dq_abs_lowV_frac,max_abs_delta_prev,80,0.017944137853667427,0.874469445634814
shape_dVdt_abs_p95,mean_delta_prev,80,0.016526116538707,0.8843180000905396
shape_V_q50,mean_delta_prev,80,0.016061055921364947,0.8875518721882212
all_dqdv_abs_integral_proxy,mean_delta_prev,80,0.012634786685419598,0.9114301649744392
shape_V_q95,mean_delta_prev,80,0.008874300471030733,0.9377274719575035
pos_dq_abs_lowV_frac,mean_abs_delta_prev,80,0.008228089197509255,0.9422539725826735
shape_V_q90,mean_delta_prev,80,-0.008008677818178508,0.943791301451223
pos_dq_abs_total_mAh,max_abs_delta_prev,80,-0.007840134600075146,0.9449723569449476
shape_V_min,mean_abs_delta_prev,80,0.005857639461426038,0.9588727806493159
shape_V_mean,mean_delta_prev,80,0.005508673230192218,0.9613209735516689
shape_V_q75,mean_delta_prev,80,-0.005415416377898642,0.9619752839311784
pos_dq_abs_entropy,mean_abs_delta_prev,80,-0.004910952361502294,0.9655151376838926
pos_dq_abs_lowV_frac,capacity_mAh,81,0.001964814020691225,0.986110736190023
shape_V_q25,mean_delta_prev,80,-0.0019574403271656786,0.9862512604320635
all_dq_abs_peak_voltage,mean_delta_prev,80,-0.0013526221780767664,0.9904991629203995
pos_dq_abs_total_mAh,mean_abs_delta_prev,80,-0.00014064780032942132,0.9990120652380012
