n,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,median_positive,median_negative,median_positive_minus_negative,permutation,feature,transform,window_cycles,label_col,future_direction
96,48,0.513454861111111,0.5546761549594005,0.02330576750633852,0.8216772165772254,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,80,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4565972222222222,0.5106237520632002,-0.07517989518173716,0.46661881433466507,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,81,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4565972222222222,0.5106237520632002,-0.07517989518173716,0.46661881433466507,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,82,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.45920138888888884,0.5163798525803301,-0.07066910147083293,0.4938496225670857,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,83,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5186631944444444,0.5614421975587764,0.03232735492814698,0.7545278429889738,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,84,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.44921875,0.4957899477502292,-0.08796047736263247,0.3941047636101395,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,85,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.45442708333333337,0.5016343040112522,-0.07893888994082403,0.4445679070310314,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,86,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.44921875,0.4957899477502292,-0.08796047736263247,0.3941047636101395,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,87,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4565972222222222,0.5106237520632002,-0.07517989518173716,0.46661881433466507,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,88,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.513454861111111,0.5544319547152002,0.02330576750633852,0.8216772165772254,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,89,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.5186631944444444,0.5614421975587764,0.03232735492814698,0.7545278429889738,-1.3979570212541148e-07,1.5892251212790143e-06,-1.7290208234044258e-06,90,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.4544270833333333,0.5018098229367711,-0.07893888994082403,0.4445679070310314,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,91,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
96,48,0.45920138888888884,0.5163798525803301,-0.07066910147083293,0.4938496225670857,-4.1455587052041665e-07,1.813792096072575e-06,-2.2283479665929917e-06,92,dictionary_recon_error_last_minus_first,source_residual,16,full_future_any_event_within_16cycles,higher_in_future_positive
