roi_id,cycleNo,source_stem,cohort_role,is_event_roi,event_reference_cycle,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,n_thresholds,median_apparent_D_um2_per_s,median_abs_apparent_D_um2_per_s,iqr_abs_apparent_D_um2_per_s,threshold_sensitivity_iqr_over_median_abs,positive_D_fraction,negative_D_fraction,sign_entropy_bits,robust_positive_fit_fraction,median_radius2_fit_r2,min_radius2_fit_r2,median_phase_slope_per_s,median_radius2_slope_px2_per_s,D_vs_threshold_spearman_rho,D_vs_threshold_spearman_p,abs_D_vs_threshold_spearman_rho,abs_D_vs_threshold_spearman_p,roi_elapsed_to_h5_median_ratio,h5_dt_max_to_median_ratio,transferred_masked_residual_signature,validation_score_recon,selected_diffusion_um2_per_s,selected_r2,drift_to_motion_ratio,front_quality_score,diffusion_proxy_median_um2_per_s,threshold_robust_diffusion_score,q70_radius2_slope_bootstrap_p05_px2_per_s,q70_radius2_slope_bootstrap_p95_px2_per_s,mask_instability_score,fallback_frame_fraction,accepted_area_cv,manual_qc_status,positive_estimator_count,negative_estimator_count,automatic_positive_diffusion_proxy_candidate,publication_diffusion_candidate,gate_all_thresholds_present,gate_positive_expansion,gate_fit_quality,gate_threshold_stability,gate_h5_timing_stable,gate_low_drift,gate_q70_positive_ci,diffusion_physics_gate_count,automatic_diffusion_physics_consistent,publication_ready_diffusion_candidate,physics_consistency_score
cycle110_rank24_obj3,110.0,12_c2_x10_070723,future8_positive,0.0,110.0,1.0,1.0,0.0,7,-3.981920364355904e-06,3.981920364355904e-06,2.87944068333176e-06,0.7231286464458272,0.0,1.0,0.0,0.0,0.1282781257847571,7.095615518248888e-05,1.2044430946543904e-06,-0.0017282640470294,-0.5,0.2531699951003226,0.5,0.2531699951003226,0.9993723977008342,1.1428571332843969,0.1861489207307045,24.508921888371106,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,2.766713802561844
cycle129_rank7_obj2,129.0,14_c2_x10_HighCOV_110723,future8_negative,0.0,129.0,0.0,0.0,0.0,7,-8.833223221051915e-07,1.0154562467963083e-06,8.146589741127221e-07,0.8022590600854668,0.14285714285714285,0.8571428571428571,0.5916727785823273,0.0,0.0182908906218594,0.0002657731751143,1.2496881701100736e-06,-0.0003833864245248,0.39285714285714296,0.3833168704269726,-0.07142857142857144,0.879048193148154,1.0006343138431424,1.1850119123748653,0.2863584478094875,24.688025072654327,,,,,,,,,,,,,,,,,True,False,False,True,True,True,False,4,False,False,2.760018503436269
cycle139_rank11_obj2,139.0,16_c2_x10_HighHighCOV_130723,future8_negative,0.0,139.0,0.0,0.0,0.0,7,7.337226823344818e-06,7.337226823344818e-06,3.647091532940367e-06,0.4970667557034538,1.0,0.0,0.0,0.0,0.0028561621490684,0.0005502248763205,-7.775621245466107e-06,0.0031845602531878,1.0,0.0,1.0,0.0,1.0013327461881962,13.736323266163534,0.2177667218010263,23.937760651918044,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.7543227842973415
cycle76_rank8_obj3,76.0,9_c2_x10_010723,future8_negative,0.0,76.0,0.0,1.0,0.0,7,5.931312444747207e-07,6.292447354001773e-07,1.8635009802011866e-06,2.96148839293199,0.7142857142857143,0.2857142857142857,0.863120568566631,0.0,0.0077069241326408,0.0001031844905016,7.970035181570776e-07,0.0002574354359699,0.5,0.2531699951003226,0.14285714285714288,0.7599453002180928,1.0006816495300523,1.1361501308587034,0.2739127589669339,25.981851806001654,,,,,,,,,,,,,,,,,True,False,False,False,True,True,False,3,False,False,2.7219926384183553
cycle155_rank19_obj1,155.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,155.0,1.0,1.0,0.0,7,5.302704849963587e-06,5.302704849963587e-06,3.6076930891991764e-06,0.6803495935143269,1.0,0.0,0.0,0.0,0.0500469875686859,0.0022253537439721,-1.1456991870567262e-06,0.0023015212022411,0.9285714285714288,0.0025194724037946883,0.9285714285714288,0.0025194724037946883,1.002119584106621,13.75745087739935,0.7426923860413742,24.68876932888548,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.7098721908115224
cycle40_rank2_obj1,40.0,5_c2_x10_260623,future8_negative,0.0,40.0,0.0,0.0,0.0,7,4.066174692215566e-06,4.066174692215566e-06,3.230012674089719e-06,0.7943615113913758,1.0,0.0,0.0,0.0,0.0802654242840514,0.0534514529594678,1.8999294020920248e-06,0.0017648327657185,0.642857142857143,0.11939237342741099,0.642857142857143,0.11939237342741099,1.0017396340779512,13.783272691633115,0.7842017555889671,25.31408396943277,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.6830846685883634
cycle152_rank15_obj2,152.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,152.0,1.0,1.0,0.0,7,2.784126968202252e-06,2.784126968202252e-06,2.5520096929379165e-06,0.9166283442115368,1.0,0.0,0.0,0.0,0.0885127748961854,0.0637581083707881,2.379398903442321e-06,0.00120838844106,0.6785714285714287,0.09375025395983132,0.6785714285714287,0.09375025395983132,1.0120383562861968,13.75745087739935,1.1876601241161993,24.14244513883759,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.6301986027904167
cycle44_rank4_obj3,44.0,5_c2_x10_260623,future8_negative,0.0,44.0,0.0,1.0,0.0,7,2.198783861611966e-06,2.198783861611966e-06,1.056492187144737e-06,0.48048933121157467,0.8571428571428571,0.14285714285714285,0.5916727785823275,0.0,0.0106542828684766,0.0007056254982177,3.896808439803886e-07,0.000954333273269,0.7857142857142859,0.036238462679827145,0.7857142857142859,0.036238462679827145,1.001633341780336,13.783272691633115,0.6286054582853854,26.52636345001568,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.6275524744055465
cycle155_rank19_obj2,155.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,155.0,1.0,1.0,0.0,7,2.194485265004261e-06,2.194485265004261e-06,3.112804270337387e-06,1.4184666992199388,1.0,0.0,0.0,0.14285714285714285,0.1567696043912925,0.0958953714677706,-9.068969438737752e-07,0.0009524675629358,0.8928571428571429,0.006807187408935391,0.8928571428571429,0.006807187408935391,1.002119584106621,13.75745087739935,0.7426923860413742,24.25124544773909,,,,,,,,,,,,,,,,,True,True,False,True,False,True,False,4,False,False,2.590393397638466
cycle149_rank20_obj1,149.0,17_c2_x10_HighHighCOV_150723,future8_positive,0.0,149.0,1.0,1.0,0.0,7,6.973656755266504e-07,1.106584345408778e-06,4.083048230116895e-07,0.3689775882929733,0.7142857142857143,0.2857142857142857,0.863120568566631,0.0,0.0106379222439539,0.000327392774532,4.639612996377914e-06,0.0003026760744473,-0.8571428571428573,0.013697326615325614,-0.07142857142857144,0.879048193148154,1.0011755340962196,13.75745087739935,0.5580241541936951,24.13169896898958,,,,,,,,,,,,,,,,,True,False,False,True,False,True,False,3,False,False,2.5404348423831813
