split,residual_feature,residual_base,residual_source_eta2,best_target,best_target_auc,best_target_ap,best_target_direction,best_physics_feature,best_physics_category,best_physics_rho,best_physics_source_centered_rho,n_physics_categories_with_abs_centered_rho_ge_0p30
leave_source,residual_energy_slope__echem_conditioned_resid_leave_source,residual_energy_slope,0.10729324023068945,future_any_drop_within_16cycles,0.567251461988304,0.8547817068774395,higher_in_positive,low_rank_dmd_particle_mse_mean,rollout_prediction,0.5505401091648212,0.6352835932614507,4
leave_cycle,resdict_pc02_slope__echem_conditioned_resid_leave_cycle,resdict_pc02_slope,0.0450427177940928,future_any_drop_within_16cycles,0.5660818713450292,0.8535525962125882,higher_in_positive,all_dq_abs_peak_frac,echem_state,0.21426648388516606,0.6703609348582199,3
leave_cycle,resdict_pc08_mean__echem_conditioned_resid_leave_cycle,resdict_pc08_mean,0.09366893948822873,future_any_drop_within_16cycles,0.5660818713450292,0.8506555137702367,lower_in_positive,all_dq_abs_peak_frac,echem_state,-0.19395252326031817,-0.4544667242123817,2
leave_source,resdict_pc01_last_minus_first__echem_conditioned_resid_leave_source,resdict_pc01_last_minus_first,0.16102577818378053,future_any_drop_within_16cycles,0.5625730994152046,0.8604699423098962,lower_in_positive,all_dq_abs_highV_frac,echem_state,0.3538470250031527,0.5522005103227938,3
leave_source,resdict_pc03_last_minus_first__echem_conditioned_resid_leave_source,resdict_pc03_last_minus_first,0.1528676134917458,future_any_drop_within_16cycles,0.560233918128655,0.8689569336555112,higher_in_positive,shape_V_q25,echem_state,-0.1810529181647039,-0.47421593878911944,3
leave_cycle,resdict_pc05_std__echem_conditioned_resid_leave_cycle,resdict_pc05_std,0.15598426926160958,future_any_drop_within_16cycles,0.5543859649122806,0.8408059096227785,higher_in_positive,all_dq_abs_peak_frac,echem_state,-0.12724514062487607,-0.6912610001771998,2
leave_source,resdict_pc01_slope__echem_conditioned_resid_leave_source,resdict_pc01_slope,0.12712817562071782,future_any_drop_within_16cycles,0.552046783625731,0.8369434446395545,higher_in_positive,echem_regime_pc2,echem_state,0.1446025132542477,0.619351897230982,2
leave_cycle,dictionary_recon_error_last_minus_first__echem_conditioned_resid_leave_cycle,dictionary_recon_error_last_minus_first,0.07339151795988548,future_any_drop_within_16cycles,0.5473684210526316,0.8320232716417757,higher_in_positive,all_dq_abs_lowV_frac,echem_state,-0.45533600335037017,-0.7106246152375891,5
leave_source,resdict_pc02_mean__echem_conditioned_resid_leave_source,resdict_pc02_mean,0.05372895946585453,future_any_drop_within_16cycles,0.5473684210526316,0.8610827563269634,lower_in_positive,echem_regime_pc2,echem_state,0.3684999435467066,0.6298849482672354,5
leave_cycle,dictionary_recon_error_mse_slope__echem_conditioned_resid_leave_cycle,dictionary_recon_error_mse_slope,0.06406090004956543,future_any_drop_within_16cycles,0.5403508771929824,0.8597489998063319,lower_in_positive,all_dq_abs_highV_frac,echem_state,0.19833630521403203,0.722826642107394,6
leave_cycle,resdict_pc02_std__echem_conditioned_resid_leave_cycle,resdict_pc02_std,0.12278281020209186,future_any_drop_within_16cycles,0.5380116959064328,0.8708053709675927,lower_in_positive,neg_dq_abs_lowV_frac,echem_state,-0.25165371645617257,-0.5427474078837534,1
leave_cycle,residual_energy_last_minus_first__echem_conditioned_resid_leave_cycle,residual_energy_last_minus_first,0.04906579109132794,future_any_drop_within_16cycles,0.5263157894736842,0.8337644810180375,higher_in_positive,all_dq_abs_highV_frac,echem_state,0.02074887490120404,0.7638184829263878,6
leave_cycle,resdict_pc01_std__echem_conditioned_resid_leave_cycle,resdict_pc01_std,0.0599622920551286,future_any_drop_within_16cycles,0.5239766081871345,0.8591812307976221,lower_in_positive,dictionary_recon_energy_mean,rollout_prediction,-0.1165289651111254,0.5090200282911236,2
leave_cycle,residual_energy_slope__echem_conditioned_resid_leave_cycle,residual_energy_slope,0.05886720396686895,future_any_drop_within_16cycles,0.5216374269005848,0.8416595607072462,higher_in_positive,all_dq_abs_highV_frac,echem_state,0.1978744493453352,0.7549696339082781,5
leave_cycle,resdict_pc04_std__echem_conditioned_resid_leave_cycle,resdict_pc04_std,0.12696452542210585,future_any_drop_within_16cycles,0.5134502923976608,0.8392654072228376,higher_in_positive,all_dqdv_abs_integral_proxy,echem_state,0.16479402274992644,0.4960012739098241,2
leave_source,dictionary_recon_error_mse_slope__echem_conditioned_resid_leave_source,dictionary_recon_error_mse_slope,0.07746386955168247,future_any_drop_within_16cycles,0.5064327485380117,0.812335588786088,higher_in_positive,echem_regime_pc1,echem_state,0.47422020644391893,0.5970465185178756,5
leave_source,resdict_pc07_last_minus_first__echem_conditioned_resid_leave_source,resdict_pc07_last_minus_first,0.29036256384918535,future_any_drop_within_16cycles,0.5064327485380117,0.8238687462844276,higher_in_positive,neg_dq_abs_entropy,echem_state,0.07078710947559724,0.6170562371059574,4
leave_source,resdict_pc07_slope__echem_conditioned_resid_leave_source,resdict_pc07_slope,0.131415251433259,future_any_drop_within_16cycles,0.5005847953216375,0.792004734067119,higher_in_positive,neg_dq_abs_peak_voltage,echem_state,-0.10733333221143126,-0.6706097159761207,3
leave_cycle,dictionary_recon_error_mse_mean__echem_conditioned_resid_leave_cycle,dictionary_recon_error_mse_mean,0.06814263490157452,future_any_drop_within_16cycles,0.4818713450292398,0.8274856838016488,lower_in_positive,shape_V_q90,echem_state,0.17146632061053405,0.7111520104405856,4
leave_source,resdict_pc03_slope__echem_conditioned_resid_leave_source,resdict_pc03_slope,0.14966643204599506,future_any_drop_within_16cycles,0.47602339181286546,0.8226468749953098,lower_in_positive,neg_dq_abs_peak_voltage,echem_state,-0.20652083117467357,-0.5750200797510114,5
leave_source,resdict_pc02_slope__echem_conditioned_resid_leave_source,resdict_pc02_slope,0.0773226901905276,future_any_drop_within_16cycles,0.4643274853801169,0.8102592336677858,higher_in_positive,mask_low_area_fraction,mask_qc,0.05907830963974001,0.33932556548220405,2
leave_cycle,resdict_pc06_std__echem_conditioned_resid_leave_cycle,resdict_pc06_std,0.06069189048597911,future_any_drop_within_16cycles,0.45964912280701753,0.8193124590852368,lower_in_positive,all_dq_abs_highV_frac,echem_state,0.2793073365943939,0.7376645337841283,4
leave_source,resdict_pc01_mean__echem_conditioned_resid_leave_source,resdict_pc01_mean,0.061813634422579575,future_any_drop_within_16cycles,0.456140350877193,0.8216511529172354,lower_in_positive,echem_regime_pc2,echem_state,-0.34107988607533035,-0.6513864856783457,5
leave_cycle,resdict_pc02_last_minus_first__echem_conditioned_resid_leave_cycle,resdict_pc02_last_minus_first,0.029136773625574534,future_any_drop_within_16cycles,0.45029239766081863,0.8143646258459767,higher_in_positive,shape_dIdt_slope,echem_state,0.006358215792392706,-0.3950497245200995,1
leave_cycle,residual_energy_mean__echem_conditioned_resid_leave_cycle,residual_energy_mean,0.07056342434154315,future_any_drop_within_16cycles,0.43157894736842106,0.8065287134290934,lower_in_positive,shape_V_q90,echem_state,0.24181266212574543,0.6489039780869081,6
leave_source,residual_energy_last_minus_first__echem_conditioned_resid_leave_source,residual_energy_last_minus_first,0.10971778670272615,future_any_drop_within_16cycles,0.4105263157894737,0.784144459745135,higher_in_positive,all_dqdv_abs_integral_proxy,echem_state,0.37824071246815566,0.7121726124935936,5
