split,feature,n,r2,mae,spearman_rho,spearman_p,residual_std
leave_source,resdict_pc05_mean,172,-3.8737884370409024,0.0010034463982809426,0.13822514431654534,0.07056336480638715,0.0017810911024650693
leave_source,resdict_pc07_last_minus_first,172,-4.60188257813363,0.012407382042810096,-0.14295611181326498,0.06137265661222912,0.021258272358453532
leave_source,residual_energy_slope,172,-5.2265570036565965,0.0006042483356135432,0.11118363219421859,0.14649246567123858,0.0010369783238650782
leave_source,resdict_pc06_mean,172,-5.483543582685459,0.0015123421541330777,0.03150951706875513,0.6815623858071002,0.0028653351565904005
leave_source,resdict_pc04_last_minus_first,172,-6.44075516791252,0.022525939710232156,-0.13344936705789265,0.08094577446147116,0.03889977877722674
leave_source,resdict_pc08_slope,172,-6.934221691420863,0.026984803600083793,-0.07455636863100602,0.33103996972570116,0.045625682839324055
leave_source,resdict_pc06_slope,172,-8.769539223894087,0.01564896862020179,0.06746227579444934,0.37923311610911326,0.038220112105018335
leave_source,resdict_pc04_mean,172,-12.364529973658946,0.002404498666868084,-0.3190089496311237,1.996925128781588e-05,0.003922691166592406
leave_source,resdict_pc05_last_minus_first,172,-12.479509776863228,0.009473877223790287,0.018645577781189183,0.8081816741272125,0.022373426708569517
leave_source,dictionary_recon_error_mse_slope,172,-14.062487120216584,0.00040295700520187643,0.0874403543910157,0.25403910899193954,0.0008407591261344488
leave_source,resdict_pc06_last_minus_first,172,-14.606055128515331,0.010793980689691708,0.011994865746917301,0.8758992478515688,0.02745448699354485
leave_source,resdict_pc01_slope,172,-15.952412037574028,0.0217442124297631,0.18043122324042107,0.0178578967206779,0.05256649361792044
leave_source,resdict_pc07_slope,172,-20.830403735000523,0.024851837670649142,-0.016349667084251708,0.8314248107104504,0.06177414804928292
leave_source,resdict_pc01_mean,172,-27.188483229535684,0.003360873334873476,0.08581305251028959,0.2630176443256636,0.008279875101389477
leave_source,resdict_pc02_mean,172,-30.193299145446673,0.002530213750874297,-0.1949000595277466,0.010405046789208118,0.005937443341134688
leave_source,resdict_pc04_slope,172,-31.74662080402461,0.03602028783368376,0.0396519224936926,0.6055462414215665,0.09182883636524311
leave_source,residual_energy_last_minus_first,172,-45.01785600643912,0.0006075239659100858,-0.09496603598724322,0.21527560178099167,0.001674758741419225
leave_source,resdict_pc05_slope,172,-51.34871715627446,0.021866889313937356,0.038146078651890264,0.6193201959226785,0.06900106706403299
leave_source,resdict_pc07_mean,172,-68.29940855206891,0.0034585698284342633,0.06407206354293664,0.4037017567435154,0.009525999598384753
leave_source,dictionary_recon_error_last_minus_first,172,-77.93706363818772,0.00041381602294735236,-0.11341350745251791,0.13851544645255323,0.0013476915596382488
leave_source,resdict_pc08_mean,172,-89.17736015120751,0.0031003109009221557,-0.11250316176272042,0.14173103804620601,0.009825368865429604
