cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first,object_area_ds_px,object_mean_residual,object_mean_abs_z
74.0,8_c2_x10_300623,2,0.0,1.0,0.2739800347222222,0.2554796006944444,0.004109700520833315,-0.00020432444918742817,10.351208816502904,0.260112871556428,0.07623156754106516,0.1396305626258254,0.0009180600322859804,21.0,-0.5,-0.6269329896907219,21.0,0.0,,21.0,0.0,-0.16301546391752586,0.0,4.0,1.749355670103093,,,-0.0002445019781589,39.5,13116.9091796875,31.57118511199951
78.0,9_c2_x10_010723,2,1.0,1.0,0.2712131076388889,0.2517632378472222,0.00792100694444442,-0.009958029066437581,7.4732731911208745,0.17521682515369502,0.6035028941064176,0.15574218798428774,0.013054914806114964,7.0,0.0,0.03608247422680416,6.0,0.0,,5.0,0.5,0.6043814432989694,0.0,4.0,-0.01900773195876282,,,0.0006552785634993999,97.0,8036.08447265625,20.34675407409668
80.0,9_c2_x10_010723,2,1.0,1.0,0.2733832465277778,0.24896918402777776,0.013929578993055539,-0.005946278435531218,7.353935639197408,0.3602940396034992,0.7925572974655659,0.15508743561804295,0.010986617265854842,6.0,2.5,3.476159793814434,5.5,0.5,1.417525773195877,5.0,0.0,0.0032216494845360845,0.010526315789473684,5.0,-0.3730670103092785,15.592783505154644,0.5748123711340213,0.0005198307335377,108.0,7615.18603515625,19.72565460205078
82.0,9_c2_x10_010723,2,1.0,1.0,0.2728407118055556,0.2558051215277778,0.007609049479166657,-0.008324447229828898,10.331719644849548,1.0246103497090118,0.4059862242162982,0.15531288366764784,0.009516048173122488,7.5,1.5,1.3469716494845365,7.0,1.0,2.3073453608247427,5.5,1.0,0.4284793814432991,0.031578947368421054,4.0,-0.6626932989690727,33.661726804123724,1.2409058969072164,0.0005519576370715953,73.0,10404.57958984375,24.77930736541748
84.0,9_c2_x10_010723,2,1.0,1.0,0.27392578125,0.25558810763888884,0.008680555555555539,-0.006284523665700172,10.917723983902883,0.6532118659919128,0.3009908748251766,0.15205858927220106,0.005997191416099671,7.0,1.5,2.270618556701032,6.0,1.0,0.4168814432989692,5.0,0.0,,0.010526315789473684,5.0,0.46005154639175283,5.778994845360827,0.21303686597938148,-0.00012809038162227724,97.5,8292.018798828125,20.897911071777344
92.0,10_c2_x10_030723,2,0.0,0.0,0.2615017361111111,0.24495442708333331,0.002658420138888881,0.002264418279728669,8.073900646371628,0.2122881158914334,0.04642744809535958,0.147204271517694,0.002439406206567302,5.0,0.0,,5.0,0.0,,5.0,0.0,,0.0,5.5,,,,-0.00048726424574845,36.0,12403.69580078125,31.88889980316162
94.0,10_c2_x10_030723,2,0.0,0.0,0.2475043402777778,0.22900390625,0.004041883680555539,0.0059554022475479685,10.548288729864362,0.2854386559332354,0.38384285885849084,0.14860597532242537,1.5458572156652264e-05,11.0,-0.5,-0.5019329896907219,11.0,0.0,-1.3318298969072169,10.5,0.0,,0.005263157894736842,6.5,-0.9039948453608252,-43.95038659793816,-1.6201870515463939,-0.00057936087250705,42.5,11879.3203125,29.906248092651367
98.0,11_c2_x10_050723,2,0.0,0.0,0.2431640625,0.22542317708333331,0.00439453125,0.007392000633143618,8.362810485080438,0.2739833814052602,0.24155431645214653,0.14047117438167334,0.0010106202656614404,8.0,0.0,-0.026417525773195883,7.5,0.0,-0.002577319587628865,6.5,0.0,0.023840206185567026,0.005263157894736842,9.0,4.1108247422680435,-0.048969072164948425,-0.00180519587628866,0.0007366351783274999,72.5,11009.9677734375,25.36744785308838
100.0,11_c2_x10_050723,2,0.0,1.0,0.24462890625,0.22762044270833334,0.003662109374999986,-0.005208682904674973,8.800808543104267,0.22611332990891386,0.2908856472488357,0.13891874346882105,0.005670489823762521,8.0,0.0,,7.5,0.0,0.025128865979381486,6.5,0.0,0.012886597938144307,0.010526315789473684,9.0,-1.8627577319587636,0.47744845360824817,0.017600659793814446,0.00020621716976165002,76.5,10457.69580078125,24.074993133544922
102.0,11_c2_x10_050723,2,0.0,1.0,0.2477756076388889,0.22957356770833331,0.003879123263888881,0.0033534029231994597,8.8161225282407,0.2487175981307687,0.3116785306131638,0.13814650662243366,0.0015424662209644017,8.0,-0.5,-0.8820876288659797,8.0,0.5,1.1436855670103097,5.5,0.0,,0.005263157894736842,9.0,-0.08376288659793818,24.017396907216504,0.8853773195876299,-0.00012518838047976817,91.0,9432.243896484375,22.4638032913208
108.0,12_c2_x10_070723,2,1.0,1.0,0.2577039930555556,0.2414822048611111,0.00547960069444442,-0.008675801385309281,7.688921305012773,0.2668519983216502,0.15391882727651948,0.15086044184863567,0.011234088132359552,10.5,0.0,-0.29768041237113396,9.5,0.5,-0.2570876288659796,7.5,-0.5,0.25708762886597947,0.05789473684210526,8.5,1.3592139175257736,-4.144329896907218,-0.15277657731958771,-6.332993507385254e-05,96.5,8671.095458984375,20.142327308654785
110.0,12_c2_x10_070723,2,1.0,1.0,0.2559678819444444,0.23817274305555555,0.004923502604166657,0.002494121608319013,12.191027607687147,0.4967236387805876,0.3266245395463799,0.14449244365096092,0.005297693565545476,8.5,-0.5,-0.1707474226804125,5.5,0.0,-0.11726804123711346,5.0,0.0,-0.01675257731958766,0.015789473684210527,3.5,-0.057345360824742286,-1.6417525773195887,-0.060521567010309286,-0.00011946633458139999,85.0,9021.65185546875,21.54570484161377
112.0,12_c2_x10_070723,2,1.0,1.0,0.2599826388888889,0.23437500000000003,0.018988715277777776,0.01158752091834909,10.58364289566099,0.671446525800989,0.32055677391429205,0.14732906688004732,0.0020124180681677056,10.5,0.5,0.16494845360824753,9.0,1.0,-0.11404639175257704,9.0,0.0,0.1359536082474225,0.042105263157894736,3.5,6.328608247422684,-2.6011597938144373,-0.09588915463917513,-0.0003781430423259,59.0,10271.6142578125,23.522708892822266
114.0,12_c2_x10_070723,2,1.0,1.0,0.25634765625,0.23649088541666666,0.016587999131944448,0.017459690229453047,7.053809583988507,0.30250946034557813,0.5511463377877536,0.15157912857830524,-0.0013444783986958984,10.0,-1.0,-2.050902061855671,9.5,-0.5,-1.3795103092783514,8.5,-1.0,-0.8463273195876292,0.005263157894736842,3.0,1.9597293814432997,-23.45167525773197,-0.8645225567010312,-0.00030715018510815,87.5,9529.0869140625,21.918387413024902
123.0,14_c2_x10_HighCOV_110723,2,0.0,0.0,0.24576822916666669,0.22412109375,0.01079644097222221,0.010751625926224228,10.735408457029045,1.1796247590598692,0.1406057962251279,0.14575519133359194,0.0012394792085859176,11.5,0.0,-0.06185567010309282,9.5,0.5,0.0019329896907217814,8.0,0.5,0.08956185567010311,0.04736842105263158,9.0,4.939432989690724,2.3704896907216493,0.08738573195876262,-0.0005991198122501,98.0,8893.074951171875,21.595487594604492
