cycleNo,method,particle_mse_mean_mean,particle_mse_mean_median,nonparticle_mse_mean_mean,nonparticle_mse_mean_median,particle_to_nonparticle_mse_ratio_mean_mean,particle_to_nonparticle_mse_ratio_mean_median,mask_fallback_used_mean_mean
146.0,low_rank_dmd,0.006942322066606721,0.006195419351570308,0.0008474877349726739,0.0005150106235305429,9.311335617390961,10.423265530139146,0.0
146.0,persistence,0.00015045567602101073,0.00015029046608106,7.257163732295642e-05,6.652029355791456e-05,1.8362391934800664,1.7415842344601142,0.0
146.0,velocity,0.00036191922815002425,0.0003771913798118476,0.00020862082586366645,0.0001868486997409491,1.595521459086407,1.5197635720772835,0.0
147.0,low_rank_dmd,0.0031678771362445937,0.002400762830802705,0.00043074417635580176,0.00042734718499559676,8.05687738424122,6.82778240548744,0.0
147.0,persistence,0.00012016662522758755,0.0001305638934354647,7.351674150868348e-05,7.136266663110291e-05,1.6379539916524124,1.6572757332244412,0.0
147.0,velocity,0.00032988449781138723,0.00035256379305792507,0.00021578103239032012,0.00020771112667716807,1.5275658450979728,1.5539785474383339,0.0
148.0,low_rank_dmd,0.004568996539698371,0.004424257167556789,0.0005866722267455771,0.0005822121502205846,7.879324552054382,6.734778084232557,0.0
148.0,persistence,0.00019099507426290074,0.00019035736727346375,9.412178489280147e-05,8.137467079905036e-05,1.9943326442843337,2.1555651876987696,0.0
148.0,velocity,0.000534395661209904,0.0005363867676351219,0.0002753517748412075,0.0002345912885175494,1.8912413375054402,2.0263459494886122,0.0
149.0,low_rank_dmd,0.004732815075840335,0.005137044994626194,0.0005735206577810459,0.0005387549463193864,8.367158083054187,7.8054979059937715,0.0
149.0,persistence,0.00017136770308449437,0.00017476425250606553,9.539454185869545e-05,8.322848066200095e-05,1.7617611729537377,1.8935235644738955,0.0
149.0,velocity,0.00047524923168869765,0.0004912601189062116,0.00027736178950969287,0.00024091892282740446,1.6677669608636234,1.7583375457161334,0.0
150.0,low_rank_dmd,0.004538518813205883,0.0038649475827696733,0.0006331270060400129,0.0006576047462658607,7.167056761331142,6.445344861677806,0.0
150.0,persistence,0.0001725012491912518,0.00017507967447727424,9.391421857192957e-05,8.204287928492704e-05,1.793466418044787,1.961397057861782,0.0
150.0,velocity,0.0004425864297748679,0.00044737562757291016,0.00027125192355015315,0.00023374240845441818,1.6023589519615047,1.6854774454822128,0.0
151.0,low_rank_dmd,0.013439036073881047,0.013466173040797003,0.0015245485877433869,0.001487432806243305,10.193042354223492,8.885162324258781,0.0
151.0,persistence,0.0009648843434888477,0.0010426422995806206,0.00020629044198964644,0.0001826318673465721,2.3745348789661893,2.3403474232659227,0.0
151.0,velocity,0.0021044518916824018,0.0022539894926012494,0.0005072340751818653,0.0004937669946230017,2.444732199264414,2.5182389737272537,0.0
152.0,low_rank_dmd,0.009004248611745425,0.008743518512346782,0.0008516206510951937,0.0008194131833079155,11.053303676388675,11.43541399018004,0.0
152.0,persistence,0.0007509917833203872,0.0008566531739688799,0.0001299819499915126,0.000146895352941101,2.637734317124203,2.777739493916242,0.0
152.0,velocity,0.0017715290782689408,0.001982699574000435,0.0003684453411854823,0.00041510070786898723,2.746808853417234,2.82721049905315,0.0
153.0,low_rank_dmd,0.009944542165612802,0.010885566574870609,0.000734406732590287,0.0008040683114813874,15.798229760249711,12.787570722358316,0.0
153.0,persistence,0.0030051985005078072,0.0024888799000564177,0.00036137419298635603,0.0003388509896922187,4.467289235614367,4.254203255273181,0.0
153.0,velocity,0.006752728272582924,0.005910345897063962,0.0008769306678004796,0.000907974926121824,4.6545463068902135,4.315998954600457,0.0
154.0,low_rank_dmd,0.010483815560291987,0.0073956659907707945,0.001310759607804357,0.0006964983958823723,9.550678206157594,9.9854068563051,0.0
154.0,persistence,0.0007533063197039761,0.0006863639212042472,0.00012264203780887328,0.00012927033139931154,3.7429586170849927,3.3428588721758272,0.0
154.0,velocity,0.0015364560011524493,0.0014521266671181365,0.0002823355078665675,0.0003290452482360706,3.2788255428860946,3.110164908491152,0.0
155.0,low_rank_dmd,0.007523960075559444,0.0048531400607316755,0.0009637371154743354,0.0005211528937252297,9.819670712767008,10.3527106624371,0.0
155.0,persistence,0.0029694040747472172,0.002525002090351336,0.00035261064003104064,0.0003064283757794328,5.1492330683523475,4.889665230623491,0.0
155.0,velocity,0.006083374860130182,0.005182488499485771,0.0007706609263398908,0.0007478764855477493,5.580425823698771,5.459426753211889,0.0
158.0,low_rank_dmd,0.008811397919392524,0.010734392271842808,0.0014712848116384218,0.0015880547543929424,8.384070149092901,6.925945060758426,0.0
158.0,persistence,0.0009749885783776335,0.0007710548070463119,0.00014128680472443497,0.00015348823421845736,4.002975684461447,4.127408961755443,0.0
158.0,velocity,0.0013423197218950615,0.0011204340455606143,0.00025909705542896216,0.00026429292506691127,2.34036671745892,2.38938219364233,0.0
