roi_id,cycleNo,cohort_role,event_reference_cycle,method,particle_mse_mean,particle_mse_median,particle_mse_max,particle_mae_mean,particle_mae_median,nonparticle_mse_mean,nonparticle_mse_median,nonparticle_mae_mean,nonparticle_mae_median,full_crop_mse_mean,full_crop_mse_median,particle_to_nonparticle_mse_ratio_mean,particle_to_nonparticle_mse_ratio_median,particle_mse_fraction_of_full_mean,particle_mse_fraction_of_full_median,particle_mask_area_fraction_mean,nonparticle_context_area_fraction_mean,mask_fallback_used_mean,accepted_area_fraction_median,validation_score_first
cycle153_rank17_obj3,153.0,,,velocity,0.004854016468470945,9.714769839774817e-05,0.032089732587337494,0.030089072068221867,0.007443341193720698,0.0003985193466178316,0.0001045802200678736,0.01344530240749009,0.008072057273238897,0.0012503552641192073,0.00011713646745192818,6.129974896704382,0.9425676803166256,2.083787661501104,0.8279353007540575,0.18299696180555555,0.57177734375,0.0,0.18245442708333331,24.82314848487546
cycle154_rank16_obj1,154.0,,,low_rank_dmd,0.0073956659907707945,0.007546426495537162,0.00977927353233099,0.051810251898132265,0.05125995725393295,0.0006440318511522491,0.0005967289907857776,0.019165480509400368,0.018830373883247375,0.001989262485949439,0.0018998609739355743,11.772992785171548,11.131717323965002,3.7691986641193247,3.65618989412971,0.1925048828125,0.5622694227430556,0.0,0.19596354166666669,25.202334518600047
cycle154_rank16_obj1,154.0,,,persistence,0.0006863639212042472,0.00013256261445349082,0.005747724324464798,0.012525453756097704,0.008249042555689812,0.00012927033139931154,8.102080755634233e-05,0.008296539352159016,0.007094585336744785,0.0002531753193579789,0.00010195035429205745,3.184256890566292,1.590515319555279,1.6807960630368033,1.261613800930765,0.1925048828125,0.5622694227430556,0.0,0.19596354166666669,25.202334518600047
cycle154_rank16_obj1,154.0,,,velocity,0.0014521266671181365,0.00019774787506321445,0.011574848555028439,0.019118038268061355,0.010728271678090096,0.0003290452482360706,0.0002148658750229515,0.013639134325785562,0.011593206785619259,0.0005850986749464937,0.00024506254703737795,2.8539242125092903,0.9256297026007687,1.5286992073902759,0.8174697970551819,0.1925048828125,0.5622694227430556,0.0,0.19596354166666669,25.202334518600047
cycle154_rank16_obj2,154.0,,,low_rank_dmd,0.01770781842060387,0.014711575116962194,0.033772483468055725,0.0911887176334858,0.08706454187631607,0.00259174857637845,0.0021302998065948486,0.029627018666360527,0.02870319504290819,0.0048726801833254285,0.003699002554640174,6.89363497699613,6.870220778830658,3.7559287212883046,3.7045403354251007,0.10744222005208333,0.6473320855034722,0.0,0.10042317708333333,24.21591877488176
cycle154_rank16_obj2,154.0,,,persistence,0.0011982445051899049,0.00020081387629033998,0.00886501744389534,0.01576957084762398,0.009447728283703327,0.00016964438589184283,6.991602276684716e-05,0.0071385065239155665,0.00601904047653079,0.00034392159341223305,9.912537643685937e-05,4.7017600885128585,3.0167420304445205,2.479004631834703,2.1738011780191915,0.10744222005208333,0.6473320855034722,0.0,0.10042317708333333,24.21591877488176
cycle154_rank16_obj2,154.0,,,velocity,0.002412850095652175,0.00015176200395217165,0.01730162836611271,0.02226795585011132,0.008915124461054802,0.0003653487278825196,0.00013174286868888885,0.011364752979716286,0.009071154985576868,0.0007110120022844058,0.00015257567429216579,3.872387507657842,1.1539083939492532,1.9299336298784224,0.991128582407288,0.10744222005208333,0.6473320855034722,0.0,0.10042317708333333,24.21591877488176
cycle154_rank16_obj3,154.0,,,low_rank_dmd,0.006347962269501295,0.004883998306468129,0.01672288589179516,0.04586700932122767,0.043934715911746025,0.0006964983958823723,0.0005853298935107887,0.01757976910448633,0.01751013658940792,0.002285364877025131,0.0019752782536670566,9.9854068563051,8.50511617540079,2.735555990729979,2.79281910168552,0.1834716796875,0.5713026258680556,0.0,0.1750217013888889,25.695102384455744
cycle154_rank16_obj3,154.0,,,persistence,0.00037531053271777637,8.13228871265892e-05,0.002858503721654415,0.009176633335300721,0.00618833233602345,6.901139613546547e-05,3.5452088923193514e-05,0.005531384464120492,0.0046301360707730055,0.00016283396905691916,5.269755274639465e-05,3.3428588721758272,2.261599463209581,1.7125739371614332,1.553959516101623,0.1834716796875,0.5713026258680556,0.0,0.1750217013888889,25.695102384455744
cycle154_rank16_obj3,154.0,,,velocity,0.0007443912406870368,0.00012039197099511512,0.005387232173234224,0.013810108954203315,0.008271922823041677,0.00015261254748111241,8.98734579095617e-05,0.008924523936002515,0.007458886131644249,0.0003476071749446419,0.00010986997949657962,3.110164908491152,1.3892686218063561,1.4801051405062293,1.1169693773621885,0.1834716796875,0.5713026258680556,0.0,0.1750217013888889,25.695102384455744
cycle155_rank19_obj1,155.0,,,low_rank_dmd,0.003285766821136349,0.002694556023925543,0.013936706818640232,0.031230780412442982,0.03003652486950159,0.0002492587002507207,0.00022238787641981617,0.011864631000207737,0.011405054945498705,0.0009262898138331366,0.0007615895592607558,12.097870008545508,9.993639551249355,3.3231090685318665,3.2165864326681164,0.2335747612847222,0.5211995442708334,0.0,0.23573133680555555,24.68876932888548
cycle155_rank19_obj1,155.0,,,persistence,0.001650704187568408,0.00010063031731988303,0.008440361358225346,0.018098208238370717,0.0069702561013400555,0.00014760514886802412,3.6371004171087407e-05,0.008046482907957397,0.004785002674907446,0.00048283863463893795,5.549888010136783e-05,6.169459033607971,2.8965807178429244,2.3079173420221193,1.8114542769977393,0.2335747612847222,0.5211995442708334,0.0,0.23573133680555555,24.68876932888548
cycle155_rank19_obj1,155.0,,,velocity,0.0035831675086228643,0.0017828895361162722,0.01575382798910141,0.02910720264480915,0.02575599867850542,0.00035945386207458796,0.00020452212629606947,0.013233102814410813,0.010942218825221062,0.001108737173353802,0.0006015618273522705,6.635112128071367,6.248084059183853,2.3706091296088108,2.49743353359971,0.2335747612847222,0.5211995442708334,0.0,0.23573133680555555,24.68876932888548
cycle155_rank19_obj2,155.0,,,low_rank_dmd,0.0048531400607316755,0.004265231546014547,0.010935722850263119,0.04393099853768945,0.04238623566925526,0.0005211528937252297,0.0005191825039219111,0.017123696918133646,0.01726253144443035,0.0014404110770556144,0.0013769963989034295,10.3527106624371,8.630054649229653,3.390491073340144,3.2537840824194886,0.201690673828125,0.5530836317274306,0.0,0.20128038194444445,24.25124544773909
cycle155_rank19_obj2,155.0,,,persistence,0.002525002090351336,0.00015665274258935824,0.014155980199575424,0.022301088072708808,0.00886903703212738,0.0003064283757794328,7.65292570577003e-05,0.011610066227149218,0.00689411535859108,0.0007742985933418822,0.00010393048069090582,4.388574940825581,2.056790251159927,2.0469508236133853,1.5167765093568417,0.201690673828125,0.5530836317274306,0.0,0.20128038194444445,24.25124544773909
cycle155_rank19_obj2,155.0,,,velocity,0.005182488499485771,0.0023766211234033108,0.023473339155316353,0.03535187160014175,0.030541996471583843,0.0007478764855477493,0.00046375284728128463,0.019118349708151072,0.01651209034025669,0.0017150976700577303,0.0009238627390004694,4.646738589813058,4.742412907189586,2.183239663500392,2.4879728958673635,0.201690673828125,0.5530836317274306,0.0,0.20128038194444445,24.25124544773909
