anchor_type,relative_cycle,feature,n,mean,median,std
event,2.0,particle_norm_range,4,0.1537052002360245,0.15552733523179146,0.09381341913033918
event,2.0,particle_norm_cv,4,0.06845564574239012,0.06475212241513965,0.04395792905663317
event,2.0,mean_delta_prev,4,0.0070695919597732,0.0028727006849842,0.045409917837960966
event,2.0,mean_abs_delta_prev,4,0.0470257221837399,0.0493945457810616,0.01859371678121259
event,2.0,max_abs_delta_prev,4,0.08469945355191247,0.08606557377049165,0.022980195346418444
event,2.0,delta_std_across_particles,4,0.040430431618704694,0.03482698881643445,0.02402654074341913
event,2.0,capacity_mAh,3,0.6958654083975433,0.6373127960633862,0.11166225938948972
event,2.0,coulombic_efficiency_pct,3,98.76845010286381,98.6439268464617,0.28651487506656187
event,2.0,V_max,3,4.267956999999999,4.201617,0.11624395733112322
event,2.0,n_frames,4,984.75,910.5,156.3508341305966
event,2.0,frames_percentile,4,0.34129213483146065,0.2584269662921348,0.30473320788665337
event,4.0,particle_norm_mean,2,0.9116064098617205,0.9116064098617205,0.09639815191210557
event,4.0,particle_norm_std,2,0.07378262241152685,0.07378262241152685,0.057682771166328375
event,4.0,particle_norm_range,2,0.17288283434669943,0.17288283434669943,0.138039927672873
event,4.0,particle_norm_cv,2,0.08475637416975595,0.08475637416975595,0.07223855414646861
event,4.0,mean_delta_prev,2,-0.01882247492239405,-0.01882247492239405,0.06030493942542579
event,4.0,mean_abs_delta_prev,2,0.042642031606762554,0.042642031606762554,0.026618999312677135
event,4.0,max_abs_delta_prev,2,0.059426229508196746,0.059426229508196746,0.031877764725622856
event,4.0,delta_std_across_particles,2,0.015496923179761802,0.015496923179761802,0.001725006011397598
event,4.0,capacity_mAh,2,0.6320035394762868,0.6320035394762868,0.008249380058751107
event,4.0,coulombic_efficiency_pct,2,98.85880380394887,98.85880380394887,0.006216237855411086
event,4.0,V_max,2,4.2013275,4.2013275,0.000955301261383412
event,4.0,n_frames,2,908.5,908.5,9.192388155425117
event,4.0,frames_percentile,2,0.2443820224719101,0.2443820224719101,0.11520279019331398
event,6.0,particle_norm_mean,2,0.9104190718078966,0.9104190718078966,0.02482692380672621
event,6.0,particle_norm_std,2,0.0964231983115348,0.0964231983115348,0.08210962470253196
event,6.0,particle_norm_range,2,0.2193366941173452,0.2193366941173452,0.18890738886444125
event,6.0,particle_norm_cv,2,0.1071803510310875,0.1071803510310875,0.09311160732037692
event,6.0,mean_delta_prev,2,-0.0011873380538238998,-0.0011873380538238998,0.07157122810537928
event,6.0,mean_abs_delta_prev,2,0.0506085007311629,0.0506085007311629,0.001679149578839435
event,6.0,max_abs_delta_prev,2,0.0842440801457195,0.0842440801457195,0.03799571957195472
event,6.0,delta_std_across_particles,2,0.0239911604868322,0.0239911604868322,0.025872260562108926
event,6.0,capacity_mAh,2,0.62974445605321,0.62974445605321,0.006259711931401774
event,6.0,coulombic_efficiency_pct,2,98.8773477284783,98.8773477284783,0.0590357873652322
event,6.0,V_max,2,4.2007484999999996,4.2007484999999996,0.0009553012613827839
event,6.0,n_frames,2,906.5,906.5,2.1213203435596424
event,6.0,frames_percentile,2,0.2275280898876404,0.2275280898876404,0.03575259005999398
event,7.0,particle_norm_mean,1,1.09372963647092,1.09372963647092,
event,7.0,particle_norm_std,1,0.0469657252902729,0.0469657252902729,
event,7.0,particle_norm_range,1,0.1106557377049179,0.1106557377049179,
event,7.0,particle_norm_cv,1,0.0429408911710711,0.0429408911710711,
event,7.0,mean_delta_prev,1,0.0617316375484235,0.0617316375484235,
event,7.0,mean_abs_delta_prev,1,0.0895094153262013,0.0895094153262013,
event,7.0,max_abs_delta_prev,1,0.1098591549295776,0.1098591549295776,
event,7.0,delta_std_across_particles,1,0.0788966221696315,0.0788966221696315,
event,7.0,capacity_mAh,1,0.8194850102914072,0.8194850102914072,
event,7.0,coulombic_efficiency_pct,1,98.60063143716702,98.60063143716702,
event,7.0,V_max,1,4.400058,4.400058,
event,7.0,n_frames,1,1189.0,1189.0,
event,7.0,frames_percentile,1,0.7415730337078652,0.7415730337078652,
event,8.0,particle_norm_mean,3,0.956279235827839,0.9191798789091562,0.06557877668022506
event,8.0,particle_norm_std,3,0.08860007128414077,0.0970356789931661,0.05313521172378813
event,8.0,particle_norm_range,3,0.20522161505768058,0.2240437158469945,0.12538103984408017
event,8.0,particle_norm_cv,3,0.09256253490664317,0.0940270030508591,0.05724366861890603
event,8.0,mean_delta_prev,3,-0.015243357534398866,-0.0103145283357705,0.04423031476266564
event,8.0,mean_abs_delta_prev,3,0.051305938240249004,0.0380923061135483,0.03360504490790104
