anchor_feature,mechanism_feature,n,spearman_rho,spearman_p,source_residual_spearman_rho,source_residual_spearman_p,mechanism_source_eta2
exact_optical_loss_score,persistence_particle_mse_fraction_of_full_mean,72,0.17451283040710017,0.14260712638733036,0.15222843912791822,0.20176147003346784,0.49127687773101847
exact_optical_loss_score,diffusion_physics_gate_count,72,-0.13971273756242683,0.2417977201728546,0.23811984668173353,0.04398588361436942,0.2784188034188035
exact_optical_loss_score,front_contraction_score,72,-0.13608592192423952,0.25435715797761527,-0.3981284970094541,0.0005332530397802695,0.07032076562599937
exact_optical_loss_score,positive_D_fraction,72,-0.12613162718425144,0.29108034126581384,0.3125702656391739,0.007513934493636374,0.15238257400695676
exact_optical_loss_score,negative_D_fraction,72,0.12613162718425144,0.29108034126581384,-0.3114018208264962,0.007752967252794897,0.1523825740069568
exact_optical_loss_score,object_mean_abs_z,72,0.12367354813814393,0.30066019766718494,0.07016528394108948,0.5580940369376811,0.18735935660413516
exact_optical_loss_score,persistence_particle_to_nonparticle_mse_ratio_mean,72,0.11383368705382983,0.3410434664475557,0.2546144446588205,0.03089891095227963,0.3177135880068295
exact_optical_loss_score,low_rank_dmd_particle_mse_fraction_of_full_mean,72,0.10785259502218794,0.3671752284394328,-0.15766287221043154,0.18593857512225376,0.19912030712018058
exact_optical_loss_score,state_step_norm,72,-0.09499906289728721,0.42732146131041754,-0.05935878005987676,0.6203897896737034,0.09922795337385493
exact_optical_loss_score,low_rank_dmd_particle_to_nonparticle_mse_ratio_mean,72,-0.09328574184835038,0.4357416895993999,-0.03678693163547495,0.7590045235528257,0.11844193941802596
exact_optical_loss_score,frames_percentile,72,0.07185980994223166,0.5486025600032571,-0.4814162846145273,1.8601187036571645e-05,0.9931670133396445
exact_optical_loss_score,roi_norm_mean_delta_last_minus_first,72,-0.05421570519004438,0.6510405323653051,0.15888481574377777,0.18250788904403728,0.5665204642804436
exact_optical_loss_score,axis_step,72,0.04798225026417861,0.6889738835678341,0.0357507240947424,0.7655954613401448,0.1399828220065162
exact_optical_loss_score,threshold_sensitivity_iqr_over_median_abs,72,-0.04054923146183036,0.7352207479809454,-0.016914271014213136,0.8878537067739243,0.09961398275241223
exact_optical_loss_score,median_abs_apparent_D_um2_per_s,72,0.03749437262846486,0.7545145371001187,0.16920702295967588,0.15534299858718256,0.4074724516460082
exact_optical_loss_score,threshold_robust_diffusion_score,72,-0.03348208980124864,0.7800829156330049,-0.11310591077948322,0.3441593635412186,0.09585626402405104
exact_optical_loss_score,stage_drift_xy_sampled,72,0.0331444574453396,0.7822455643022918,0.03371152342124673,0.7786142646589053,0.40007092213327305
exact_optical_loss_score,threshold_robust_phase_score,72,0.03256648085677014,0.7859515154985491,0.1021505810195804,0.39319187678895545,0.1422063197573402
exact_optical_loss_score,object_mean_residual,72,-0.02585375265290373,0.8293206329890074,0.1129654640169786,0.344762711461599,0.21511721966788822
exact_optical_loss_score,diffusion_guardrail_score,72,0.011383368705382986,0.9243913582281722,-0.16531609749823145,0.16520623183838654,0.05329567208691489
exact_optical_loss_score,rollout_residual_score,72,0.009646922631680495,0.9358983805763569,-0.18206958646858323,0.1258439022161604,0.18296124426744398
particle_vs_context_mean_diff_positive_fraction,exact_low_context_change_score,172,-1.0,0.0,-0.9999893743687338,0.0,0.3165546893158413
particle_vs_context_mean_diff_positive_fraction,exact_optical_loss_score,172,-0.6666034966873393,1.8473098980673776e-23,-0.6930033438487285,6.094307279480305e-26,0.5127858096758277
particle_vs_context_mean_diff_positive_fraction,particle_std_diff_positive_fraction,172,0.5502561586221298,5.323742235274226e-15,0.4476754252388506,7.39832912562037e-10,0.19009184138361196
particle_vs_context_mean_diff_positive_fraction,stage_drift_xy_sampled,72,-0.2584982213326347,0.028346880477341255,-0.11441937863217659,0.3385487672203386,0.40007092213327305
