roi_id,context_role,cycleNo,source_stem,cohort_role,validation_score,threshold_quantile,central_radius_fraction,baseline_fraction,baseline_frames,time_window,n_fit,timing_source,median_dt_s,threshold_value,phase_fraction_first,phase_fraction_last,phase_fraction_delta,phase_fraction_slope_per_s,phase_fraction_slope_r2,radius2_slope_px2_per_s,radius2_slope_r2,apparent_D_um2_per_s,radius2_slope_bootstrap_p05_px2_per_s,radius2_slope_bootstrap_p50_px2_per_s,radius2_slope_bootstrap_p95_px2_per_s,apparent_D_bootstrap_p05_um2_per_s,apparent_D_bootstrap_p50_um2_per_s,apparent_D_bootstrap_p95_um2_per_s,positive_ci,n_bootstrap_slopes,centroid_path_px,centroid_net_px,npz_path
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.2,19,middle70,67,camera_timing,100.10614497999995,0.06705174446105956,0.4096622152395915,0.4399057344854674,0.03024351924587587,3.81363856737563e-06,0.06077293881276502,0.0010890194439196956,0.19863664642359813,2.509100798790979e-06,-0.0004320053472323737,0.0008510436275163161,0.002240487567180786,-9.95340320023389e-07,1.9608045177975926e-06,5.162083354784531e-06,False,200,10.23688624693208,0.5147035469538787,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.42,0.2,19,late70,67,camera_timing,100.10614497999995,0.06705174446105956,0.4603299293008641,0.37549096622152395,-0.08483896307934014,-1.5769419008826934e-05,0.651533968115625,-0.0027341279419908484,0.4963927738970686,-6.299430778346915e-06,-0.003906231349544189,-0.00220554643010278,-0.0005498342839396769,-8.999957029349813e-06,-5.081578974956805e-06,-1.2668181901970156e-06,False,200,10.795091103302857,1.1383316063065574,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.1,10,full,96,camera_timing,100.10614497999995,0.06370250135660172,0.3911024565608149,0.39095266626722586,-0.00014979029358902496,2.010795191466166e-06,0.021353150737973947,0.0003429178507453103,0.08348087864779552,7.900827281171949e-07,-5.4446402314901635e-05,0.00030992142712564605,0.0006582668115224336,-1.2544451093353337e-07,7.140589680974885e-07,1.516646733747687e-06,False,200,17.48943134263864,0.2214509920932836,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.1,10,early70,67,camera_timing,100.10614497999995,0.06370250135660172,0.3911024565608149,0.47468544038346316,0.08358298382264828,1.8558558800594814e-05,0.7866030312856231,0.0007930314001177266,0.22435137100098812,1.8271443458712423e-06,-7.772934515412592e-05,0.0007512340556344462,0.0015413724330276511,-1.7908841123510612e-07,1.730843264181764e-06,3.551322085695708e-06,False,200,11.154650072574993,1.9502847051319097,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.1,10,middle70,67,camera_timing,100.10614497999995,0.06370250135660172,0.42091072498502097,0.44173157579388855,0.020820850808867586,3.299318774926971e-06,0.0543673925526712,4.722989852895291e-05,0.0015629157392614834,1.088176862107075e-07,-0.00032589894442316606,2.3928639873758646e-05,0.0002688268920493803,-7.508711679509746e-07,5.513158626913992e-08,6.193771592817722e-07,False,200,12.255586844802343,0.6595333756171535,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.1,10,late70,67,camera_timing,100.10614497999995,0.06370250135660172,0.46494907130017976,0.39095266626722586,-0.0739964050329539,-1.4460912300127938e-05,0.653640127407648,-0.0003591855625159561,0.06065232599268555,-8.275635360367629e-07,-0.0005246932157480545,-0.00018249050491898054,0.00016832794419953018,-1.2088931690835177e-06,-4.2045812333333114e-07,3.878275834357175e-07,False,200,13.18374290284374,1.4642218465256374,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.125,12,full,96,camera_timing,100.10614497999995,0.0640135496854782,0.38870581186339126,0.38825644098262435,-0.00044937088076690834,1.991854207683128e-06,0.020988668512018416,0.00034455127641438575,0.0817504594210191,7.938461408587448e-07,-0.00013851359681062454,0.0003405100160223416,0.0006450083088053067,-3.1913532705167894e-07,7.84535076915475e-07,1.4860991434874266e-06,False,200,17.77577968337315,0.20798327868690977,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.125,12,early70,67,camera_timing,100.10614497999995,0.0640135496854782,0.38870581186339126,0.4731875374475734,0.08448172558418215,1.8546046390544497e-05,0.7867414177270466,0.000788015346749263,0.20790019728633757,1.815587358910302e-06,-0.00014403440568048855,0.0006969790342928441,0.0016377729520211718,-3.318552706878456e-07,1.6058396950107129e-06,3.7734288814567797e-06,False,200,11.583001268059359,1.9755032732162758,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.125,12,middle70,67,camera_timing,100.10614497999995,0.0640135496854782,0.41791491911324147,0.43918514080287596,0.021270221689634494,3.244091445388687e-06,0.05245462423750358,1.0415343305237743e-05,7.745460678632021e-05,2.399695097526776e-08,-0.0003671315741471992,-3.652261295733005e-05,0.00024683143038138795,-8.45871146835147e-07,-8.414810025368843e-08,5.686996155987179e-07,False,200,12.503281618392997,0.611216479016882,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
cycle76_rank8_obj2,same_source_prev_cycle_same_object_rank,76.0,9_c2_x10_010723,future8_negative,25.083032624261563,0.6,0.48,0.125,12,late70,67,camera_timing,100.10614497999995,0.0640135496854782,0.463151587777112,0.38825644098262435,-0.07489514679448767,-1.4476790947296355e-05,0.6547831202138336,-0.00036010416891742506,0.06377725212168761,-8.296800051857473e-07,-0.0005537288394625715,-0.0002396376738683175,0.000115793855310424,-1.2757912461217647e-06,-5.521252005926035e-07,2.667890426352169e-07,False,200,13.30922287348955,1.4900069583991336,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle76_rank8_obj2.npz
