feature,timebase_feature,n,spearman_rho,p_value,abs_rho
abs_radial_flow_mean,strict_timebase_fraction,72,-0.08567393919662425,0.4742620201562185,0.08567393919662425
abs_radial_flow_mean,h5_dt_max_to_median_ratio,72,0.08366366044015489,0.48473224051225694,0.08366366044015489
curl_q90,h5_dt_max_to_median_ratio,72,0.08272289031500386,0.4896738491564006,0.08272289031500386
front_consensus_score,h5_dt_max_to_median_ratio,38,0.08077060693128733,0.6297634212227813,0.08077060693128733
particle_flow_mag_mean_source_residual,strict_timebase_fraction,72,0.08031931799683524,0.5024186604288408,0.08031931799683524
abs_radial_flow_mean_source_residual,h5_dt_max_to_median_ratio,72,-0.07866784667211153,0.511273919384995,0.07866784667211153
abs_radial_flow_mean_source_residual,roi_elapsed_to_h5_max_abs_error,72,0.07795415899096247,0.5151252682488484,0.07795415899096247
abs_radial_flow_q90,strict_timebase_fraction,72,-0.07764200739694073,0.5168143866808923,0.07764200739694073
curl_mean_source_residual,strict_timebase_fraction,72,0.07764200739694073,0.5168143866808923,0.07764200739694073
abs_radial_flow_q90,h5_dt_max_to_median_ratio,72,0.07441816093436034,0.534422013475023,0.07441816093436034
observable_prefix_front_radius2_q70_slope,h5_dt_max_to_median_ratio,72,0.06877354018345419,0.5659475227690662,0.06877354018345419
transport_mechanism_score,strict_timebase_fraction,72,0.0669327649973627,0.5764138781789917,0.0669327649973627
observable_tail_score,strict_timebase_fraction,72,-0.0669327649973627,0.5764138781789917,0.0669327649973627
particle_flow_mag_mean_source_residual,h5_dt_max_to_median_ratio,72,-0.06153934232453426,0.6075828023688977,0.06153934232453426
curl_mean_source_residual,h5_dt_max_to_median_ratio,72,-0.061247379182246,0.6092908722867824,0.061247379182246
transport_source_residual_score,roi_elapsed_to_h5_max_abs_error,72,0.06079321429424206,0.6119520135513229,0.06079321429424206
radial_flow_q90,roi_elapsed_to_h5_max_abs_error,72,0.06020928800966556,0.6153808525439626,0.06020928800966556
front_consensus_score,strict_timebase_fraction,38,-0.05550360474305853,0.7406648682006015,0.05550360474305853
observable_prefix_front_radius_q70_slope,h5_dt_max_to_median_ratio,72,0.053429255038749554,0.6557804580003509,0.053429255038749554
kinetic_evidence_score,h5_dt_max_to_median_ratio,72,-0.04629237822725903,0.6993956995752822,0.04629237822725903
curl_mean_source_residual,roi_elapsed_to_h5_max_abs_error,72,0.037241520816323315,0.7561184137051109,0.037241520816323315
qc_review_score,strict_timebase_fraction,72,-0.03614369309857585,0.7630939458420245,0.03614369309857585
observable_tail_particle_minus_background_delta,strict_timebase_fraction,72,0.0348050377986286,0.7716251653460998,0.0348050377986286
context_fraction,roi_elapsed_to_h5_max_abs_error,72,-0.03140251041956344,0.7934291631368655,0.03140251041956344
mask_fraction,roi_elapsed_to_h5_max_abs_error,72,0.028482855525182548,0.8122663093602764,0.028482855525182548
particle_flow_mag_mean_source_residual,roi_elapsed_to_h5_max_abs_error,72,0.02338949173220305,0.845377594460276,0.02338949173220305
observable_tail_particle_mean_delta,roi_elapsed_to_h5_max_abs_error,72,-0.022773125098483418,0.8494039128057799,0.022773125098483418
curl_q90_source_residual,roi_elapsed_to_h5_max_abs_error,72,-0.02115110764132648,0.8600176075907204,0.02115110764132648
observable_tail_particle_minus_background_delta,roi_elapsed_to_h5_max_abs_error,72,-0.019983255072173488,0.8676749310713573,0.019983255072173488
abs_radial_flow_q90_source_residual,roi_elapsed_to_h5_max_abs_error,72,-0.016025532476710555,0.8937111110894084,0.016025532476710555
front_kinetic_concordance_score,h5_dt_max_to_median_ratio,61,0.01577436469535275,0.903960017765705,0.01577436469535275
observable_tail_contrast_delta,h5_dt_max_to_median_ratio,72,0.015668688636136026,0.8960645745795756,0.015668688636136026
apparent_transport_instability_score_source_residual,roi_elapsed_to_h5_max_abs_error,72,-0.011678525691529959,0.9224368946426978,0.011678525691529959
transport_mechanism_score,h5_dt_max_to_median_ratio,72,-0.004606529578325706,0.9693657317820118,0.004606529578325706
front_kinetic_score,h5_dt_max_to_median_ratio,72,0.0006488069828627755,0.9956842972344419,0.0006488069828627755
