embedding_row_id,roi_id,cycleNo,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,signed_optical_loss_axis,front_contraction_axis,rollout_difficulty_axis,echem_degraded_state_axis,combined_loss_mechanism_axis
transfer_ranked::cycle152_rank5_obj4,cycle152_rank5_obj4,152.0,17_c2_x10_HighHighCOV_150723,,,0.6510978442959833,-0.3034650012590924,0.5979236562970551,0.5785426465389021,0.38102478646821203
transfer_ranked::cycle152_rank5_obj2,cycle152_rank5_obj2,152.0,17_c2_x10_HighHighCOV_150723,,,0.05116707109951374,-0.3034650012590924,0.5979236562970551,0.5785426465389021,0.23104209316909463
transfer_ranked::cycle153_rank7_obj3,cycle153_rank7_obj3,153.0,17_c2_x10_HighHighCOV_150723,,,0.026977292477592108,-1.1637066505902802,0.5582842224759216,0.7080423004735099,0.03239929120918586
transfer_ranked::cycle153_rank7_obj1,cycle153_rank7_obj1,153.0,17_c2_x10_HighHighCOV_150723,,,0.29860360995673296,-1.1637066505902802,0.5582842224759216,0.7080423004735099,0.10030587057897106
transfer_ranked::cycle153_rank7_obj2,cycle153_rank7_obj2,153.0,17_c2_x10_HighHighCOV_150723,,,0.4763240821630075,-1.1637066505902802,0.5582842224759216,0.7080423004735099,0.14473598863053969
transfer_ranked::cycle153_rank7_obj4,cycle153_rank7_obj4,153.0,17_c2_x10_HighHighCOV_150723,,,0.29159727183503764,-1.1637066505902802,0.5582842224759216,0.7080423004735099,0.09855428604854724
transfer_ranked::cycle154_rank6_obj3,cycle154_rank6_obj3,154.0,17_c2_x10_HighHighCOV_150723,,,0.9784312503785165,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.4398864765451884
transfer_ranked::cycle154_rank6_obj1,cycle154_rank6_obj1,154.0,17_c2_x10_HighHighCOV_150723,,,0.6701000869185583,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.36280368568019883
transfer_ranked::cycle154_rank6_obj4,cycle154_rank6_obj4,154.0,17_c2_x10_HighHighCOV_150723,,,0.5517243443251468,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.33320975003184594
transfer_ranked::cycle154_rank6_obj2,cycle154_rank6_obj2,154.0,17_c2_x10_HighHighCOV_150723,,,1.3284344398309453,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.5273872739082957
transfer_ranked::cycle155_rank10_obj1,cycle155_rank10_obj1,155.0,17_c2_x10_HighHighCOV_150723,,,-0.6720363539678257,-0.37299159142125454,0.5059501613294347,0.8624372884793599,0.08083987610492857
transfer_ranked::cycle155_rank10_obj2,cycle155_rank10_obj2,155.0,17_c2_x10_HighHighCOV_150723,,,-0.7561124114281634,-0.37299159142125454,0.5059501613294347,0.8624372884793599,0.05982086173984416
transfer_ranked::cycle155_rank10_obj3,cycle155_rank10_obj3,155.0,17_c2_x10_HighHighCOV_150723,,,0.3563267667597456,-0.37299159142125454,0.5059501613294347,0.8624372884793599,0.3379306562868214
transfer_ranked::cycle155_rank10_obj4,cycle155_rank10_obj4,155.0,17_c2_x10_HighHighCOV_150723,,,0.05991683532774477,-0.37299159142125454,0.5059501613294347,0.8624372884793599,0.2638281734288212
transfer_ranked::cycle156_rank3_obj1,cycle156_rank3_obj1,156.0,18_c2_xN_HighHighCOV_170723,,,-4.350685000266647,,,-0.610469647741969,-2.4805773240043076
transfer_ranked::cycle156_rank3_obj2,cycle156_rank3_obj2,156.0,18_c2_xN_HighHighCOV_170723,,,-4.631335899535374,,,-0.610469647741969,-2.6209027736386714
transfer_ranked::cycle156_rank3_obj3,cycle156_rank3_obj3,156.0,18_c2_xN_HighHighCOV_170723,,,-4.1553650249875185,,,-0.610469647741969,-2.3829173363647436
transfer_ranked::cycle156_rank3_obj4,cycle156_rank3_obj4,156.0,18_c2_xN_HighHighCOV_170723,,,-4.801997747514568,,,-0.610469647741969,-2.706233697628268
balanced_future::cycle40_rank2_obj3,cycle40_rank2_obj3,40.0,5_c2_x10_260623,0.0,0.0,0.25944365492425264,-0.8431770159507443,-0.19188174292322527,-0.5976580465788877,-0.3433182876321511
balanced_future::cycle40_rank2_obj1,cycle40_rank2_obj1,40.0,5_c2_x10_260623,0.0,0.0,-0.1483356809794638,-0.8431770159507443,-0.19188174292322527,-0.5976580465788877,-0.4452631216080803
balanced_future::cycle40_rank2_obj2,cycle40_rank2_obj2,40.0,5_c2_x10_260623,0.0,0.0,0.10629765224929665,-0.8431770159507443,-0.19188174292322527,-0.5976580465788877,-0.3816047883008902
balanced_future::cycle44_rank4_obj1,cycle44_rank4_obj1,44.0,5_c2_x10_260623,0.0,1.0,0.031892056036256,0.35729648996650615,-0.1509173788039025,0.7216347400222091,0.23997647680526718
balanced_future::cycle44_rank4_obj3,cycle44_rank4_obj3,44.0,5_c2_x10_260623,0.0,1.0,0.5533936711540518,0.35729648996650615,-0.1509173788039025,0.7216347400222091,0.37035188058471613
balanced_future::cycle44_rank4_obj2,cycle44_rank4_obj2,44.0,5_c2_x10_260623,0.0,1.0,-0.10708441207915496,0.35729648996650615,-0.1509173788039025,0.7216347400222091,0.20523235977641444
balanced_future::cycle76_rank8_obj1,cycle76_rank8_obj1,76.0,9_c2_x10_010723,0.0,1.0,-0.42459378904001593,-0.06243371229537228,-0.47127029483902116,0.15339675839781047,-0.2012252594441497
balanced_future::cycle76_rank8_obj3,cycle76_rank8_obj3,76.0,9_c2_x10_010723,0.0,1.0,0.1805133085896462,-0.06243371229537228,-0.47127029483902116,0.15339675839781047,-0.0499484850367342
balanced_future::cycle76_rank8_obj2,cycle76_rank8_obj2,76.0,9_c2_x10_010723,0.0,1.0,0.7922607416033002,-0.06243371229537228,-0.47127029483902116,0.15339675839781047,0.1029883732166793
balanced_future::cycle78_rank22_obj1,cycle78_rank22_obj1,78.0,9_c2_x10_010723,1.0,1.0,-0.49751775230721346,0.13703072812755251,-1.0548240217089409,0.10892110596211274,-0.3265974849816223
balanced_future::cycle78_rank22_obj2,cycle78_rank22_obj2,78.0,9_c2_x10_010723,1.0,1.0,0.4546122267678858,0.13703072812755251,-1.0548240217089409,0.10892110596211274,-0.08856499021284746
balanced_future::cycle78_rank22_obj3,cycle78_rank22_obj3,78.0,9_c2_x10_010723,1.0,1.0,-0.0014271844069085327,0.13703072812755251,-1.0548240217089409,0.10892110596211274,-0.20257484300654605
balanced_future::cycle84_rank23_obj3,cycle84_rank23_obj3,84.0,9_c2_x10_010723,1.0,1.0,-0.056597000189239764,0.1911243521927546,-0.5129076413270349,0.4538646395371679,0.01887108755341195
balanced_future::cycle84_rank23_obj2,cycle84_rank23_obj2,84.0,9_c2_x10_010723,1.0,1.0,-0.44361875225480013,0.1911243521927546,-0.5129076413270349,0.4538646395371679,-0.07788435046297816
balanced_future::cycle84_rank23_obj1,cycle84_rank23_obj1,84.0,9_c2_x10_010723,1.0,1.0,-0.7817007096792724,0.1911243521927546,-0.5129076413270349,0.4538646395371679,-0.1624048398190962
balanced_future::cycle104_rank6_obj3,cycle104_rank6_obj3,104.0,11_c2_x10_050723,0.0,1.0,0.43522585473329617,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.3347600186569811
balanced_future::cycle104_rank6_obj2,cycle104_rank6_obj2,104.0,11_c2_x10_050723,0.0,1.0,0.9428716519238591,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.46167146795462183
balanced_future::cycle104_rank6_obj1,cycle104_rank6_obj1,104.0,11_c2_x10_050723,0.0,1.0,0.27543951667434646,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.29481343414224365
balanced_future::cycle108_rank21_obj3,cycle108_rank21_obj3,108.0,12_c2_x10_070723,1.0,1.0,0.057391129672858136,0.11060106771288436,-0.2141626830272918,0.7600707620887577,0.1784750691118021
balanced_future::cycle108_rank21_obj1,cycle108_rank21_obj1,108.0,12_c2_x10_070723,1.0,1.0,-0.7244430041607446,0.11060106771288436,-0.2141626830272918,0.7600707620887577,-0.016983464346598587
balanced_future::cycle108_rank21_obj2,cycle108_rank21_obj2,108.0,12_c2_x10_070723,1.0,1.0,-0.6587716557962051,0.11060106771288436,-0.2141626830272918,0.7600707620887577,-0.0005656272554637187
balanced_future::cycle110_rank24_obj1,cycle110_rank24_obj1,110.0,12_c2_x10_070723,1.0,1.0,1.292290539803685,0.2105880846254095,-0.09178801633859074,-0.14614089443003425,0.3162374284151174
balanced_future::cycle110_rank24_obj3,cycle110_rank24_obj3,110.0,12_c2_x10_070723,1.0,1.0,1.2619123125745448,0.2105880846254095,-0.09178801633859074,-0.14614089443003425,0.3086428716078324
balanced_future::cycle110_rank24_obj2,cycle110_rank24_obj2,110.0,12_c2_x10_070723,1.0,1.0,0.45362140941573453,0.2105880846254095,-0.09178801633859074,-0.14614089443003425,0.10657014581812978
balanced_future::cycle129_rank7_obj1,cycle129_rank7_obj1,129.0,14_c2_x10_HighCOV_110723,0.0,0.0,-0.1501592040250905,0.09851482633039836,-0.30573131857697333,-0.6365876856295997,-0.2484908454753163
balanced_future::cycle129_rank7_obj2,cycle129_rank7_obj2,129.0,14_c2_x10_HighCOV_110723,0.0,0.0,-0.13342765030163944,0.09851482633039836,-0.30573131857697333,-0.6365876856295997,-0.24430795704445352
balanced_future::cycle129_rank7_obj3,cycle129_rank7_obj3,129.0,14_c2_x10_HighCOV_110723,0.0,0.0,0.04643655222545138,0.09851482633039836,-0.30573131857697333,-0.6365876856295997,-0.19934190641268082
balanced_future::cycle131_rank5_obj1,cycle131_rank5_obj1,131.0,15_c2_x5_HighCOV_120723,0.0,0.0,-1.5780207735153564,0.6900595041445794,0.10245632571020682,-1.0178709322980464,-0.4508439689896542
balanced_future::cycle131_rank5_obj3,cycle131_rank5_obj3,131.0,15_c2_x5_HighCOV_120723,0.0,0.0,-1.4560372896503264,0.6900595041445794,0.10245632571020682,-1.0178709322980464,-0.4203480980233967
