cycleNo,pre_event_sampling_rank,event_relative_bin,selection_reason,sampling_priority,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,downsample,n_candidates,overlay_png
4,32,no_near_event_control,no_near_event_control,0.4736373551134674,56.0,,False,0,0,0,0,0,2_c2_x14_200623,11,14,13648,10723,11698,10723,11697,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_4_pre32_2_c2_x14_200623_local11.png
8,33,no_near_event_control,source_fill,0.46102982356712646,52.0,,False,0,0,0,0,0,2_c2_x14_200623,3,14,13648,2924,3899,2924,3898,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_8_pre33_2_c2_x14_200623_local3.png
10,34,no_near_event_control,source_fill,0.11126427117564457,50.0,,True,0,0,0,0,0,2_c2_x14_200623,5,14,13648,4874,5849,4874,5848,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_10_pre34_2_c2_x14_200623_local5.png
14,35,no_near_event_control,source_fill,0.4626222466516296,46.0,,False,0,0,0,0,0,2_c2_x14_200623,9,14,13648,8773,9748,8773,9747,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_14_pre35_2_c2_x14_200623_local9.png
26,36,no_near_event_control,no_near_event_control,0.12105401256590786,34.0,,True,0,0,0,0,0,4_c2_x10_240623,1,10,9365,936,1873,936,1872,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_26_pre36_4_c2_x10_240623_local1.png
28,37,far_pre_event_17_32,source_fill,0.5872283043380928,32.0,,True,0,0,1,0,0,4_c2_x10_240623,3,10,9365,2809,3746,2809,3745,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_28_pre37_4_c2_x10_240623_local3.png
30,38,far_pre_event_17_32,source_fill,0.5919856177881744,30.0,,True,0,0,1,0,0,4_c2_x10_240623,5,10,9365,4682,5619,4682,5618,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_30_pre38_4_c2_x10_240623_local5.png
32,39,far_pre_event_17_32,far_pre_event_17_32,0.957374777790325,28.0,,False,0,0,1,0,0,4_c2_x10_240623,7,10,9365,6555,7492,6555,7491,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_32_pre39_4_c2_x10_240623_local7.png
34,40,far_pre_event_17_32,source_fill,0.604153386657746,26.0,,True,0,0,1,0,0,4_c2_x10_240623,9,10,9365,8428,9365,8428,9364,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_34_pre40_4_c2_x10_240623_local9.png
36,41,far_pre_event_17_32,source_fill,0.5777368713634814,24.0,,True,0,0,1,0,0,5_c2_x10_260623,1,10,9279,927,1855,927,1854,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_36_pre41_5_c2_x10_260623_local1.png
