cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,pre_event_sampling_rank,object_candidate_rank,validation_score,validation_label,cohort_role,event_relative_bin,selection_reason,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
134,15_c2_x5_HighCOV_120723,3,20,20,2,23.259392703729432,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,far_pre_event_17_32,far_pre_event_17_32,22.0,18.0,True,0,0,1,0,0,841.1111111111111,76.88888888888889,210.27777777777777,19.22222222222222,54,11074.1396484375,24.12325096130371,3715,4954,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_134_pre20_15_c2_x5_HighCOV_120723_local3.png
134,15_c2_x5_HighCOV_120723,3,20,20,1,22.391315094010146,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,far_pre_event_17_32,far_pre_event_17_32,22.0,18.0,True,0,0,1,0,0,1347.0588235294117,182.6143790849673,336.7647058823529,45.65359477124183,153,6119.85302734375,15.798474311828613,3715,4954,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_134_pre20_15_c2_x5_HighCOV_120723_local3.png
138,16_c2_x10_HighHighCOV_130723,2,21,21,2,24.86610668554298,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,far_pre_event_17_32,far_pre_event_17_32,18.0,22.0,False,0,0,1,0,0,1206.054054054054,664.5405405405405,301.5135135135135,166.13513513513513,37,12206.0830078125,30.24663543701172,2449,3673,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_138_pre21_16_c2_x10_HighHighCOV_130723_local2.png
138,16_c2_x10_HighHighCOV_130723,2,21,21,1,24.33474529346656,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,far_pre_event_17_32,far_pre_event_17_32,18.0,22.0,False,0,0,1,0,0,847.0588235294117,79.13725490196079,211.76470588235293,19.784313725490197,51,10904.58203125,27.061635971069336,2449,3673,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_138_pre21_16_c2_x10_HighHighCOV_130723_local2.png
141,16_c2_x10_HighHighCOV_130723,5,22,22,2,23.67298336351326,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,mid_pre_event_9_16,15.0,25.0,False,0,1,1,0,0,842.8852459016393,79.27868852459017,210.72131147540983,19.81967213114754,61,9830.7763671875,23.430866241455078,6122,7347,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_141_pre22_16_c2_x10_HighHighCOV_130723_local5.png
141,16_c2_x10_HighHighCOV_130723,5,22,22,1,23.262612450305785,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,mid_pre_event_9_16,15.0,25.0,False,0,1,1,0,0,1198.2117647058824,1103.2470588235294,299.5529411764706,275.81176470588235,85,8594.083984375,20.401777267456055,6122,7347,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_141_pre22_16_c2_x10_HighHighCOV_130723_local5.png
143,16_c2_x10_HighHighCOV_130723,7,23,23,2,23.07739042520344,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,source_fill,13.0,27.0,True,0,1,1,0,0,846.1639344262295,80.72131147540983,211.54098360655738,20.18032786885246,61,9666.115234375,22.57683753967285,8571,9796,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_143_pre23_16_c2_x10_HighHighCOV_130723_local7.png
143,16_c2_x10_HighHighCOV_130723,7,23,23,1,22.54593594651929,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,source_fill,13.0,27.0,True,0,1,1,0,0,1200.5333333333333,1102.6222222222223,300.1333333333333,275.65555555555557,90,8149.2685546875,18.89762306213379,8571,9796,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_143_pre23_16_c2_x10_HighHighCOV_130723_local7.png
144,16_c2_x10_HighHighCOV_130723,8,24,24,1,22.590976176723345,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,source_fill,12.0,28.0,True,0,1,1,0,0,1349.6830601092897,182.8415300546448,337.42076502732243,45.7103825136612,183,4845.72216796875,14.803238868713379,9796,11020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_144_pre24_16_c2_x10_HighHighCOV_130723_local8.png
144,16_c2_x10_HighHighCOV_130723,8,24,24,2,22.264233340993478,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,source_fill,12.0,28.0,True,0,1,1,0,0,1199.6043956043957,1099.956043956044,299.9010989010989,274.989010989011,91,7784.32568359375,18.023408889770508,9796,11020,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_144_pre24_16_c2_x10_HighHighCOV_130723_local8.png
145,16_c2_x10_HighHighCOV_130723,9,25,25,2,22.740223140392278,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,mid_pre_event_9_16,source_fill,11.0,29.0,True,0,1,1,0,0,848.375,82.875,212.09375,20.71875,64,8952.8564453125,21.39645004272461,11020,12245,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_145_pre25_16_c2_x10_HighHighCOV_130723_local9.png
