roi_id,cycleNo,source_stem,event_relative_bin,near_pre_flag,future_any_drop_within_8cycles,future_any_drop_within_16cycles,n_frames,history_mask_area_px,manifest_object_area_px,median_history_iou,q10_history_iou,min_history_iou,centroid_jitter_median_px,centroid_jitter_q90_px,blur_ratio_median,blur_ratio_q10,fallback_frame_fraction,fallback_frame_count,history_area_to_manifest_area,transport_mechanism_score,qc_review_score,front_kinetic_score,fallback_frame_fraction_source_residual,centroid_jitter_q90_px_source_residual,blur_ratio_q10_source_residual,median_history_iou_source_residual
source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,1,1.0,1.0,96,137,137.0,0.8896551724137931,0.8206181015452538,0.8026315789473685,0.30691673053472407,0.6007429843517323,0.7237998593453023,0.5813525384688687,0.3958333333333333,38,1.0,0.6032133014765372,0.6083333333333333,0.5722542475728155,0.015625,-0.07198168352513801,0.06975453145987598,0.019593941347083477
source_balanced_cycle54_rank50_obj1_6_c2_x10_270623_2,54.0,6_c2_x10_270623_2,near_pre_event_1_8,1,1.0,1.0,96,100,98.0,0.8504672897196262,0.7068965517241379,0.6779661016949152,0.3926439920035454,1.009179588964732,0.6606613473556484,0.5639554228551198,0.46875,45,1.0204081632653061,0.5922244766383495,0.44609375,0.537257281553398,0.08854166666666669,0.33645492108786157,0.052357415846127076,-0.019593941347083477
source_balanced_cycle70_rank57_obj2_8_c2_x10_300623,70.0,8_c2_x10_300623,post_event_1_16,0,0.0,1.0,96,32,33.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.10713739108887388,0.10713739108887388,2.923789911272289,0.756713152931826,0.07291666666666667,7,0.9696969696969697,0.5811925439927185,0.317578125,0.3529733009708738,0.0,-0.23648072880952237,0.0,0.08038879359634077
source_balanced_cycle28_rank37_obj2_4_c2_x10_240623,28.0,4_c2_x10_240623,far_pre_event_17_32,0,0.0,0.0,96,128,128.0,0.9541984732824428,0.8092098691439417,0.7534246575342466,0.14954863321508127,1.463952854048154,0.6873005869118494,0.584313976898841,0.4479166666666667,43,1.0,0.579453125,0.257421875,0.525,0.15104166666666669,0.42564824591585526,0.0,0.0684841875681571
source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723,133.0,15_c2_x5_HighCOV_120723,far_pre_event_17_32,0,0.0,0.0,96,181,180.0,0.91005291005291,0.7827269180119982,0.7609756097560976,0.3386483001108258,0.9696685747040386,0.9682212617344119,0.7186561274038846,0.010416666666666666,1,1.0055555555555555,0.5785556356189321,0.547265625,0.3347694174757282,0.005208333333333333,0.034111101626408624,-0.06763300690727991,0.02560227822596639
source_balanced_cycle126_rank16_obj1_14_c2_x10_HighCOV_110723,126.0,14_c2_x10_HighCOV_110723,post_event_1_16,0,0.0,0.0,96,164,163.0,0.8370786516853933,0.7771739130434783,0.7675675675675676,0.43778711101781864,0.848476290829176,0.8390051148761186,0.4929210005978393,0.3020833333333333,29,1.0061349693251533,0.5780731694983818,0.4720052083333332,0.4398968446601941,0.15104166666666663,-0.2044140028166962,-0.19473114917990997,0.06315008025682178
source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,150.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,1,1.0,1.0,96,94,92.0,0.8979591836734694,0.5630252100840336,0.3880597014925373,0.4033806392117303,1.4991788436170486,0.5243242143703539,0.2957023344565098,0.5520833333333334,53,1.0217391304347827,0.5769375758495146,0.619140625,0.7025940533980584,0.14583333333333337,-0.052533858024313984,-0.1538553899489155,0.10710076672809599
source_balanced_cycle66_rank55_obj1_8_c2_x10_300623,66.0,8_c2_x10_300623,post_event_1_16,0,0.0,0.0,96,33,36.0,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.184947812359601,0.2895405675567206,0.24018434972472075,0.0,0.6145833333333334,59,0.9166666666666666,0.5614043537621358,0.4214843749999999,0.5460861650485436,0.5416666666666667,-0.05407755234167566,-0.756713152931826,-0.024443311235764043
source_balanced_cycle56_rank51_obj1_7_c2_x10_290623,56.0,7_c2_x10_290623,near_pre_event_1_8,1,1.0,1.0,96,106,104.0,0.8421052631578947,0.6935483870967742,0.6666666666666666,0.3570236730351303,1.1084626100152144,0.6497285325601054,0.5548852864875253,0.5,48,1.0192307692307692,0.56111328125,0.309375,0.5328125,0.19270833333333337,0.5035609833178231,0.0,-0.05812149421171986
source_balanced_cycle98_rank6_obj1_11_c2_x10_050723,98.0,11_c2_x10_050723,post_event_1_16,0,0.0,0.0,96,102,103.0,0.8468468468468469,0.7372881355932204,0.6942148760330579,0.46689614656409145,0.8082992527766348,0.6247015356741135,0.5502639346429814,0.5520833333333334,53,0.9902912621359223,0.5606496510922331,0.40234375,0.5133798543689321,0.20312500000000006,0.28718044492292893,-0.015174460109015353,-0.022284402421388627
