feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,base_roc_auc,base_average_precision,delta_roc_auc_vs_acquisition,delta_average_precision_vs_acquisition
front_plus_kinetic,near_vs_post_control,cycleNo,84,32,42,0.6905048076923077,0.6382400491159347,0.32049755092740745,0.0029565311688382018,0.6802884615384616,0.5511056806925352,0.010216346153846145,0.0871343684233995
concordance_score,near_vs_post_control,cycleNo,84,32,42,0.677283653846154,0.6024641336567839,0.29825632854304285,0.005858066477607549,0.6802884615384616,0.5511056806925352,-0.0030048076923075984,0.05135845296424868
qc_family,near_vs_post_control,cycleNo,84,32,42,0.5889423076923076,0.7131187739826653,0.16000112645107625,0.14598897004283093,0.6802884615384616,0.5511056806925352,-0.09134615384615397,0.16201309329013014
timebase_context,near_vs_post_control,cycleNo,84,32,42,0.5480769230769231,0.6822781385281385,0.08173871097772262,0.45980943972008653,0.6802884615384616,0.5511056806925352,-0.13221153846153844,0.13117245783560327
front_family,near_vs_post_control,cycleNo,84,32,42,0.53125,0.4342400884156038,0.052573996895722806,0.6348173523634951,0.6802884615384616,0.5511056806925352,-0.14903846153846156,-0.11686559227693138
kinetic_family,near_vs_post_control,source_stem,84,32,11,0.743389423076923,0.7238908112462523,0.40946847989148266,0.00010990002300487105,0.5625,0.4151175099903956,0.18088942307692302,0.3087733012558567
front_plus_kinetic_plus_qc,near_vs_post_control,source_stem,84,32,11,0.6862980769230769,0.6743874393443138,0.3134203179416287,0.00369574416667555,0.5625,0.4151175099903956,0.12379807692307687,0.2592699293539182
front_plus_kinetic,near_vs_post_control,source_stem,84,32,11,0.65625,0.5858127487157326,0.2628686537574951,0.015701519801854226,0.5625,0.4151175099903956,0.09375,0.17069523872533704
concordance_score,near_vs_post_control,source_stem,84,32,11,0.6484375,0.5648329857070118,0.24977074383089545,0.021944232128437567,0.5625,0.4151175099903956,0.0859375,0.1497154757166162
qc_family,near_vs_post_control,source_stem,84,32,11,0.596153846153846,0.7084054061160838,0.16268370314192412,0.13926097936916634,0.5625,0.4151175099903956,0.033653846153846034,0.29328789612568823
front_family,near_vs_post_control,source_stem,84,32,11,0.3870192307692308,0.3202561737868478,-0.1901089062356613,0.08325513013059824,0.5625,0.4151175099903956,-0.17548076923076922,-0.09486133620354781
front_plus_kinetic_plus_timebase,near_vs_post_control,source_stem,84,32,11,0.17307692307692307,0.2514996974900048,-0.5500021063233742,5.989427869865211e-08,0.5625,0.4151175099903956,-0.3894230769230769,-0.1636178125003908
timebase_context,near_vs_post_control,source_stem,84,32,11,0.019230769230769225,0.2595096316405166,-0.8129940561060421,5.906515895150792e-21,0.5625,0.4151175099903956,-0.5432692307692307,-0.155607878349879
