feature_set,model,mean_balanced_accuracy,mean_roc_auc,mean_average_precision,folds,permutation_index
physics_no_selection_qc,random_forest,0.5625,0.7083333333333334,0.7172288359788359,4,68
all_physics_plus_qc,logistic_l2,0.38541666666666663,0.38541666666666663,0.46062641062641063,4,69
all_physics_plus_qc,random_forest,0.47916666666666663,0.4427083333333333,0.5075155168905169,4,69
physics_no_selection_qc,logistic_l2,0.4114583333333333,0.41666666666666663,0.4793280793280793,4,69
physics_no_selection_qc,random_forest,0.4739583333333333,0.4114583333333333,0.5161050754800754,4,69
all_physics_plus_qc,logistic_l2,0.36979166666666663,0.2552083333333333,0.3968177655677656,4,70
all_physics_plus_qc,random_forest,0.4739583333333333,0.4270833333333333,0.5136800699300699,4,70
physics_no_selection_qc,logistic_l2,0.3645833333333333,0.2916666666666667,0.4125467125467126,4,70
physics_no_selection_qc,random_forest,0.48437499999999994,0.4114583333333333,0.5062432937432937,4,70
all_physics_plus_qc,logistic_l2,0.5625,0.546875,0.6060426841676841,4,71
all_physics_plus_qc,random_forest,0.53125,0.5625,0.5993486837236838,4,71
physics_no_selection_qc,logistic_l2,0.578125,0.53125,0.6096441752691752,4,71
physics_no_selection_qc,random_forest,0.5104166666666666,0.5833333333333333,0.6760723073223073,4,71
all_physics_plus_qc,logistic_l2,0.578125,0.6145833333333334,0.6644866707366707,4,72
all_physics_plus_qc,random_forest,0.578125,0.5520833333333334,0.6143275705775706,4,72
