feature_set,model,mean_balanced_accuracy,mean_roc_auc,mean_average_precision,folds,permutation_index
physics_no_selection_qc,logistic_l2,0.59375,0.5833333333333334,0.6331933113183112,4,72
physics_no_selection_qc,random_forest,0.5677083333333333,0.5416666666666666,0.6020921208421208,4,72
all_physics_plus_qc,logistic_l2,0.53125,0.53125,0.5886646917896918,4,73
all_physics_plus_qc,random_forest,0.46875,0.578125,0.5944279100529101,4,73
physics_no_selection_qc,logistic_l2,0.5625,0.53125,0.5412681068931069,4,73
physics_no_selection_qc,random_forest,0.53125,0.4947916666666667,0.5078055046805047,4,73
all_physics_plus_qc,logistic_l2,0.46354166666666663,0.44270833333333337,0.5192863849113849,4,74
all_physics_plus_qc,random_forest,0.46875,0.4895833333333333,0.5646825396825397,4,74
physics_no_selection_qc,logistic_l2,0.5,0.4270833333333333,0.5067700817700818,4,74
physics_no_selection_qc,random_forest,0.49999999999999994,0.44791666666666663,0.5466269841269841,4,74
all_physics_plus_qc,logistic_l2,0.44791666666666663,0.5052083333333333,0.5235397704147704,4,75
all_physics_plus_qc,random_forest,0.3802083333333333,0.41666666666666663,0.5483308358308359,4,75
